id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
VOL1.MORFOLOGIA.1,morfologia,Pluralização por repetição sequencial,"A pluralização de um sinal é representada na glosa pela repetição sequencial do sinal, indicada por três sinais idênticos seguidos (ex: CASA+++).",A frase em português expressa o plural de um substantivo ou sinal que em Libras é pluralizado por repetição.,casas -> CASA+++,LIBRAS.MORFOLOGIA.001,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.194
VOL1.MORFOLOGIA.2,morfologia,Representação de compostos por justaposição com dois núcleos,"A glosa deve representar o composto por justaposição com dois núcleos (coordenação) usando o símbolo '^' entre as etiquetas dos sinais (ex: BOA^NOITE, CARRO^BATER).","A frase em português corresponde a um composto formado por justaposição de dois sinais (coordenação), onde a mão não dominante antecipa o segundo sinal.",boa noite -> BOA^NOITE ; acidente -> CARRO^BATER,LIBRAS.MORFOLOGIA.002,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.197
VOL1.MORFOLOGIA.3,morfologia,Representação de compostos com eliminação de movimento interno,"A glosa deve representar o composto usando o símbolo '^' entre as etiquetas dos sinais (ex: SÁBADO^DOMINGO), indicando que o movimento interno ou repetição foi eliminado na composição.",A frase em português corresponde a um composto onde o movimento interno ou a repetição do movimento de um dos sinais é eliminada (regra da sequência única).,fim de semana -> SÁBADO^DOMINGO,LIBRAS.MORFOLOGIA.003,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.196
VOL1.MORFOLOGIA.4,morfologia,Representação de compostos por justaposição sequencial,"A glosa deve representar o composto por justaposição sequencial utilizando o símbolo '^' entre as etiquetas dos sinais, na ordem em que são produzidos (ex: SINAL1^SINAL2).","A frase em português corresponde a um conceito formado pela justaposição sequencial de dois sinais distintos, onde ambos são realizados em sua totalidade e consecutivamente.",zebra -> CAVALO^LISTRA-PELO-CORPO ; rio -> ÁGUA^CAMINHO ; lago -> ÁGUA^CÍRCULO ; piscina -> ÁGUA^RETÂNGULO ; divórcio -> ASSINAR^SEPARAR,LIBRAS.MORFOLOGIA.004,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.200
VOL1.MORFOLOGIA.5,morfologia,Representação de compostos por justaposição simultânea,A glosa deve representar o composto por justaposição simultânea utilizando o símbolo '^' entre as etiquetas dos sinais.,"A frase em português corresponde a um conceito formado pela justaposição simultânea de dois sinais, realizados ao mesmo tempo pelas duas mãos.",composição -> PALAVRA^PALAVRA,LIBRAS.MORFOLOGIA.005,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.200
VOL1.MORFOLOGIA.6,morfologia,Representação de compostos com classificador,A glosa deve representar a composição de um classificador com um item lexical utilizando o símbolo '^' entre a etiqueta do classificador (CL-...) e a etiqueta do sinal lexical.,"A frase em português corresponde a um sinal composto por um classificador e um item lexical (ex: alfinete, agulha).",alfinete -> CL-coisa-pequena^PERFURAR ; agulha -> CL-coisa-pequena^APLICAR-NO-BRAÇO,LIBRAS.MORFOLOGIA.006,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.200
VOL1.MORFOLOGIA.7,morfologia,Representação de compostos por subordinação,A glosa deve representar o composto por subordinação utilizando o símbolo '^' entre o núcleo e o modificador (ex: NUCLEO^MODIFICADOR).,A frase em português corresponde a um conceito formado por um núcleo modificado por um especificador (ex: escola).,escola -> CASA^ESTUDAR,LIBRAS.MORFOLOGIA.007,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.199
VOL1.MORFOLOGIA.8,morfologia,Representação de compostos por coordenação,A glosa deve representar o composto por coordenação utilizando o símbolo '^' entre os núcleos simétricos (ex: NUCLEO1^NUCLEO2).,A frase em português corresponde a um conceito formado por dois ou mais núcleos em relação simétrica (ex: oftalmologista).,oftalmologista -> MÉDICO^OLHO,LIBRAS.MORFOLOGIA.008,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.199
VOL1.EXPRESSOES-IDIOMATICAS.1,expressoes-idiomaticas,Composição por justaposição simultânea (duas mãos),"O sinal de 'composição' é representado na glosa pela justaposição do sinal PALAVRA duas vezes, separado por um acento circunflexo (PALAVRA^PALAVRA), indicando que os dois sinais são articulados simultaneamente, um por cada mão.","A frase em português contém o substantivo 'composição' (no sentido de arte/ato de compor, não o processo linguístico).",composição -> PALAVRA^PALAVRA,LIBRAS.EXPRESSOES-IDIOMATICAS.001,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.194
VOL1.EXPRESSOES-IDIOMATICAS.2,expressoes-idiomaticas,Expressão idiomática 'cabelos em pé' (susto),"A glosa deve usar a etiqueta CABELOS-EM-PÉ para representar o sinal que significa 'ficar de cabelos em pé' no sentido figurado de estar espantada, chocada ou com susto.","A frase em português expressa o estado de estar 'de cabelos em pé' devido a susto, espanto ou choque (sentido idiomático), e não devido a desordem física ou vento.",Ficar de cabelos em pé. -> CABELOS-EM-PÉ,LIBRAS.EXPRESSOES-IDIOMATICAS.002,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.340
VOL1.EXPRESSOES-IDIOMATICAS.3,expressoes-idiomaticas,Expressão idiomática 'Quebrar a cara',"A glosa pode usar o sinal composto CARA-QUEBRAR ou a sequência de dois sinais CARA QUEBRAR para representar o sentido idiomático de 'quebrar a cara', 'ficar sem palavras', 'ficar sem graça', 'sem noção' ou 'foi pego em flagrante'.","A frase em português contém a expressão 'quebrar a cara' ou sinônimos como 'ficar sem palavras', 'ficar sem graça', 'sem noção' ou 'foi pego em flagrante'.",Quebrar a cara. -> CARA-QUEBRAR ; Quebrar a cara. -> CARA QUEBRAR,LIBRAS.EXPRESSOES-IDIOMATICAS.003 ; LIBRAS.EXPRESSOES-IDIOMATICAS.004,Ambas as candidatas descrevem a mesma expressão idiomática 'quebrar a cara' e suas variações de glosa (composta ou sequencial).,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.342; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.343
VOL1.EXPRESSOES-IDIOMATICAS.4,expressoes-idiomaticas,Expressão idiomática 'Esticar conversa',A glosa deve usar o sinal composto LINHA-PUXAR para representar o sentido idiomático de 'esticar conversa' ou 'falar mais que o necessário'.,A frase em português contém a expressão 'esticar conversa' ou 'falar mais que o necessário'.,Esticar conversa. -> LINHA-PUXAR,LIBRAS.EXPRESSOES-IDIOMATICAS.005,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.342
VOL1.EXPRESSOES-IDIOMATICAS.5,expressoes-idiomaticas,Expressão idiomática 'Pessoa turrona',A glosa deve usar a sequência de sinais CABEÇA DURA para representar o sentido idiomático de 'um sem noção' ou 'pessoa turrona'.,A frase em português contém a expressão 'pessoa turrona' ou 'um sem noção'.,Pessoa turrona. -> CABEÇA DURA,LIBRAS.EXPRESSOES-IDIOMATICAS.006,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.343
VOL1.EXPRESSOES-IDIOMATICAS.6,expressoes-idiomaticas,Expressão idiomática 'Cara de pau',A glosa deve usar a sequência de sinais VERGONHA NÃO TER para representar o sentido idiomático de 'não ter vergonha na cara' ou 'um cara de pau'.,A frase em português contém a expressão 'cara de pau' ou 'não ter vergonha na cara'.,Um cara de pau. -> VERGONHA NÃO TER,LIBRAS.EXPRESSOES-IDIOMATICAS.007,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.343
VOL1.EXPRESSOES-IDIOMATICAS.7,expressoes-idiomaticas,Expressão idiomática 'Olho vivo',"A glosa deve usar a sequência de sinais ORELHA CARA para representar o sentido idiomático de 'olho vivo', 'ter audição boa' ou 'pessoa muito esperta'.","A frase em português contém a expressão 'olho vivo', 'ter audição boa' ou 'pessoa muito esperta'.",Olho vivo. -> ORELHA CARA,LIBRAS.EXPRESSOES-IDIOMATICAS.008,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.343
