text,gloss,gloss_review,rounds_used,gloss_llm_1,gloss_llm_2,gloss_llm_3,gloss_llm_4,gloss_llm_5,judge
I need to check your blood test.,I NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,2,NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,,,,OK
Are you having a heart attack?,HEART ATTACK?,HAVE HEART ATTACK?,5,ARE YOU HEART ATTACK?,HAVE HEART ATTACK?,ARE YOU HEART ATTACK?,HAVE HEART ATTACK?,HAVE HEART ATTACK?,OK
Can you breathe?,YOU BREATHE?,CAN BREATHE?,2,CAN BREATHE?,CAN BREATHE?,,,,OK
Your blood test is ready now.,YOUR BLOOD TEST READY NOW.,NOW BLOOD TEST READY.,2,NOW BLOOD TEST READY.,NOW BLOOD TEST READY.,,,,OK
Do you have any medication allergies?,ALLERGIC ANY MEDICINE?,HAVE ALLERGIC ANY MEDICINE?,2,ALLERGIC ANY MEDICATION?,ALLERGIC ANY MEDICATION?,,,,OK
that is an area we need to look at .,THAT BE AREA X-WE NEED TO LOOK AT .,,2,AREA WE NEED LOOK.,AREA WE NEED LOOK.,,,,OK
i would ask for your support .,X-I WOULD ASK FOR X-YOU SUPPORT .,,2,WOULD ASK SUPPORT.,WOULD ASK SUPPORT.,,,,OK
let us act together .,LET X-WE ACT DESC-TOGER .,,2,LET ACT TOGETHER.,LET ACT TOGETHER.,,,,OK
parliament decided to postpone the final vote,PARLIAMENT DECIDE TO POSTPONE DESC-FINAL VOTE\,,2,PARLIAMENT DECIDE POSTPONE FINAL VOTE.,PARLIAMENT DECIDE POSTPONE FINAL VOTE.,,,,OK
what should we do to change this ?,WHAT SHOULD X-WE DO TO CHANGE THIS ?,,2,WHAT SHOULD DO CHANGE?,WHAT SHOULD DO CHANGE?,,,,OK
i will do that .,X-I WILL DO THAT .,,5,DO WILL.,WILL THAT.,DO,DO THAT.,DO THAT.,OK
we see the situation in the world .,X-WE SEE SITUATION IN WORLD .,,2,SEE SITUATION WORLD.,SEE SITUATION WORLD.,,,,OK
first of all choose democracy .,DESC-FIRST ALL CHOOSE DEMOCRACY,,2,FIRST CHOOSE DEMOCRACY.,FIRST CHOOSE DEMOCRACY.,,,,OK
that is why this issue is so important .,THAT BE WHY THIS ISSUE BE DESC-SO DESC-IMPORTANT,,2,WHY THIS ISSUE SO IMPORTANT.,WHY THIS ISSUE SO IMPORTANT.,,,,OK
the london bombings took place exactly five years ago .,LONDON BOMBING TAKE PLACE DESC-EXACTLY FIVE YEAR DESC-AGO .,,2,LONDON BOMBING TAKE PLACE EXACTLY FIVE YEAR AGO .,LONDON BOMBING TAKE PLACE EXACTLY FIVE YEAR AGO .,,,,OK
and do you know what will happen with those proposals ?,AND DO X-YOU KNOW WHAT WILL HAPPEN WITH THOSE PROPOSAL ?,,3,WHAT THOSE PROPOSAL WILL HAPPEN KNOW?,WHAT THOSE PROPOSAL WILL HAPPEN?,WHAT THOSE PROPOSAL WILL HAPPEN?,,,OK
we are reducing production in europe .,X-WE BE REDUCE PRODUCTION IN EUROPE .,,2,REDUCE PRODUCTION EUROPE.,REDUCE PRODUCTION EUROPE.,,,,OK
we have therefore signed the resolution .,X-WE HAVE DESC-REFORE SIGN RESOLUTION .,,2,THEREFORE SIGN RESOLUTION.,THEREFORE SIGN RESOLUTION.,,,,OK
they should do anything that can be seen if they want people to believe in them .,X-Y SHOULD DO ANYTHING THAT CAN BE SEE IF X-Y WANT PEOPLE TO BELIEVE IN X-Y .,,4,THEY SHOULD DO ANYTHING THAT CAN SEE IF THEY WANT PEOPLE BELIEVE THEM .,"IF WANT PEOPLE BELIEVE THEM, THEY SHOULD DO ANYTHING THAT CAN SEEN.","IF WANT PEOPLE BELIEVE THEM, SHOULD DO ANYTHING THAT CAN SEEN.","IF WANT PEOPLE BELIEVE THEM, SHOULD DO ANYTHING THAT CAN SEEN.",,OK
families living in small towns and inhabitants of villages are particularly affected by poverty .,FAMILY DESC-LIVE IN DESC-SMALL TOWN AND INHABITANT VILLAGE BE DESC-PARTICULARLY AFFECT BY POVERTY .,,2,FAMILY LIVE SMALL TOWN AND INHABITANT VILLAGE PARTICULARLY AFFECT POVERTY.,FAMILY LIVE SMALL TOWN AND INHABITANT VILLAGE PARTICULARLY AFFECT POVERTY.,,,,OK
