text,gloss,gloss_review,rounds_used,gloss_llm_1,gloss_llm_2,gloss_llm_3,judge
I need to check your blood test.,I NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,2,NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,,OK
"I need to check your glucose test, please.","I NEED CHECK GLUCOSE TEST, PLEASE.","NEED CHECK GLUCOSE TEST, PLEASE.",2,NEED CHECK GLUCOSE TEST PLEASE.,NEED CHECK GLUCOSE TEST PLEASE.,,OK
Are you having a heart attack?,HEART ATTACK?,HAVE HEART ATTACK?,2,HAVE HEART ATTACK?,HAVE HEART ATTACK?,,OK
Can you breathe?,YOU BREATHE?,CAN BREATHE?,2,CAN BREATHE?,CAN BREATHE?,,OK
Your blood test is ready now.,YOUR BLOOD TEST READY NOW.,NOW BLOOD TEST READY.,2,NOW BLOOD TEST READY.,NOW BLOOD TEST READY.,,OK
How long have you had chest pain?,"CHEST PAIN, HOW-LONG TIME?","CHEST PAIN, HOW LONG TIME?",3,HOW LONG HAVE CHEST PAIN?,HOW LONG CHEST PAIN HAVE?,HOW LONG CHEST PAIN HAVE?,OK
Do you have any medication allergies?,ALLERGIC ANY MEDICINE?,HAVE ALLERGIC ANY MEDICINE?,2,ALLERGIC ANY MEDICATION?,ALLERGIC ANY MEDICATION?,,OK
What medicine are you taking?,TAKE WHAT MEDICINE?,USE MEDICINE WHAT?,2,WHAT MEDICINE TAKE?,WHAT MEDICINE TAKE?,,OK
The doctor needs to examine your pneumonia.,DOCTOR NEED EXAMINE YOUR PNEUMONIA.,DOCTOR NEED EXAMINE PNEUMONIA.,2,DOCTOR NEED EXAMINE PNEUMONIA.,DOCTOR NEED EXAMINE PNEUMONIA.,,OK
Do you feel numbness in your left arm?,YOUR LEFT ARM NUMB?,FEEL LEFT ARM NUMBNESS?,2,FEEL LEFT ARM NUMB?,FEEL LEFT ARM NUMB?,,OK
Do you feel numbness in your right arm?,YOUR RIGHT ARM NUMB?,FEEL RIGHT ARM NUMBNESS?,2,FEEL RIGHT ARM NUMB?,FEEL RIGHT ARM NUMB?,,OK
The doctor needs to check your gestational diabetes.,DOCTOR NEED CHECK YOUR GESTATIONAL DIABETES.,DOCTOR NEED CHECK GESTATIONAL DIABETES.,2,DOCTOR NEED CHECK GESTATIONAL DIABETES.,DOCTOR NEED CHECK GESTATIONAL DIABETES.,,OK
I feel very weak today.,TODAY VERY WEAK,TODAY FEEL VERY WEAK,2,TODAY FEEL VERY WEAK.,TODAY FEEL VERY WEAK.,,OK
I need a laboratory test.,LAB TEST NEED,LABORATORY TEST NEED,2,NEED LABORATORY TEST.,NEED LABORATORY TEST.,,OK
