id,text,health
1,membership of parliament see minutes,NO
2,approval of minutes of previous sitting see minutes,NO
3,verification of credentials see minutes,NO
4,documents received see minutes,NO
5,written statements and oral questions tabling see minutes,NO
6,petitions see minutes,NO
7,texts of agreements forwarded by the council see minutes,NO
8,action taken on parliament's resolutions see minutes,NO
9,agenda for next sitting see minutes,NO
10,closure of sitting,NO
11,the sitting was closed at 7.45 p.m.,NO
12,election of vice presidents of the european parliament deadline for submitting nominations see minutes,NO
13,the sitting was suspended at 12.40 p.m. and resumed at 3.00 p.m.,NO
14,election of quaestors of the european parliament deadline for submitting nominations see minutes,NO
15,the sitting was suspended at 3.25 p.m. and resumed at 6.00 p.m.,NO
16,the sitting was closed at 6.15 p.m.,NO
17,opening of the sitting,NO
18,the sitting was opened at 9.35 a.m.,NO
19,membership of committees deadline for tabling amendments see minutes,NO
20,the sitting was suspended at 7 p.m. and resumed at 9 p.m.,NO
21,the sitting was suspended at 23.25 p.m.,NO
22,communication of council common positions see minutes,NO
23,the sitting was suspended at 11.35 a.m. and resumed for voting time at noon,NO
24,committee of inquiry into the crisis of the equitable life assurance society extension of mandate see minutes,NO
25,announcement by the president see minutes,NO
26,membership of committees vote,NO
27,amendment of the acp ec partnership agreement vote,NO
28,certification of train drivers operating locomotives and trains on the railway system in the community vote,NO
29,law applicable to non contractual obligations rome ii vote,NO
30,seventh and eighth annual reports on arms exports vote,NO
31,corrections to votes and voting intentions see minutes,NO
32,membership of committees and delegations see minutes,NO
33,request for waiver of parliamentary immunity see minutes,NO
34,decisions concerning certain documents see minutes,NO
35,written statements for entry in the register rule 116 see minutes,NO
36,forwarding of texts adopted during the sitting see minutes,NO
37,dates for next sittings see minutes,NO
38,adjournment of the session,NO
39,i declare the session of the european parliament adjourned .,NO
40,the sitting was closed at 1 p.m.,NO
41,request for the defence of parliamentary immunity see minutes,NO
42,appointments to committees proposal by the conference of presidents see minutes,NO
43,oral questions and written statements tabling see minutes,NO
44,written statements rule 116 see minutes,NO
45,agenda see minutes,NO
46,appointments to parliamentary committees vote see minutes,NO
47,voting time,NO
48,the sitting was closed at 12 midnight,NO
49,the sitting was opened at 09.05,NO
50,protection of passengers against displaced luggage vote,NO
51,approval of motor vehicles with regard to the forward field of vision of the driver vote,NO
52,ec korea agreement on scientific and technological cooperation vote,NO
53,mainstreaming sustainability in development cooperation policies vote,NO
54,draft amending budget no 1 / 2007 vote,NO
55,ec gabon fisheries partnership vote,NO
56,limitation periods in cross border disputes involving personal injuries and fatal accidents vote,NO
57,strategy for a strengthened partnership with the pacific islands vote,NO
58,the european private company statute vote,NO
59,that concludes the vote .,NO
60,assignment conferred on a member see minutes,NO
