id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
LIBRAS.PRONOMES.001,pronomes,Estabelecimento de referentes no espaço,"Toda referência nominal no discurso requer o estabelecimento de um local específico no espaço de sinalização (frente do corpo). Isso pode ser feito executando o sinal no local, direcionando o olhar/corpo, usando apontação ostensiva (IX) antes do sinal, ou usando classificadores. Uma vez estabelecido, o ponto pode ser referido posteriormente.",Introdução de um novo referente (substantivo) no discurso ou menção a um referente já estabelecido.,False,CASA (do João) -> CASA (sinalizado no ponto 'a') ; IX CASA -> CASA IX(casa),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,123,"Qualquer referência usada no discurso requer o estabelecimento de um local no espaço de sinalização (espaço definido na frente do corpo do sinalizador), observando várias restrições."
LIBRAS.CONCORDANCIA.001,concordancia,Concordância verbal direcional,Verbos direcionais (ou verbos com concordância) devem concordar com o sujeito e/ou com o objeto (direto ou indireto) da frase. A direção do movimento da mão e a direção do olhar acompanham os pontos estabelecidos no espaço para os argumentos.,Uso de verbos da classe dos verbos direcionais com sujeito e/ou objeto localizáveis no espaço.,False,(el@) <aOLHARb>do (el@) ; (el@) <aAJUDARb>do (el@) ; (el@) <aENTREGARb>do (el@),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,126,"Na língua de sinais brasileira, esses verbos têm que concordar com o sujeito e/ou com o objeto indireto/direto da frase. Como se pode observar nas fotos a seguir, há uma relação entre os pontos estabelecidos no espaço e os argumentos que estão incorporados no verbo."
LIBRAS.SINTAXE.001,sintaxe,Ordem básica SVO,A ordem básica (canônica) da frase na Libras é Sujeito-Verbo-Objeto (SVO). Frases com esta ordem são consideradas gramaticais e não-marcadas. Outras ordens resultam de operações sintáticas motivadas por semântica ou fonologia.,Construção de orações simples não-marcadas.,True,El@ assiste TV -> <IXa aASSISTEb bTV>do (SVO),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,135,"As autoras observaram que há várias possibilidades de ordenação das palavras nas sentenças, mas que, apesar dessa flexibilidade, parece haver uma ordenação mais básica que as demais, ou seja, a ordem Sujeito-Verbo-Objeto."
LIBRAS.SINTAXE.002,sintaxe,Restrição de ordem com concordância,"As ordens OSV e SOV ocorrem somente quando há elementos adicionais na sentença, como concordância verbal e marcas não-manuais. Sem concordância ou marcas não-manuais, as ordens OSV e SOV são agramaticais.",Presença de concordância verbal e/ou marcas não-manuais (como direção dos olhos) na frase.,False,El@ assiste TV -> <TVb>do <IXa>do <aASSISTEb>do (OSV) [gramatical com concordância] ; El@ assiste TV -> * TVb IXa aASSISTEb (OSV) [agramatical sem concordância],Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,136,"As ordens OSV e SOV ocorrem somente quando há alguma coisa a mais na sentença, como a concordância e as marcas não-manuais"
LIBRAS.FOCO.001,foco,Construção de foco com ordem SOV,"Existe um tipo de construção com foco que licencia a ordem SOV. Isso ocorre através de construções duplas (repetição de núcleos) onde o último núcleo ocupa a posição de foco, licenciando o apagamento do primeiro núcleo em VP.","Desejo de focar um elemento da frase, resultando em estrutura com repetição verbal ou similar.",True,HOMEM COMPRAR CARRO COMPRAR,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,133,"Propõe-se que na língua de sinais brasileira existe um tipo de construção com foco que licencia a ordem SOV . Esse tipo de construção também existe na ASL, conforme análises de Petrônio (1993). O autor as chama de “construções duplas” ( double constructions), apresentando a repetição de núcleos (X 0) na posição final."
LIBRAS.SINTAXE.003,sintaxe,Topicalização e ordem OSV,"A topicalização é responsável pela maioria dos casos de mudança na ordem básica SVO, resultando frequentemente na ordem OSV. Essa mudança é acompanhada por marcas não-manuais de tópico.","Quando um elemento (geralmente o objeto) é topicalizado, movendo-se para a posição inicial da frase.",False,FUTEBOL <IX>do <GOSTA>do (OSV),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,134,"Na ASL, a topicalização é considerada a responsável pela maioria dos casos de mudança na ordem básica SVO (Fischer, 1973; Liddell, 1980; Aarons, 1994)."
LIBRAS.PRONOMES.002,pronomes,Argumentos nulos,"A Libras permite o apagamento de sujeitos e objetos nas sentenças contendo verbos com concordância, pois é uma língua que marca o parâmetro de argumentos nulos (pro-drop).",Uso de verbos com concordância onde os referentes já foram estabelecidos no espaço.,True,"Na língua de sinais brasileira observa-se a mesma distribuição (Quadros, 1995).",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,135,"Na língua de sinais brasileira observa-se a mesma distribuição (Quadros, 1995)."
LIBRAS.SINTAXE.004,sintaxe,Ordem básica SVO,"A ordem canônica e mais básica da frase em Libras é Sujeito-Verbo-Objeto (SVO). Outras ordens (SOV, OSV, VOS) são derivadas e exigem marcas não-manuais ou concordância verbal para serem gramaticais.","Frase declarativa simples sem topicalização, foco ou concordância verbal específica.",True,Eu acho que a Maria foi embora -> EU ACHAR [ IP MARIAa <aIR-EMBORAloc>do],Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,138,"Assim, parece que de fato esta ordem é a mais básica."
LIBRAS.SINTAXE.005,sintaxe,Restrição de SOV com objeto complexo,"A ordem SOV (Sujeito-Objeto-Verbo) não é permitida quando o objeto é uma oração subordinada complexa. Nesse caso, a ordem deve permanecer SVO.",Frase com verbo principal e objeto que é uma oração subordinada (ex: 'achar que...').,True,Eu acho que a Maria foi embora -> EU ACHAR [ IP MARIAa <aIR-EMBORAloc>do] (SOV é agramatical aqui),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,138,"se houver uma estrutura complexa na posição de objeto, não será possível mudar o objeto de ordem"
LIBRAS.SINTAXE.006,sintaxe,Posição de advérbios temporais e de frequência,"Advérbios temporais e de frequência não podem interromper a relação direta entre o verbo e o objeto (estrutura VP[V NP]). Eles devem aparecer antes ou depois da oração (para temporais) ou antes/depois do complemento verbal (para frequência), mas nunca entre o verbo e o objeto direto.","Presença de advérbios temporais (ex: ONTEM, AMANHÃ) ou de frequência (ex: ALGUMAS-VEZES) na frase.",True,Ontem João comprou um carro -> ONTEM JOÃO COMPRAR CARRO (não *JOÃO COMPRAR ONTEM CARRO) ; Algumas vezes eu bebo leite -> EU ALGUMAS-VEZES BEBO LEITE ou EU BEBO LEITE ALGUMAS-VEZES,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,139,Os advérbios temporais e de freqüência não podem interromper uma relação entre o verbo e o objeto: [VP[V NP]].
LIBRAS.FOCO.002,foco,Topicalização e ordem da frase,"A topicalização move um constituinte para o início da frase, alterando a ordem básica. O tópico é marcado por elevação das sobrancelhas e delimita as fronteiras da topicalização. O tópico pode ser sujeito, objeto ou adjunto, e pode ser seguido por uma cópia ou pronome co-referencial na posição original.","Quando um elemento da frase é enfatizado como tema do discurso (tópico), geralmente posicionado no início.",False,"De futebol, o João não gosta -> <FUTEBOL>t <JOÃO GOSTAR NÃO>n ; Esta bola de futebol, onde o João pegou? -> <BOLA-FUTEBOL>t, <ONDE O JOÃO PEGAR>qu",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,142,Uma explicação plausível para a “aparente flexibilidade da ordem da frase” na língua de sinais brasileira está relacionada ao mecanismo gramatical da topicalização.
LIBRAS.FOCO.003,foco,Hierarquia Tópico-Interrogativa,"O tópico ocupa a posição mais alta da sentença (acima de CP). Em frases interrogativas com tópico, a marca não-manual do tópico precede a marca da interrogativa. O tópico não pode estar dentro do escopo da interrogativa.",Frase interrogativa que também contém um tópico explicitado.,False,Qual é o carro dele? -> <CARRO>t <QUAL DELE?>qu,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,145,"A posição de tópico é a mais alta da sentença, ou seja, acima de CP (Complement Phrase)."
LIBRAS.FOCO.004,foco,Construções com foco (duplicação),Construções com foco envolvem a duplicação de um constituinte (geralmente o verbo) para enfatizar a informação. A cópia final é associada a uma marca não-manual afirmativa. Isso pode derivar a ordem SOV (ou S(V)OV) a partir da base SVO.,"Quando há ênfase/foco em um constituinte, resultando em sua duplicação na frase.",False,Eu perdi o livro -> EU PERDER LIVRO <PERDER>mc,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,148,As construções com foco são aquelas que apresentam constituintes duplicados dentro da mesma oração.
LIBRAS.CONCORDANCIA.002,concordancia,Elevação do objeto com verbos de concordância,"A presença de concordância verbal (verbos direcionais/manuais) permite a elevação do objeto para uma posição mais alta, derivando a ordem SOV.","Uso de verbos com concordância (ex: DIZER, ENTREGAR, AJUDAR) onde o objeto é localizável no espaço.",False,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,149,A presença de concordância verbal permite a elevação do objeto para uma posição mais alta derivando a ordem SOV
LIBRAS.SINTAXE.007,sintaxe,Omissão de argumentos com verbos de concordância,"Em construções com verbos com concordância, é possível omitir tanto o sujeito quanto o objeto, resultando na ordem (S)V(O). A concordância espacial no verbo carrega a informação dos argumentos omitidos.",Verbos com concordância onde sujeito e/ou objeto são elididos.,False,João não deu o livro a Maria -> JOÃOa MARIAb aDARb LIVRO NÃO ; (el@) deram (algo) (el@) -> aDARb,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,150,A ordem (S)V(O) é derivada pela possibilidade de omitir-se tanto o sujeito como o objeto nas construções com verbos com concordância
LIBRAS.FOCO.005,foco,Ordem VOS em foco contrastivo,"A ordem Verbo-Objeto-Sujeito (VOS) pode ocorrer em contextos de foco contrastivo, derivada da estrutura básica SVO.",Contexto de foco contrastivo (ex: 'Quem comprou o carro? João ou Maria?').,False,Quem comprou o carro? João ou Maria? -> COMPRAR CARRO <JOÃO> foco,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,151,A ordem VOS também pode ocorrer em contextos de foco contrastivo
LIBRAS.VERBOS.001,verbos,Classificação de verbos: com e sem concordância,"Os verbos em Libras dividem-se em duas classes principais: verbos sem concordância (exigem argumentos explícitos, ex: TER, FALAR) e verbos com concordância (associados a movimento direcional e marcas não-manuais, ex: DIZER, ENTREGAR). Essa distinção impacta a estrutura da frase e a possibilidade de omissão de argumentos.",Identificação da classe do verbo na frase.,False,"Verbos sem concordância: TER, FALAR, AMAR, CONHECER ; Verbos com concordância: DIZER, ENTREGAR, AJUDAR, REMETER",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,152,os verbos na língua de sinais se dividem em pelo menos duas classes: os verbos sem concordância e os verbos com concordância.
LIBRAS.SINTAXE.008,sintaxe,Liberdade de ordem com verbos de concordância,"Sentenças com verbos com concordância permitem maior liberdade na ordenação dos constituintes (ex: OSV) em comparação com sentenças com verbos sem concordância, que tendem a ser mais rígidas (SVO).",Presença de um verbo com concordância (direcional) na frase.,False,João olha para a Maria -> <MARIAb>do <JOÃOa aOLHARb>do (OSV) ; João ajuda a Maria -> <JOÃO>do <MARIA>do <aAJUDARb>do,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,154,As sentenças contendo verbos com concordância parecem apresentar mais liberdade na sua ordenação do que aquelas contendo verbos sem concordância.
LIBRAS.CONCORDANCIA.003,concordancia,Obrigatoriedade de marcas não-manuais em verbos de concordância,"O uso de marcas não-manuais (como a direção do olhar acompanhando o movimento) é obrigatório para verbos com concordância, enquanto é opcional para verbos sem concordância.",Uso de verbos com concordância (direcionais).,False,João olha para a Maria -> <MARIAb>do <JOÃOa aOLHARb>do (com marcas não-manuais),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,154,As marcas não-manuais são obrigatórias nos verbos com concordância e opcionais nos verbos sem concordância.
LIBRAS.PRONOMES.003,pronomes,Ocorrência de argumentos nulos com verbos de concordância,"Argumentos nulos (sujeito ou objeto não sinalizados explicitamente) são permitidos em contextos sintáticos com verbos com concordância, mas não em sentenças com verbos sem concordância.",Frase com verbo com concordância e argumentos elididos.,True,Amanhã el@ conversa com el@ -> <AMANHÃ> IXa CONVERSAR IXb ; Amanhã (você) dará o livro (a el@) -> AMANHÃ <aDARb>do LIVRO,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,156,Argumentos nulos contendo verbos com concordância ocorrem em contextos sintáticos em oposição às sentenças contendo verbos sem concordância.
LIBRAS.NEGACAO.001,negacao,Distribuição da negação com verbos de concordância,"A negação pode preceder o verbo com concordância, mas a estrutura exige que o verbo esteja dentro do escopo da negação. A ordem 'VERBO NÃO' é agramatical para verbos sem concordância.",Frase negativa com verbo com concordância.,True,João não deu o livro para (el@) -> JOÃOa <NÃO aDARb LIVRO>n ; João não gostou do carro -> *JOÃO <NÃO GOSTAR CARRO>n (agramatical sem auxiliar),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,157,Há uma distribuição diferente da negação entre sentenças contendo verbos com e sem concordância.
LIBRAS.VERBOS.002,verbos,Uso de auxiliar (AUX) para verbos sem concordância em ordens não-SVO,"Verbos sem concordância exigem um auxiliar (AUX) quando a ordem dos constituintes não é SVO ou quando há negação/advérbios. O AUX é uma expressão de concordância via movimento, não um item lexical independente.",Verbo sem concordância + ordem não-SVO ou presença de negação/advérbio.,True,João não gosta dela -> JOÃOa aAUXb <NÃO GOSTAR>n ; João sempre compra balas -> *JOÃO COMPRAR SEMPRE BALAS (requer AUX),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,159,"O auxiliar é requerido somente quando houver ordenações irregulares dos constituintes da sentença, ou seja, ordenações que não sejam SVO."
LIBRAS.SINTAXE.009,sintaxe,Posição de advérbios com verbos sem concordância,Verbos sem concordância não podem preceder advérbios adjuntos ao VP. A ordem 'VERBO ADVÉRBIO' é agramatical; o advérbio deve vir antes do verbo ou o verbo deve ser acompanhado de AUX.,Verbo sem concordância + advérbio.,True,João sempre compra balas -> *JOÃO COMPRAR SEMPRE BALAS,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,160,"Os verbos principais não podem preceder advérbios adjuntos a VP (*John plays always soccer). Na língua de sinais brasileira, isto também é observado: *JOÃO COMPRAR SEMPRE BALAS"
LIBRAS.SINTAXE.010,sintaxe,Omissão de verbos em sentenças complexas,"Verbos podem ser omitidos em orações subordinadas/coordenadas se houver identidade com o verbo anterior. Para verbos sem concordância, a omissão exige a presença do auxiliar (AUX) para garantir a identidade e a estrutura.",Sentença complexa com elipse verbal.,True,"João gosta da Maria e ela não gosta dele -> JOÃOa <MARIAb aAUXb>do <[GOSTAR] i>mc <bAUXa>do <NÃO [e] i>n ; João gosta da Maria e (ela) também -> aJOÃO GOSTAR bMARIA, <bAUXa>do <TAMBÉM>mc",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,160,"Os verbos principais podem ser omitidos de sentenças complexas através da identidade com sua forma pura... Na língua de sinais brasileira, a omissão sem o auxiliar não é permitida"
LIBRAS.FOCO.006,foco,Construções duplas para foco,"O foco é marcado por construções duplas onde o elemento focado (modal, quantificador, verbo, interrogativo, negação, advérbio) é repetido na posição final da frase.",Presença de foco sintático na frase.,True,Eu posso ir (a algum lugar) -> EU PODER IR <PODER>mc ; Eu tenho dois carros -> EU TER DOIS CARROS <DOIS>mc,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,166,Foco envolve construções duplas em que o elemento duplicado ocupa a posição final.
LIBRAS.FOCO.007,foco,Duplicação de foco restrita a núcleos,"A duplicação de um elemento para marcar foco ocorre apenas com núcleos sintáticos. Sintagmas completos (como DPs, CPs ou AdvPs) não podem ser duplicados; apenas o núcleo do sintagma é repetido na posição de foco.",Quando um elemento recebe marcação de foco (acentuação fonológica/semântica) e precisa ser duplicado na estrutura da frase.,True,"O João deu o livro para Maria -> aJOÃO <aDARb>do LIVRO <MARIAb>do (correto, núcleo duplicado) ; * <aJOÃO>do <aDARb>do LIVRO <bMARIA>do <JOÃOa>mc/do (incorreto, DP duplicado)",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,170,"Todos os casos ilustrados com foco envolvem posições nucleares. A posição de sujeito, por exemplo, não pode ser duplicada, uma vez que é um DP"
LIBRAS.FOCO.008,foco,Estrutura de construção dupla para foco,"A marcação de foco envolve a movimentação do sintagma (IP) para o especificador de FP, resultando em uma construção dupla onde o núcleo em foco é repetido. O traço de foco licencia o apagamento do primeiro elemento, mas a estrutura base é a duplicação.",Presença de informação acentuada com interpretação fonológica e semântica (foco) na sentença.,True,Eu posso ir -> [FP [EU PODER IR] i <[F PODER] [IP t i ]>mc ; Eu tenho dois carros -> [FP [EU TER DOIS CARROS] i <[F DOIS] [IP t i ]>mc,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,172,"Assim, IP (ou AgrSP) (que contém o elemento em foco) move para o especificador de FP observando os requeri-mentos de checagem"
LIBRAS.FOCO.009,foco,Incompatibilidade de foco e interrogativa,"Quando uma sentença é interrogativa, não é possível ter outro elemento com foco dentro da mesma sentença. O sintagma interrogativo (CP) é inerentemente focado, o que impede a duplicação de foco de outros elementos.",Presença de um elemento interrogativo (CP) na sentença.,True,"Qual destas mulheres tu gostas? -> <QUAL MULHER DESSAS TU GOSTAR>qu (correto) ; *<QUAL MULHER DESSAS TU GOSTAR>qu <QUAL MULHER DESSAS>qu (incorreto, duplicação de foco em interrogativa)",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,172,"Quando uma interrogativa é inserida, não é possível ter outro elemento com foco dentro da mesma sentença. Assim, parece que CP é inerentemente focado."
LIBRAS.FOCO.010,foco,Restrição de ilha sintática no foco,As construções com foco observam as restrições de ilha de Ross. Não é possível extrair um elemento de uma oração relativa (que é uma ilha sintática) para a posição de foco fora dessa estrutura. A duplicação de foco não pode ocorrer através de fronteiras de ilhas.,Tentativa de aplicar foco/duplicação a um elemento dentro de uma oração relativa ou outra estrutura de ilha sintática.,True,"A mulher que caiu da bicicleta está no hospital -> MULHER <BICICLETA CAIR>r ESTAR HOSPITAL (correto, sem duplicação externa) ; * MULHER <BICICLETA CAIR>r ESTAR HOSPITAL BICICLETA (incorreto, tentativa de duplicar elemento da ilha)",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,179,As restrições formuladas por Ross se aplicariam a toda a classe de regras de deslocamento e impediriam que fossem extraídos elementos de certas configu-rações sintáticas
