id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
ASLFD.EXPRESSOES-IDIOMATICAS.1,expressoes-idiomaticas,Swallowed the Fish,"Indica que alguém foi enganado ou mostrou-se ingênuo ao confiar em alguém que não deveria. Pode ser usado sobre si mesmo ou sobre outra pessoa, com expressão facial de embaraço, como olhos arregalados.","Após alguém demonstrar confiança em uma pessoa ou situação que deveria ser óbvia para todos, especialmente em contexto de humor leve.",Alguém acredita em uma mentira óbvia -> SWALLOWED-THE-FISH ; Você acredita em um golpe fácil -> SWALLOWED-THE-FISH,ASLFD.EXPRESSOES-IDIOMATICAS.001,,ASL for Dummies — Cap.19 (Expressões populares) p.335
ASLFD.EXPRESSOES-IDIOMATICAS.2,expressoes-idiomaticas,Train Gone,"Expressa que alguém perdeu uma oportunidade ou não entendeu uma informação que os outros já entenderam. Não é usado sobre si mesmo, mas sim para apontar alguém que está fora do contexto.","Quando alguém não entende uma piada, uma informação ou uma referência que todos os outros entenderam, especialmente em grupo.",Alguém não ri de uma piada -> TRAIN-GONE ; Alguém pede para repetir algo que já foi dito -> TRAIN-GONE,ASLFD.EXPRESSOES-IDIOMATICAS.002,,ASL for Dummies — Cap.19 (Expressões populares) p.336
ASLFD.EXPRESSOES-IDIOMATICAS.3,expressoes-idiomaticas,Pea Brain,"Expressão ofensiva que critica a inteligência de alguém, geralmente usada entre amigos próximos com intenção de humor. O grau de ofensa depende da expressão facial: língua esticada ou olhos cruzados aumentam o tom ofensivo.","Quando alguém faz algo estúpido ou diz algo óbvio, especialmente em contexto de brincadeira entre pessoas próximas.",Alguém esquece algo óbvio -> PEA-BRAIN ; Você diz algo óbvio -> PEA-BRAIN (autoironia),ASLFD.EXPRESSOES-IDIOMATICAS.003,,ASL for Dummies — Cap.19 (Expressões populares) p.337
ASLFD.EXPRESSOES-IDIOMATICAS.4,expressoes-idiomaticas,Rats!/Darn!,"Expressão de frustração ou decepção diante de algo que não saiu como esperado. É feita com a mão dominante pegando um 'inseto' no ar, como se capturasse uma mosca.","Quando algo não dá certo, como um erro, um imprevisto ou uma frustração leve.",Você perdeu um objeto -> RATS!/DARN!,ASLFD.EXPRESSOES-IDIOMATICAS.004,,ASL for Dummies — Cap.19 (Expressões populares) p.337
ASLFD.EXPRESSOES-IDIOMATICAS.5,expressoes-idiomaticas,I Hope,"Expressão de desejo ou esperança, feita cruzando os dedos das duas mãos com formato de R. Pode ser reforçada com expressão facial de expectativa, como olhos fechados ou boca entreaberta.","Quando se deseja algo com força, especialmente em situações de incerteza ou ansiedade.",Você espera que chova -> I-HOPE ; Você espera que o resultado seja bom -> I-HOPE,ASLFD.EXPRESSOES-IDIOMATICAS.005,,ASL for Dummies — Cap.19 (Expressões populares) p.338
ASLFD.EXPRESSOES-IDIOMATICAS.6,expressoes-idiomaticas,Your Guess Is as Good as Mine,"Expressa que o signador também não sabe a resposta, podendo ser usada como resposta direta a uma pergunta ou como parte da pergunta. A expressão facial de sorriso sardônico e sobrancelhas levantadas reforça o tom de incerteza.","Após alguém fazer uma pergunta que o signador não sabe responder, especialmente em contexto de humor ou desespero leve.",Alguém pergunta o que aconteceu -> YOUR-GUESS-IS-AS-GOOD-AS-MINE ; Você não sabe a resposta -> YOUR-GUESS-IS-AS-GOOD-AS-MINE,ASLFD.EXPRESSOES-IDIOMATICAS.006,,ASL for Dummies — Cap.19 (Expressões populares) p.338
ASLFD.EXPRESSOES-IDIOMATICAS.7,expressoes-idiomaticas,Cool!,"Expressão de aprovação ou admiração, com dois modos: um com dedo e polegar no rosto girando, outro com polegar no peito e dedos se mexendo. O tom depende da expressão facial: sorriso, lábios cerrados ou boca aberta.","Quando algo é considerado bom, interessante ou impressionante, especialmente em contextos sociais.",Alguém faz algo legal -> COOL! ; Você vê algo impressionante -> COOL!,ASLFD.EXPRESSOES-IDIOMATICAS.007,,ASL for Dummies — Cap.19 (Expressões populares) p.338
ASLFD.EXPRESSOES-IDIOMATICAS.8,expressoes-idiomaticas,Oh No!,"Expressão de constrangimento ou arrependimento, usada ao testemunhar ou descrever uma ação embaraçosa. Feita com mão 5 aberta e fechando para S, com olhos arregalados e sorriso nervoso.","Quando algo embaraçoso acontece ou é lembrado, especialmente em contexto social.",Você tropeça em público -> OH-NO! ; Você diz algo errado -> OH-NO!,ASLFD.EXPRESSOES-IDIOMATICAS.008,,ASL for Dummies — Cap.19 (Expressões populares) p.339
ASLFD.EXPRESSOES-IDIOMATICAS.9,expressoes-idiomaticas,That’s Superb!,"Expressão de entusiasmo ou surpresa positiva, feita com mão –F tocando o queixo. O tom depende da expressão facial: boca em forma de –OO para aprovação ou expressão de nojo para negatividade.","Quando algo é muito bom ou impressionante, ou quando se quer expressar ironia negativa.",Algo muito bom acontece -> THAT’S-SUPERB! ; Algo muito ruim acontece -> THAT’S-SUPERB! (com expressão de nojo),ASLFD.EXPRESSOES-IDIOMATICAS.009,,ASL for Dummies — Cap.19 (Expressões populares) p.339
ASLFD.EXPRESSOES-IDIOMATICAS.10,expressoes-idiomaticas,That’s Pretty Straight-Laced,"Expressa que alguém é muito conservador, rígido ou antiquado. Feito com expressão facial de lábios apertados e ar de superioridade.","Quando alguém age de forma excessivamente convencional, rígida ou desatualizada.",Alguém rejeita uma ideia nova por tradição -> THAT’S-PRETTY-STRAIGHT-LACED,ASLFD.EXPRESSOES-IDIOMATICAS.010,,ASL for Dummies — Cap.19 (Expressões populares) p.340
