id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
LIBRAS.SINTAXE.1,sintaxe,Ordem básica SVO dominante,"A ordem básica da frase na Libras é Sujeito-Verbo-Objeto (SVO), que é a mais comum e gramatical em construções simples sem marcações adicionais. Essa ordem é a única que não depende de marcas não-manuais ou estruturas complexas para ser gramaticalmente válida.","frase simples com sujeito, verbo e objeto, sem marcações não-manuais ou estruturas complexas",El@ assiste TV ; IX GOSTA FUTEBOL ; EU ACHAR [ IP MARIAa <aIR-EMBORAloc>do] ; JOÃO COMPRAR CARRO AMANHÃ,LIBRAS.SINTAXE.001 ; LIBRAS.SINTAXE.004,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.135; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.138
LIBRAS.SINTAXE.2,sintaxe,"Variações SVO, OSV e SOV exigem marcações não-manuais","As ordenações OSV e SOV só são gramaticais quando acompanhadas de marcações não-manuais (como foco, tópico ou concordância), indicando que a variação é motivada por fatores pragmáticos ou semânticos. A ordem SOV é restrita a objetos simples e não pode ser usada com objetos complexos (orações subordinadas).",frase com ordem OSV ou SOV,<TVb>do <IXa>do <aASSISTEb>do (OSV) ; <IXa>do <TVb>do <aASSISTEb>do (SOV) ; FUTEBOL <IX>do <GOSTA>do (OSV) ; <IX>do FUTEBOL <GOSTA>mc (SOV) ; EU ACHAR [ IP MARIAa <aIR-EMBORAloc>do] ; *I [IP MARIAa aIR-EMBORA] ACHAR,LIBRAS.SINTAXE.002 ; LIBRAS.SINTAXE.005,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.261; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.138
LIBRAS.SINTAXE.3,sintaxe,Advérbios não podem interromper verbo-objeto,"Advérbios temporais e de freqüência não podem ser inseridos entre o verbo e o objeto em estruturas VP[V NP], o que reforça a base SVO. A posição desses advérbios é flexível, mas não pode quebrar a sequência verbo-objeto.",frase com advérbio temporal ou de freqüência entre verbo e objeto,*JOÃO COMPRAR ONTEM CARRO ; *EU BEBER ALGUMAS-VEZES LEITE,LIBRAS.SINTAXE.006,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.139
LIBRAS.SINTAXE.4,sintaxe,Posição flexível de advérbios,"Advérbios temporais podem estar antes ou depois da oração (IP AgrP), e advérbios de freqüência podem estar antes ou depois do complemento verbal (VP), sem violar a gramática. Essa flexibilidade não afeta a estrutura básica SVO.",advérbio temporal ou de freqüência em frase,AMANHÃ JOÃO COMPRAR CARRO ; EU BEBO LEITE ALGUMAS-VEZES,LIBRAS.SINTAXE.007,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.140
LIBRAS.SINTAXE.5,sintaxe,Cópia do tópico em construções com tópico,"Construções com tópico podem incluir uma cópia do tópico ou um pronome co-referencial, especialmente quando o tópico não está ligado a posição argumental. Isso ocorre para manter a clareza e a coerência da estrutura sintática.",frase com tópico sem ligação argumental,"<[FRANÇA]i>t <EU VOU ti>mc ; <[EU] j>t <[FRANÇA]i>t tj <VOU ti>mc ; <ANIMAIS>, EU GOSTO GATO",LIBRAS.SINTAXE.011,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.373
LIBRAS.SINTAXE.6,sintaxe,Omissão de sujeito e objeto em verbos com concordância,"Verbos com concordância permitem a omissão tanto do sujeito quanto do objeto, derivando a ordem (S)V(O). Essa omissão é gramaticalmente válida e comum em contextos de coesão textual.",verbo com concordância em contexto de omissão de sujeito e objeto,JOÃOa MARIAb aDARb ; LIVRO NÃO,LIBRAS.SINTAXE.013,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.150
LIBRAS.SINTAXE.7,sintaxe,Ordem VOS em foco contrastivo,"A ordem VOS pode ocorrer em contextos de foco contrastivo, especialmente quando há ênfase no verbo. Essa reordenação é motivada por fatores pragmáticos e é marcada por sinais não-manuais de foco.",frase com foco contrastivo e verbo no início,COMPRAR CARRO <JOÃO> foco ; QUEM COMPRAR CARRO JOÃO OU MARIA?,LIBRAS.SINTAXE.014,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.151
LIBRAS.SINTAXE.8,sintaxe,Ordem de sinais mais livre com verbos com concordância,"Sentenças com verbos com concordância permitem maior liberdade na ordenação dos constituintes em comparação com sentenças com verbos sem concordância. Isso inclui variações como SOV, OSV e VOS, desde que haja marcações não-manuais adequadas.",verbo com concordância em frase com ordenação não-SVO,JOÃO <GOSTAR MARIA>do ; JOÃO <aAJUDARb MARIA>do,LIBRAS.SINTAXE.015,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.154
LIBRAS.SINTAXE.9,sintaxe,Omissão de verbo sem auxiliar não é permitida em sentenças complexas,"Em sentenças complexas, a omissão de um verbo sem o auxiliar (AUX) é gramaticalmente inválida, exceto quando há identidade entre o verbo e seu antecedente. Isso garante a clareza e a coerência da estrutura sintática.",frase complexa com omissão de verbo,"*<aMARIA>do <bJOÃO>do <aAUXb>do <[GOSTAR] i,>mc <bJOÃO>do <TAMBÉM [e] I >mc ; JOÃOa <NÃO <bCARREGAR-CAIXAc>do>n",LIBRAS.SINTAXE.016,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.161
LIBRAS.SINTAXE.10,sintaxe,Ordem de sinais: sujeito-objeto-verbo com foco,"A ordem básica da frase em Libras é sujeito-objeto-verbo, mas pode ser alterada por movimentação de foco, onde o núcleo em foco é movido para o início da frase, seguido do verbo e do restante da estrutura. Essa reordenação é marcada por sinais não-manuais de foco.",presença de foco em um elemento da frase,[FP [EU PERDER LIVRO] i <[F PERDER] [IP t i ]>mc ; [FP [QUEM GOSTAR GATO] i >qu <[F QUEM] [IP t i ]>qu,LIBRAS.SINTAXE.017,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.174
