id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
LIBRAS.MORFOLOGIA.001,morfologia,Representação de pluralização por repetição sequencial,"A pluralização de um sinal pode ser representada na glosa pela repetição sequencial do sinal, indicada por três sinais idênticos seguidos (ex.: CASA+++).",Quando um substantivo ou sinal é pluralizado por meio de repetição sequencial do sinal.,True,casas -> CASA+++,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,194,"Processos flexionais manifestos fazem uso de morfologia sequencial, como é o caso da pluralização exemplificada em (55) CASA+++. A produção repetida sequencial de morfemas livres CASA manifesta uma flexão consecutiva."
LIBRAS.MORFOLOGIA.002,morfologia,Representação de composição por justaposição simultânea,A composição de sinais realizada por justaposição simultânea (um sinal por cada mão) deve ser representada na glosa com o símbolo '^' entre os sinais (ex.: PALAVRA^PALAVRA).,"Quando a composição lexical é formada pela articulação simultânea de dois sinais idênticos, um por cada mão.",True,composição -> PALAVRA^PALAVRA,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,194,"o sinal de “composição”, em Libras, constituído pela derivação simultânea, por um processo de justaposição de duas vezes o sinal (51) PALAVRA, que equivale a (56) PALAVRA^PALAVRA (composição), sendo os dois sinais articulados, um  por cada uma das mãos."
LIBRAS.MORFOLOGIA.003,morfologia,Representação de compostos por justaposição,"Compostos formados por justaposição de dois sinais (coordenação) devem ser representados na glosa pela junção das etiquetas dos sinais componentes, separadas pelo símbolo '^' (ex.: BOA^NOITE, CARRO^BATER).",Quando a frase em português corresponde a um composto de Libras formado pela combinação de dois sinais distintos (justaposição).,True,boa noite -> BOA^NOITE ; acidente -> CARRO^BATER,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,197,"Essa regra representa compostos por justaposição com dois núcleos – compostos por coordenação. Nestes sinais, a mão não dominante aparece no espaço neutro... como em (60) BOA^NOITE (BOA NOITE) e (61) CARRO^BATER (ACIDENTE)"
LIBRAS.MORFOLOGIA.004,morfologia,Representação de compostos com eliminação de movimento,"Compostos formados pela eliminação de movimento interno ou repetição (sequência única) devem ser representados na glosa pela junção das etiquetas dos sinais componentes, separadas pelo símbolo '^' (ex.: SÁBADO^DOMINGO).",Quando a frase em português corresponde a um composto de Libras onde o movimento de um dos sinais é eliminado ou modificado para se conectar ao outro.,True,fim de semana -> SÁBADO^DOMINGO,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,196,"Regra da sequência única: Em compostos, o movimento interno ou a repetição do movimento é eliminada, como em (58) SÁBADO^DOMINGO (fim de semana)"
LIBRAS.MORFOLOGIA.005,morfologia,Representação de compostos sequenciais na glosa,"Compostos formados por justaposição sequencial (sinais realizados um após o outro) devem ser representados na glosa pela junção das etiquetas dos sinais constituintes, separadas pelo símbolo '^' (ex: CASA^ESTUDAR).",Quando a frase em português corresponde a um sinal composto nativo formado por justaposição sequencial de dois ou mais sinais.,True,escola -> CASA^ESTUDAR ; zebra -> CAVALO^LISTRA-PELO-CORPO ; rio -> AGUA^CAMINHO ; lago -> AGUA^CIRCULO ; piscina -> AGUA^RETANGULO ; divorcio -> ASSINAR^SEPARAR,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,199,"Dessa forma, o composto resultante da composição do núcleo (62) CASA com (63) ESTUDAR/ESTUDO, em posição de um morfema modificador do lugar, especifica o tipo de CASA a que se refere a composição, no caso, (64) CASA^ESTUDAR, que equivale a escola"
LIBRAS.MORFOLOGIA.006,morfologia,Representação de compostos simultâneos na glosa,"Compostos formados por justaposição simultânea (sinais realizados ao mesmo tempo) devem ser representados na glosa pela junção das etiquetas dos sinais constituintes, separadas pelo símbolo '^' (ex: PALAVRA^PALAVRA).",Quando a frase em português corresponde a um sinal composto nativo formado por justaposição simultânea de dois ou mais sinais.,True,composição -> PALAVRA^PALAVRA,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,200,(67) PALAVRA^PALAVRA (composição) < = > justaposição simultânea
LIBRAS.CLASSIFICADORES.001,classificadores,Representação de compostos com classificador na glosa,"Compostos formados pela justaposição de um classificador (CL) e um item lexical devem ser representados na glosa pela junção da etiqueta do classificador e do sinal, separadas pelo símbolo '^' (ex: CL-coisa-pequena^PERFURAR).",Quando a frase em português corresponde a um sinal composto que inclui um classificador como um dos constituintes.,True,alfinete -> CL-coisa-pequena^PERFURAR ; agulha -> CL-coisa-pequena^APLICAR-NO-BRACO ; alojamento -> DORMIR^CL-pessoa+,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,200,Justaposição de um classificador com um item le- xical. Nesse processo o classificador funciona como um clítico. São exemplos desse processo os sinais: (73) CL-coisa-pequena^PERFURAR (alfinete);
LIBRAS.MORFOLOGIA.007,morfologia,Ordem fixa em compostos verdadeiros,A ordem dos sinais na glosa deve ser invariável. A inversão da ordem dos elementos do composto resulta em glosa agramatical.,Quando a frase em português corresponde a um composto 'verdadeiro' (genuíno) formado por justaposição ou aglutinação.,True,igreja -> CASA^CRUZ (correto) ; igreja -> *CRUZ^CASA (agramatical),Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,205,"Com supressão da repetição e ordem fixa, invariável; são aqueles que se dão por justaposição ou por aglutinação, como é o caso de (91) CASA^CRUZ (igreja) e que não pode ter sua ordem trocada como em (92) *CRUZ^CASA, porque essa alteração de ordem é agramatical"
LIBRAS.MORFOLOGIA.008,morfologia,Representação de compostos por aglutinação,"O composto deve ser representado na glosa pela junção dos radicais com o símbolo '^' (ex: CASA^ESTUDAR), indicando que houve supressão ou redução de elementos (como repetições) em relação aos sinais isolados.",Quando dois morfemas lexicais livres se unem formando um terceiro sinal com supressão ou redução de elementos (aglutinação).,True,escola -> CASA^ESTUDAR ; mãe -> MULHER^BEIJO-NA-MÃO ; almoço -> COMER^MEIO-DIA,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,201,"Os compostos por aglutinação em Libras compreendem a utilização de mais de um sinal para a criação de um terceiro, mas há uma supressão ou redução de um ou mais elementos do composto... Retomando o caso de (78) CASA^ESTUDAR(escola)"
LIBRAS.MORFOLOGIA.009,morfologia,Representação de compostos dvandva,Compostos que referem-se a objetos conectados pela conjunção 'e' devem ser representados na glosa pela justaposição dos sinais com o símbolo '^' (ex: PAI^MÃE).,Quando a expressão em português denota um conjunto de itens conectados por 'e' (composto dvandva).,True,pais -> PAI^MÃE,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,205,"Pode-se dizer que, em Língua de Sinais brasileira, há também os compostos dvandva, que se referem a um ou mais objetos que podem ser conectados pela conjunção “e”. O principal exemplo que podemos dar é (90) PAI^MÃE para se referir a pais"
LIBRAS.MORFOLOGIA.010,morfologia,Ordem fixa em compostos de lugar,"Em compostos que indicam lugares, o núcleo semântico deve estar à esquerda. A ordem inversa é agramatical.",Formação de compostos que indicam lugares (ex: igreja).,True,igreja -> CASA^CRUZ (gramatical) ; igreja -> *CRUZ^CASA (agramatical),Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,206,"Quando os compostos criados indicam lugares, o núcleo se encontra à esquerda."
LIBRAS.MORFOLOGIA.011,morfologia,Ordem variável em compostos aparentes,"Em compostos aparentes, a ordem dos elementos componentes é variável. Ambas as ordens são gramaticais.",Formação de compostos aparentes onde cada sinal pode ocorrer isoladamente (ex: padaria).,True,padaria -> PÃO^CASA (gramatical) ; padaria -> CASA^PÃO (gramatical),Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,206,b) Compostos aparentes: A ordem dos elementos componentes é variável. Cada sinal pode ocorrer isoladamente
LIBRAS.MORFOLOGIA.012,morfologia,Derivação nominal por reduplicação,"Nomes derivados de verbos apresentam movimento repetido e curto, enquanto os verbos base apresentam movimento único e longo.",Derivação de nomes a partir de verbos.,False,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,207,"Ou seja, os nomes apresentam um movimento repetido e curto, enquanto os verbos apresentam um movimento único e longo."
LIBRAS.NEGACAO.001,negacao,Incorporação de negação por alteração de movimento,"Na incorporação da negação, o item negado sofre alteração no parâmetro Movimento, resultando em uma estrutura fonético-fonológica diferente da base.","Formação de sinais com negação incorporada (ex: NÃO SABER, NÃO TER).",False,NÃO SABER ; NÃO TER,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,208,"o item a ser negado sofre alteração em um dos parâmetros, especialmente o parâmetro Movimento, acarretando, assim, o aparecimento de um item de estrutura “fonético-fonológica” diferente"
