Texto,Glosa,Correto?,Regras,Sugestao,Glosa Review
Do you need help with anything?,NEED HELP WHAT?,Sim,PRON.2.5,,NEED HELP WHAT?
You need antibiotics,NEED ANTIBIOTIC.,Não,VERB.3.7,PRO.2 NEED ANTIBIOTIC,NEED ANTIBIOTIC
I will call the doctor.,CALL DOCTOR.,Não,VERB.3.7,PRO.1 CALL DOCTOR,CALL DOCTOR.
You can go home tomorrow.,TOMORROW CAN GO-HOME.,Sim,MORF.1.2; VERB.3.7,,TOMORROW CAN GO HOME.
"You need oxygen, okay?","NEED OXYGEN, OKAY?",Não,VERB.3.7; PRON.2.1,"PRO.2 NEED OXYGEN, OKAY?","NEED OXYGEN, OKAY?"
I need to check your blood test.,I NEED CHECK BLOOD TEST.,Não,PRON.2.3,I NEED CHECK YOUR BLOOD TEST,NEED CHECK BLOOD TEST.
"I need to check your glucose test, please.","I NEED CHECK GLUCOSE TEST, PLEASE.",,,,"NEED CHECK GLUCOSE TEST, PLEASE."
The doctor will give you medicine now.,NOW DOCTOR GIVE MEDICINE.,,,,NOW DOCTOR GIVE MEDICINE.
Do you have stomach pain?,HAVE STOMACH PAIN?,Não,VERB.3.7,PRO.2 HAVE STOMACH PAIN?,HAVE STOMACH PAIN?
Do you have shortness of breath?,HAVE TROUBLE BREATHING?,Não,VERB.3.7,PRO.2 HAVE TROUBLE BREATHING?,HAVE PROBLEM BREATH?
Do you feel confused?,FEEL CONFUSED?,Não,VERB.3.7,PRO.2 FEEL CONFUSED?,FEEL CONFUSED?
Are you having a heart attack?,HEART ATTACK?,Não,VERB.3.7,YOU HAVE HEART ATTACK?,HAVE HEART ATTACK?
Do you have heart problems?,HAVE HEART PROBLEM?,Não,VERB.3.7; PRON.2.1,PRO.2 HAVE HEART PROBLEM?,HAVE HEART PROBLEM?
How are you feeling now?,NOW FEEL HOW?,Sim,PRON.2.5,,NOW FEEL HOW?
Can you breathe?,YOU BREATHE?,,,,CAN BREATHE?
The blood test is ready now.,NOW BLOOD TEST READY.,Sim,,,NOW BLOOD TEST READY.
Your blood test is ready now.,YOUR BLOOD TEST READY NOW.,,,,NOW BLOOD TEST READY.
"Did you take the medicine, and do you feel better now?","TAKE MEDICINE, NOW FEEL BETTER?",Não,VERB.3.7,PRO.2 TAKE MEDICINE? PRO.2 FEEL BETTER NOW?,"TAKE MEDICINE, NOW FEEL BETTER?"
Are you in severe pain now?,NOW YOU PAIN STRONG?,Sim,PRON.2.1,,NOW YOU PAIN STRONG?
Do you have a high fever?,HAVE HIGH FEVER?,,,,HAVE HIGH FEVER?
Do you need a doctor now?,NOW NEED DOCTOR?,,,,NOW NEED DOCTOR?
Do you need emergency care now?,NOW NEED EMERGENCY HELP?,Não,VERB.3.7,PRO.2 NEED EMERGENCY HELP?,NOW NEED EMERGENCY HELP?
Is the baby moving?,BABY MOVE?,Sim,VERB.3.7,,BABY MOVE?
When did your fever start?,FEVER START WHEN?,Sim,PRON.2.5,,FEVER START WHEN?
