id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_pagina,fonte_citacao
MP.ERR.E1,notacao,Correção de mojibake/encoding,"Corrige caracteres corrompidos usando o texto em inglês como referência; se irrecuperável, mantém o melhor palpite.",quando há caractere corrompido/garbled na glosa,True,Ha?kmark -> HOKMARK ; Sa`NCHEZ -> SANCHEZ,0,main_pipeline/01_errors.yaml E1
MP.ERR.E2,notacao,Remoção de prefixos indevidos,"A convenção não usa prefixo; remove DESC-, X-, G-.",quando um sinal tem prefixo DESC-/X-/G-,True,DESC-FINANCIAL -> FINANCIAL ; X-I -> I,0,main_pipeline/01_errors.yaml E2
MP.ERR.E3,notacao,Correção de typo/token truncado,Corrige typo ou token truncado pelo sentido da frase em inglês.,quando há typo ou token truncado,True,gyneclogist -> GYNECOLOGIST ; nerlands -> NETHERLANDS,0,main_pipeline/01_errors.yaml E3
MP.ERR.E4,lexico,Expansão de abreviação,Expande abreviações para a forma plena.,quando há abreviação,True,LAB -> LABORATORY ; SEC -> SECOND,0,main_pipeline/01_errors.yaml E4
MP.ERR.E5,morfologia,Quebra de composto falso,"Se um hífen une dois sinais que na verdade são separados, separa-os; compostos reais são tratados depois.",quando um hífen une dois sinais separados,True,BLOOD-TEST -> BLOOD TEST,0,main_pipeline/01_errors.yaml E5
MP.CLEAN.R1,notacao,Tudo em maiúsculas,A glosa inteira em MAIÚSCULAS.,sempre,True,,0,main_pipeline/02_clean.yaml R1
MP.CLEAN.R2,sintaxe,Remoção de artigos,"Remove artigos (the, a, an).",quando há artigo,True,the doctor -> DOCTOR,0,main_pipeline/02_clean.yaml R2
MP.CLEAN.R3,sintaxe,Remoção de preposições e 'to' do infinitivo,"Remove preposições (for, of, to, with, in, from, about) e o 'to' do infinitivo. Exceção: mantém preposição que marca localização física específica. Mantém quantificadores (any, some, all, many).",quando há preposição ou 'to' de infinitivo,True,need to check -> NEED CHECK,0,main_pipeline/02_clean.yaml R3
MP.CLEAN.R4,sintaxe,Remoção da cópula 'be',"Remove a cópula de ligação 'be' em todas as formas (is, are, am, was, were, be, been, being).",quando há cópula 'be',True,the test is ready -> TEST READY,0,main_pipeline/02_clean.yaml R4
MP.CLEAN.R5,pergunta,Remoção de auxiliares de pergunta,"Remove auxiliares de pergunta (do, does, did).",quando há do/does/did auxiliar,True,do you have pain -> HAVE PAIN,0,main_pipeline/02_clean.yaml R5
MP.CLEAN.R6,tempo-aspecto,Remoção de have/has/had auxiliar,Remove HAVE/HAS/HAD auxiliar (tempo perfeito). Mantém HAVE possessivo/de conteúdo.,quando have/has/had é auxiliar de perfeito,True,have been submitted -> SUBMIT ; do you have pain -> HAVE PAIN,0,main_pipeline/02_clean.yaml R6
MP.CLEAN.R7,pronomes,Remoção de pronomes pessoais,"Remove pronomes pessoais (I, YOU, HE, SHE, WE, THEY, US, THEM); o sujeito é inferido pelo contexto. Exceção: mantém quando a frase não tem verbo lexical (HOW YOU?, WHERE YOU?) ou o pronome é necessário ao sentido.",quando há pronome pessoal sujeito/objeto,True,I NEED CHECK -> NEED CHECK ; see you soon -> SEE SOON,0,main_pipeline/02_clean.yaml R7
MP.CLEAN.R8,pronomes,Remoção de possessivos,"Remove possessivos (YOUR, MY, OUR, THEIR), inclusive antes de parte do corpo/condição.",quando há possessivo,True,YOUR PNEUMONIA -> PNEUMONIA,0,main_pipeline/02_clean.yaml R8
MP.CLEAN.R9,morfologia,Substantivo comum no singular,Forma singular para substantivos comuns; nunca altera nome próprio (pessoa/lugar/organização) mesmo terminando em -s.,quando há substantivo comum no plural,True,ANTIBIOTICS -> ANTIBIOTIC ; NETHERLANDS fica,0,main_pipeline/02_clean.yaml R9
MP.CLEAN.R10,verbos,Verbo na forma base,Verbo na forma base; o tempo vira marcador depois (reordenação).,quando o verbo está flexionado,True,MOVING -> MOVE ; SUBMITTED -> SUBMIT,0,main_pipeline/02_clean.yaml R10
MP.CLEAN.R11,notacao,Composto lexicalizado com underscore,"Não há lista geral de compostos: o padrão são dois sinais separados. Usa underscore SÓ para uma lista fechada de compostos lexicalizados e nunca inventa novo: HOW_MUCH, NO_PROBLEM, NOT_UNDERSTAND, PANIC_ATTACK, PASS_OUT, THANK_YOU, THIS_MORNING, WRITE_DOWN.",quando o sinal é um composto lexicalizado conhecido,True,panic attack -> PANIC_ATTACK ; blood test -> BLOOD TEST,0,main_pipeline/02_clean.yaml R11
MP.CLEAN.R12,pronomes,Manter demonstrativos,"Mantém demonstrativos THIS, THAT, THESE, THOSE (são sinais de apontamento).",quando há demonstrativo,True,LIKE THIS -> LIKE THIS,0,main_pipeline/02_clean.yaml R12
