pipeline,id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao,canal_extracao,canal_confirmado,divergencia,motivo_confirmacao
sign2voice,LIBRAS.PRONOMES.001,pronomes,Estabelecimento de referentes no espaço,"Toda referência nominal no discurso requer o estabelecimento de um local específico no espaço de sinalização (frente do corpo). Isso pode ser feito executando o sinal no local, direcionando o olhar/corpo, usando apontação ostensiva (IX) antes do sinal, ou usando classificadores. Uma vez estabelecido, o ponto pode ser referido posteriormente.",Introdução de um novo referente (substantivo) no discurso ou menção a um referente já estabelecido.,false,CASA (do João) -> CASA (sinalizado no ponto 'a') ; IX CASA -> CASA IX(casa),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,123,"Qualquer referência usada no discurso requer o estabelecimento de um local no espaço de sinalização (espaço definido na frente do corpo do sinalizador), observando várias restrições.",sign2voice,sign2voice,,"Exige verificação de localização espacial e uso de classificadores, invisíveis na glosa."
sign2voice,LIBRAS.PRONOMES.002,pronomes,Argumentos nulos,"A Libras permite o apagamento de sujeitos e objetos nas sentenças contendo verbos com concordância, pois é uma língua que marca o parâmetro de argumentos nulos (pro-drop).",Uso de verbos com concordância onde os referentes já foram estabelecidos no espaço.,false,"Na língua de sinais brasileira observa-se a mesma distribuição (Quadros, 1995).",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,135,"Na língua de sinais brasileira observa-se a mesma distribuição (Quadros, 1995).",voice2sign,sign2voice,sim,Exige verificação de referentes espaciais não representados na glosa.
sign2voice,LIBRAS.PRONOMES.003,pronomes,Ocorrência de argumentos nulos com verbos de concordância,"Argumentos nulos (sujeito ou objeto não sinalizados explicitamente) são permitidos em contextos sintáticos com verbos com concordância, mas não em sentenças com verbos sem concordância.",Frase com verbo com concordância e argumentos elididos.,false,Amanhã el@ conversa com el@ -> <AMANHÃ> IXa CONVERSAR IXb ; Amanhã (você) dará o livro (a el@) -> AMANHÃ <aDARb>do LIVRO,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,156,Argumentos nulos contendo verbos com concordância ocorrem em contextos sintáticos em oposição às sentenças contendo verbos sem concordância.,voice2sign,sign2voice,sim,"Exige distinguir verbos com e sem concordância, informação não presente na glosa."
sign2voice,LIBRAS.PRONOMES.004,pronomes,Sistema de pronomes por apontamento (IX),As pessoas do discurso são marcadas por apontamentos no espaço de sinalização: 1ª pessoa aponta para o peito do sinalizante; 2ª pessoa aponta para o interlocutor; 3ª pessoa aponta para um ponto específico no espaço (real ou arbitrário).,"Referência a pessoas do discurso (1ª, 2ª ou 3ª pessoa) na frase.",false,eu -> 1ª pessoa (apontamento para o peito) ; você -> 2ª pessoa (apontamento para o interlocutor) ; ele/ela -> 3ª pessoa (apontamento para ponto no espaço),Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,214,É a partir desse sistema de localizações no espaço que a Libras faz distinção entre as pessoas do discurso. O apontamento em direção ao peito do sinalizante marca a 1ª pessoa. Já o apontamento em direção ao interlocutor indica a 2ª pessoa do discurso. Já a 3ª pessoa é marcada a partir do apontamento a um ponto específico no espaço,sign2voice,sign2voice,,A glosa não diferencia a direção ou localização do apontamento no espaço.
sign2voice,LIBRAS.PRONOMES.005,pronomes,Referenciação por articulação-boca,"A articulação-boca referencial assume função complementar aos sinais de indicação (apontação). Ela realiza a referenciação de pessoas, lugares ou papéis no discurso, podendo reforçar a indicação manual ou especificar a locação do referente no espaço.","Quando o sinalizante se refere a um elemento já mencionado ou localizado no espaço (pessoa, lugar, papel), utilizando a articulação-boca concomitantemente ou em apoio à indicação manual.",false,DIFERENTE + articulação-boca 'tifeete' (referência a si mesmo) ; ESCOLA + articulação-boca 'esola' (referência ao lugar) ; PROFESSOR + articulação-boca 'poofesoo' (referência ao papel/locução),Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,280,"Na Libras, a articulação-boca referencial assume função complementar, quando associada aos sinais manuais de indicação.",sign2voice,sign2voice,,A articulação de boca não é representada na glosa escrita.
sign2voice,LIBRAS.CONCORDANCIA.001,concordancia,Concordância verbal direcional,Verbos direcionais (ou verbos com concordância) devem concordar com o sujeito e/ou com o objeto (direto ou indireto) da frase. A direção do movimento da mão e a direção do olhar acompanham os pontos estabelecidos no espaço para os argumentos.,Uso de verbos da classe dos verbos direcionais com sujeito e/ou objeto localizáveis no espaço.,false,(el@) <aOLHARb>do (el@) ; (el@) <aAJUDARb>do (el@) ; (el@) <aENTREGARb>do (el@),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,126,"Na língua de sinais brasileira, esses verbos têm que concordar com o sujeito e/ou com o objeto indireto/direto da frase. Como se pode observar nas fotos a seguir, há uma relação entre os pontos estabelecidos no espaço e os argumentos que estão incorporados no verbo.",sign2voice,sign2voice,,Direção do movimento e olhar não estão na glosa.
sign2voice,LIBRAS.CONCORDANCIA.002,concordancia,Elevação do objeto com verbos de concordância,"A presença de concordância verbal (verbos direcionais/manuais) permite a elevação do objeto para uma posição mais alta, derivando a ordem SOV.","Uso de verbos com concordância (ex: DIZER, ENTREGAR, AJUDAR) onde o objeto é localizável no espaço.",false,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,149,A presença de concordância verbal permite a elevação do objeto para uma posição mais alta derivando a ordem SOV,sign2voice,sign2voice,,"Exige verificação de elevação espacial, que não está na glosa."
sign2voice,LIBRAS.CONCORDANCIA.003,concordancia,Obrigatoriedade de marcas não-manuais em verbos de concordância,"O uso de marcas não-manuais (como a direção do olhar acompanhando o movimento) é obrigatório para verbos com concordância, enquanto é opcional para verbos sem concordância.",Uso de verbos com concordância (direcionais).,false,João olha para a Maria -> <MARIAb>do <JOÃOa aOLHARb>do (com marcas não-manuais),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,154,As marcas não-manuais são obrigatórias nos verbos com concordância e opcionais nos verbos sem concordância.,sign2voice,sign2voice,,Marcas não-manuais não aparecem na glosa escrita.
sign2voice,LIBRAS.CONCORDANCIA.004,concordancia,Concordância verbal obrigatória com objeto,"Nas línguas de sinais, a concordância é obrigatória com o objeto. A concordância com o sujeito pode ou não ser realizada, dependendo da seleção do verbo.",Presença de objeto direto/indireto animado.,false,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,195,"Nas línguas de sinais, a concordância é obrigatória com o objeto, podendo ou não ser realizada com o sujeito, dependendo da seleção do verbo.",sign2voice,sign2voice,,"Concordância depende de movimento e configuração de mão, ausentes na glosa."
sign2voice,LIBRAS.CONCORDANCIA.005,concordancia,Trajetória de verbos com concordância (backward verbs),"A maioria dos verbos com concordância inicia a trajetória na posição do sujeito e termina na posição do objeto. No entanto, existem 'backward verbs' (verbos de retorno) que iniciam a trajetória na posição do objeto e concluem-na na posição do sujeito. Exemplos comuns incluem BUSCAR e CHAMAR.","Uso de verbos com concordância espacial, especificamente os classificados como 'backward verbs' (ex: BUSCAR, CHAMAR).",false,"Verbos padrão: Sujeito -> Objeto ; Backward verbs (BUSCAR, CHAMAR): Objeto -> Sujeito",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,199,"Tais verbos iniciam a trajetória do sinal na posição do objeto e concluem-na na posição de sujeito, ao contrário dos demais verbos com concordância",sign2voice,sign2voice,,Trajetória espacial não está presente na glosa escrita.
