id,text,gloss,health
124,hepatitis c written statement see minutes,HEPATITIS C WRITE STATEMENT SEE MINUTE,NO
127,community action on the provision of cross border health care vote,COMMUNITY ACTION ON PROVISION CROSS BORDER HEALTH CARE VOTE,NO
168,discharge 2005 european monitoring centre for drugs and drug addiction vote,DISCHARGE 2005 EUROPEAN MONITORING CENTER FOR DRUG AND DRUG ADDICTION VOTE,NO
170,discharge 2005 european agency for safety and health at work vote,DISCHARGE 2005 EUROPEAN AGENCY FOR SAFETY AND HEALTH AT WORK VOTE,NO
172,discharge 2005 european agency for the evaluation of medicinal products vote,DISCHARGE 2005 EUROPEAN AGENCY FOR EVALUATION MEDICINAL PRODUCT VOTE,NO
178,discharge 2005 european centre for disease prevention and control vote,DISCHARGE 2005 EUROPEAN CENTER FOR DISEASE PREVENTION AND CONTROL VOTE,NO
182,combating hiv / aids within the eu and in the neighbouring countries 2006 2009 vote,COMBATE HIV AID WITHIN EU AND IN NEIGHBOURING COUNTRY 2006 2009 VOTE,NO
212,directives concerning the protection of health and safety of workers simplifying and rationalising practical implementation reports vote,DIRECTIVE CONCERN PROTECTION HEALTH AND SAFETY WORKER SIMPLIFY AND RATIONALISE DESC-PRACTICAL IMPLEMENTATION REPORT VOTE,NO
247,report reynaud,REPORT REYNAUD,NO
319,addition of vitamins and minerals and of certain other substances to foods vote,ADDITION VITAMIN AND MINERAL AND DESC-CERTAIN DESC-OR SUBSTANCE TO FOOD VOTE,NO
321,nutrition and health claims made on foods vote,NUTRITION AND HEALTH CLAIM MAKE ON FOOD VOTE,NO
432,community action programme in the field of health 2007 2013 vote,COMMUNITY ACTION PROGRAM IN FIELD HEALTH 2007 2013 VOTE,NO
466,action to tackle cardiovascular disease vote,ACTION TO TACKLE DESC-CARDIOVASCULAR DISEASE VOTE,NO
472,trips agreement and access to medicines vote,TRIP AGREEMENT AND ACCESS TO MEDICINE VOTE,NO
507,reducing alcohol related harm vote,REDUCE ALCOHOL RELATE HARM VOTE,NO
510,international health regulations vote,DESC-INTERNATIONAL HEALTH REGULATION VOTE,NO
562,need for a comprehensive strategy to control cancer written declaration see minutes,NEED FOR DESC-COMPREHENSIVE STRATEGY TO CONTROL CANCER WRITE DECLARATION SEE MINUTE,NO
573,dys crimination and social exclusion affecting children withdys abilities written declaration see minutes,DY CRIMINATION AND DESC-SOCIAL EXCLUSION AFFECT CHILD WITHDY ABILITY WRITE DECLARATION SEE MINUTE,NO
722,electro medical equipment used in veterinary medicine vote,ELECTRO DESC-MEDICAL EQUIPMENT USE IN DESC-VETERINARY MEDICINE VOTE,NO
773,the innovative medicines initiative joint undertaking vote,DESC-INNOVATIVE MEDICINE INITIATIVE DESC-JOINT UNDERTAKING VOTE,NO
897,cap health check,CAP HEALTH CHECK,NO
917,animal health requirements applicable to the non commercial movements of pet animals,ANIMAL HEALTH REQUIREMENT DESC-APPLICABLE TO NON DESC-COMMERCIAL MOVEMENT PET ANIMAL,NO
943,2006 discharge european centre for disease prevention and control,2006 DISCHARGE EUROPEAN CENTER FOR DISEASE PREVENTION AND CONTROL,NO
944,2006 discharge european monitoring centre for drugs and drug addiction,2006 DISCHARGE EUROPEAN MONITORING CENTER FOR DRUG AND DRUG ADDICTION,NO
948,2006 discharge european medicines agency,2006 DISCHARGE EUROPEAN MEDICINE AGENCY,NO
961,the role of civil society in drugs policy in the european union,ROLE DESC-CIVIL SOCIETY IN DRUG POLICY IN EUROPEAN UNION,NO
993,community tobacco fund,COMMUNITY TOBACCO FUND,NO
1006,rheumatic diseases written declaration see minutes,RHEUMATIC DISEASE WRITE DECLARATION SEE MINUTE,NO
1026,hygiene of foodstuffs,HYGIENE FOODSTUFF,NO
1027,prohibition on the use in stockfarming of certain substances having a hormonal or thyreostatic action and of beta agonists,PROHIBITION ON USE IN STOCKFARM DESC-CERTAIN SUBSTANCE HAVE HORMONAL OR THYREOSTATIC ACTION AND BETA AGONIST,NO
1081,minimum safety and health requirements for the use of work equipment,MINIMUM SAFETY AND HEALTH REQUIREMENT FOR USE WORK EQUIPMENT,NO
1152,mid term review of the european environment and health action plan 2004 2010,MID TERM REVIEW EUROPEAN ENVIRONMENT AND HEALTH ACTION PLAN 2004 2010,NO
1170,colouring matters for medicinal products recast version,COLOR MATTER FOR MEDICINAL PRODUCT RECAST VERSION,NO
1196,"white paper on nutrition , overweight and obesity related health issues","DESC-WHITE PAPER ON NUTRITION , DESC-OVERWEIGHT AND OBESITY RELATE HEALTH ISSUE",NO
1219,supplementary protection certificate for medicinal products codified version,DESC-SUPPLEMENTARY PROTECTION CERTIFICATE FOR MEDICINAL PRODUCT CODIFY VERSION,NO
1244,variations to the terms of marketing authorisations for medicinal products,VARIATION TO TERM MARKETING AUTHORISATION FOR MEDICINAL PRODUCT,NO
1270,school fresh fruit scheme amendment of single cmo regulation,SCHOOL DESC-FRESH FRUIT SCHEME AMENDMENT DESC-SINGLE CMO REGULATION,NO
1275,community statistics on public health and health and safety at work,COMMUNITY STATISTICS ON PUBLIC HEALTH AND HEALTH AND SAFETY AT WORK,NO
1292,hiv / aids early diagnosis and early care vote,HIV AID DESC-EARLY DIAGNOSIS AND DESC-EARLY CARE VOTE,NO
1505,"plant protection products are , in fact , medicine for plants .","PLANT PROTECTION PRODUCT BE , IN FACT , MEDICINE FOR PLANT .",NO
1514,"a headache tablet is a blessing , but if you take 20 it becomes dangerous , even life threatening .","HEADACHE TABLET BE BLESSING , BUT IF X-YOU TAKE 20 X-IT BECOME DESC-DANGEROUS , DESC-EVEN LIFE THREATEN .",NO
1528,the agreement reached represents significant progress in the protection of public health and the environment in the european union .,AGREEMENT REACH REPRESENT DESC-SIGNIFICANT PROGRESS IN PROTECTION PUBLIC HEALTH AND ENVIRONMENT IN EUROPEAN UNION .,NO
1530,"however , they can also have an impact on human health , animal health and the environment .","DESC-HOWEVER , X-Y CAN DESC-ALSO HAVE IMPACT ON DESC-HUMAN HEALTH , ANIMAL HEALTH AND ENVIRONMENT .",NO
1533,clear and strict criteria would be set for the approval of active substances .,DESC-CLEAR AND DESC-STRICT CRITERION WOULD BE SET FOR APPROVAL DESC-ACTIVE SUBSTANCE .,NO
1540,"they have worked hard to reach this compromise , which strikes a balance between human health and agricultural production .","X-Y HAVE WORK DESC-HARD TO REACH THIS COMPROMISE , WHICH STRIKE BALANCE BETWEEN DESC-HUMAN HEALTH AND DESC-AGRICULTURAL PRODUCTION .",NO
1544,"neurotoxic substances , for example .","DESC-NEUROTOXIC SUBSTANCE , FOR EXAMPLE .",NO
1545,these are substances that impair the development of children's brains .,SE BE SUBSTANCE THAT IMPAIR DEVELOPMENT CHILD X-POSS BRAIN .,NO
1548,this is a victory for health and for the environment .,THIS BE VICTORY FOR HEALTH AND FOR ENVIRONMENT .,NO
1549,i must address the very controversial issue of endocrine disrupters .,X-I MUST ADDRESS DESC-VERY DESC-CONTROVERSIAL ISSUE ENDOCRINE DISRUPTER .,NO
1559,there is no doubt that rates of cancer have increased .,DESC-RE BE NO DOUBT THAT RATE CANCER HAVE INCREASE .,NO
