id,text,gloss
1,membership of parliament see minutes,MEMBERSHIP PARLIAMENT SEE MINUTE
2,approval of minutes of previous sitting see minutes,APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE
3,verification of credentials see minutes,VERIFICATION CREDENTIALS SEE MINUTE
4,documents received see minutes,DOCUMENT RECEIVE SEE MINUTE
5,written statements and oral questions tabling see minutes,WRITE STATEMENT AND DESC-ORAL QUESTION TABLE SEE MINUTE
6,petitions see minutes,PETITION SEE MINUTE
7,texts of agreements forwarded by the council see minutes,TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE
8,action taken on parliament's resolutions see minutes,ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE
9,agenda for next sitting see minutes,AGENDA FOR NEXT SIT SEE MINUTE
10,closure of sitting,CLOSURE SIT
11,the sitting was closed at 7.45 p.m.,SIT BE DESC-CLOSE AT 7.45 DESC-P.M.
12,election of vice presidents of the european parliament deadline for submitting nominations see minutes,ELECTION VICE PRESIDENT EUROPEAN PARLIAMENT DEADLINE FOR SUBMIT NOMINATION SEE MINUTE
13,the sitting was suspended at 12.40 p.m. and resumed at 3.00 p.m.,SIT BE SUSPEND AT 12.40 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.
14,election of quaestors of the european parliament deadline for submitting nominations see minutes,ELECTION QUAESTOR EUROPEAN PARLIAMENT DEADLINE FOR SUBMIT NOMINATION SEE MINUTE
15,the sitting was suspended at 3.25 p.m. and resumed at 6.00 p.m.,SIT BE SUSPEND AT 3.25 DESC-P.M. AND RESUME AT 6.00 DESC-P.M.
16,the sitting was closed at 6.15 p.m.,SIT BE DESC-CLOSE AT 6.15 DESC-P.M.
17,opening of the sitting,OPEN SIT
18,the sitting was opened at 9.35 a.m.,SIT BE DESC-OPEN AT 9.35 DESC-A.M.
19,membership of committees deadline for tabling amendments see minutes,MEMBERSHIP COMMITTEE DEADLINE FOR TABLE AMENDMENT SEE MINUTE
20,the sitting was suspended at 7 p.m. and resumed at 9 p.m.,SIT BE SUSPEND AT 7 DESC-P.M. AND RESUME AT 9 DESC-P.M.
21,the sitting was suspended at 23.25 p.m.,SIT BE SUSPEND AT 23.25 DESC-P.M.
22,communication of council common positions see minutes,COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE
23,the sitting was suspended at 11.35 a.m. and resumed for voting time at noon,SIT BE SUSPEND AT 11.35 DESC-A.M. AND RESUME FOR VOTING TIME AT NOON
24,committee of inquiry into the crisis of the equitable life assurance society extension of mandate see minutes,COMMITTEE INQUIRY INTO CRISIS DESC-EQUITABLE LIFE ASSURANCE SOCIETY EXTENSION MANDATE SEE MINUTE
25,announcement by the president see minutes,ANNOUNCEMENT BY PRESIDENT SEE MINUTE
26,membership of committees vote,MEMBERSHIP COMMITTEE VOTE
27,amendment of the acp ec partnership agreement vote,AMENDMENT ACP EC PARTNERSHIP AGREEMENT VOTE
28,certification of train drivers operating locomotives and trains on the railway system in the community vote,CERTIFICATION TRAIN DRIVER OPERATE LOCOMOTIVE AND TRAIN ON RAILWAY SYSTEM IN COMMUNITY VOTE
29,law applicable to non contractual obligations rome ii vote,LAW DESC-APPLICABLE TO NON DESC-CONTRACTUAL OBLIGATION ROME IUS VOTE
30,seventh and eighth annual reports on arms exports vote,DESC-SEVENTH AND DESC-EIGHTH DESC-ANNUAL REPORT ON ARM EXPORT VOTE
31,corrections to votes and voting intentions see minutes,CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE
32,membership of committees and delegations see minutes,MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE
33,request for waiver of parliamentary immunity see minutes,REQUEST FOR WAIVER DESC-PARLIAMENTARY IMMUNITY SEE MINUTE
34,decisions concerning certain documents see minutes,DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE
35,written statements for entry in the register rule 116 see minutes,WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE
36,forwarding of texts adopted during the sitting see minutes,FORWARDING TEXT ADOPT DURING SIT SEE MINUTE
37,dates for next sittings see minutes,DATE FOR NEXT SIT SEE MINUTE
38,adjournment of the session,ADJOURNMENT SESSION
39,i declare the session of the european parliament adjourned .,X-I DECLARE SESSION EUROPEAN PARLIAMENT ADJOURN .
40,the sitting was closed at 1 p.m.,SIT BE DESC-CLOSE AT 1 DESC-P.M.
41,request for the defence of parliamentary immunity see minutes,REQUEST FOR DEFENSE DESC-PARLIAMENTARY IMMUNITY SEE MINUTE
42,appointments to committees proposal by the conference of presidents see minutes,APPOINTMENT TO COMMITTEE PROPOSAL BY CONFERENCE PRESIDENT SEE MINUTE
43,oral questions and written statements tabling see minutes,DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE
44,written statements rule 116 see minutes,WRITE STATEMENT RULE 116 SEE MINUTE
45,agenda see minutes,AGENDA SEE MINUTE
46,appointments to parliamentary committees vote see minutes,APPOINTMENT TO DESC-PARLIAMENTARY COMMITTEE VOTE SEE MINUTE
47,voting time,VOTE TIME
48,the sitting was closed at 12 midnight,SIT BE DESC-CLOSE AT 12 MIDNIGHT
49,the sitting was opened at 09.05,SIT BE DESC-OPEN AT 09.05
50,protection of passengers against displaced luggage vote,PROTECTION PASSENGER AGAINST DISPLACE LUGGAGE VOTE
51,approval of motor vehicles with regard to the forward field of vision of the driver vote,APPROVAL MOTOR VEHICLE WITH REGARD TO DESC-FORWARD FIELD VISION DRIVER VOTE
52,ec korea agreement on scientific and technological cooperation vote,EC KOREA AGREEMENT ON DESC-SCIENTIFIC AND DESC-TECHNOLOGICAL COOPERATION VOTE
53,mainstreaming sustainability in development cooperation policies vote,MAINSTREAM SUSTAINABILITY IN DEVELOPMENT COOPERATION POLICY VOTE
54,draft amending budget no 1 / 2007 vote,DRAFT AMEND BUDGET NO 1 2007 VOTE
55,ec gabon fisheries partnership vote,EC GABON FISHERY PARTNERSHIP VOTE
56,limitation periods in cross border disputes involving personal injuries and fatal accidents vote,LIMITATION PERIOD IN CROSS BORDER DISPUTE INVOLVE DESC-PERSONAL INJURY AND DESC-FATAL ACCIDENT VOTE
57,strategy for a strengthened partnership with the pacific islands vote,STRATEGY FOR STRENGN PARTNERSHIP WITH PACIFIC ISLAND VOTE
58,the european private company statute vote,EUROPEAN DESC-PRIVATE COMPANY STATUTE VOTE
59,that concludes the vote .,THAT CONCLUDE VOTE .
60,assignment conferred on a member see minutes,ASSIGNMENT CONFER ON MEMBER SEE MINUTE
61,action taken on parliament's positions and resolutions see minutes,ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE
62,the sitting was closed at 10.05 p.m.,SIT BE DESC-CLOSE AT 10.05 DESC-P.M.
