id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
LIBRAS.VERBOS.1,verbos,Verbos direcionais com concordância espacial,"Verbos direcionais em Libras concordam com o sujeito e objeto em termos de localização espacial, movimento e direção, exigindo que os elementos envolvidos estejam localizados no espaço. O movimento manual e a direção dos olhos refletem a trajetória da ação, com o ponto inicial ligado ao sujeito (em concordância dupla regular) ou ao objeto (em concordância dupla reversa), e o ponto final ligado ao outro argumento. Verbos com concordância espacial podem ser unimanuais ou bimanuais, e a reciprocidade é marcada por cópia da segunda mão (M2) com movimento alternado (A->B e B->A) ou conversão do movimento. A reciprocidade só ocorre com verbos não ancorados ao corpo, sendo que verbos ancorados usam estratégia bi-oracional. Movimentos de eixo (como rotação do antebraço ou flexão do pulso) e movimentos alternados (vai para frente e volta para trás) são parâmetros fonológicos relevantes para a marcação de sujeito e objeto, e podem ocorrer em verbos com concordância número-pessoal, com movimento reto ou curvo, sendo ambos equivalentes, embora um possa estar em processo de desuso.","Verbo direcional com sujeito e objeto localizáveis no espaço; verbo com concordância que indica movimento entre dois pontos no espaço; verbo unimanual ou bimanual com construção recíproca; verbo com concordância número-pessoal com movimento de eixo ou alternado; verbo com concordância que indica movimento do objeto para o sujeito (ex: BUSCAR, CHAMAR); construção recíproca com verbo em Libras; verbo com concordância número-pessoal com movimento reto ou curvo","(eu)IR(casa) ; CARRO CL(carro passou um pelo outro) ; aJOÃO <aDARb>do LIVRO <MARIAb>do ; DAR IX(PESSOA) -> DAR IX(PESSOA) ; PERGUNTAR IX(PESSOA) -> PERGUNTAR IX(PESSOA) ; 1ªpessoaENSINAR3ªpessoa ; 3ªpessoaENSINAR1ªpessoa ; 1ªpessoaCONVIDAR2ªpessoa ; 2ªpessoaCONVIDAR1ªpessoa ; EXPLICAR-ME ; DAR-IX ; MOSTRAR-IX ; AVISAR -> DUAS-PESSOAS-AVISAM (M1: A->B, M2: B->A) ; DAR -> DUAS-PESSOAS-DÃO (M1: A->B, M2: B->A) ; AJUDAR -> AJUDAR(recíproco) (movimento alternado A->B e B->A) ; CONVERSAR EM LIBRAS -> CONVERSAR EM LIBRAS(recíproco) ; MANDAR MENSAGEM -> MANDAR MENSAGEM(recíproco) ; ME PROVOCAR -> (rotação do antebraço) ; MANDAR -> (flexão do pulso para baixo) ; ME MANDAR -> (flexão do pulso para trás) ; ME DAR (movimento reto) -> ME DAR ; ME DAR (movimento curvo) -> ME DAR ; Sinal com movimentos alternados (mãos em direções opostas) ; Sinal com movimentos 'vai para frente e volta para trás'",LIBRAS.VERBOS.001 ; LIBRAS.VERBOS.003 ; LIBRAS.VERBOS.004 ; LIBRAS.VERBOS.006 ; LIBRAS.VERBOS.007 ; LIBRAS.VERBOS.011 ; LIBRAS.VERBOS.012 ; LIBRAS.VERBOS.013 ; LIBRAS.VERBOS.014 ; LIBRAS.VERBOS.015 ; LIBRAS.VERBOS.016 ; LIBRAS.VERBOS.017 ; LIBRAS.VERBOS.018 ; LIBRAS.VERBOS.019,"Todas as candidatas descrevem variações e aspectos complementares do mesmo fenômeno central: concordância verbal em Libras com base espacial, direcional e fonológica, incluindo reciprocidade, movimentos de eixo, alternados, reto/curvo, e restrições de ancoragem ao corpo.",Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.216; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.217; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.222; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.223; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.224; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.232; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.233; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.234; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.315; Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.325; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.125; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.170; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.195
LIBRAS.VERBOS.2,verbos,Verbos com concordância permitem elevação do objeto,"A presença de concordância verbal em Libras permite que o objeto seja elevado para uma posição mais alta no espaço, resultando em uma estrutura sintática com ordem SOV (sujeito-objeto-verbo), onde o objeto é posicionado acima do sujeito antes do verbo.",Verbo com concordância + objeto,JOÃOa MARIAb aDARb ; LIVRO NÃO,LIBRAS.VERBOS.002,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.150
LIBRAS.VERBOS.3,verbos,Verbos de concordância única,"Verbos que não apresentam movimento de trajetória direcional podem ter concordância com apenas um argumento (sujeito ou objeto), dependendo da estrutura sintática da frase, sendo articulados em um único ponto no espaço.","Verbo articulado em um único ponto no espaço, com concordância com um único argumento",ESTUDAR ; TRABALHAR ; BRINCAR,LIBRAS.VERBOS.008,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.218
LIBRAS.VERBOS.4,verbos,Concordância número-pessoal com movimento reto,"Verbos com concordância número-pessoal em Libras utilizam movimento reto entre as mãos espelhadas, com direções opostas e simultâneas, para marcar sujeito e objeto no espaço, com o movimento refletindo a relação entre os participantes da ação.",verbo com concordância número-pessoal em Libras,ME-INFORMAR ; CONTROLAR,LIBRAS.VERBOS.009,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.234
LIBRAS.VERBOS.5,verbos,Orientação da mão para marcar objeto,"Verbos com concordância número-pessoal marcam o objeto pela alteração na orientação da mão (palma ou dorso) ou nos dedos (frente ou trás), em vez de movimento direcional, permitindo a distinção entre sujeito e objeto sem trajetória espacial.",verbo com concordância número-pessoal com objeto localizável no espaço,FALAR (dorso da mão) ; ME-FALAR (palma da mão),LIBRAS.VERBOS.010,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.235
LIBRAS.VERBOS.6,verbos,Verbos backward iniciam trajetória no objeto,"Verbos com concordância do tipo 'backward' iniciam o movimento do sinal na posição do objeto e terminam na posição do sujeito, ao contrário dos verbos convencionais, refletindo a direção inversa da ação (ex: BUSCAR, CHAMAR).","verbo com concordância que indica movimento do objeto para o sujeito (ex: BUSCAR, CHAMAR)",BUSCAR ; CHAMAR,LIBRAS.VERBOS.005,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.199
LIBRAS.FOCO.1,foco,Foco marcado por marcação não-manual em IP vazio,"A marcação não-manual de foco, como expressão facial, olhar direto e inclinação da cabeça, se espalha sobre todo o IP vazio após a movimentação do núcleo para Spec de FP, indicando a presença de foco em toda a estrutura do IP. Essa marcação também pode ocorrer em estruturas SOV ou OSV, com o foco sendo destacado por elementos não-manuais como < >mc.",Presença de foco com movimentação de IP para Spec de FP; elemento da frase que é o foco semântico,<IX>do FUTEBOL <GOSTA>mc (SOV) ; [FP [EU <NÃO <aIRb>do ]i >n <[F NÃO] [IP t i ]>n ; [FP [AMANHÃ EL@ COMPRAR CARRO ] i <[F AMANHÃ] [ IP t i ]>mc,LIBRAS.FOCO.001 ; LIBRAS.FOCO.002,"Ambas as candidatas descrevem a mesma estrutura: a marcação não-manual de foco se espalhando sobre o IP vazio após movimentação do núcleo para Spec de FP, com variações apenas no exemplo e na forma de apresentação.",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.128; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.178
LIBRAS.FOCO.2,foco,Foco em posição final com construção dupla em perguntas,"O foco em orações interrogativas é expresso por um elemento interrogativo em posição final, que resulta de uma construção dupla com apagamento da cópia gerada em [Spec CP], sendo marcado por expressão facial e articulação não-manual sobre toda a sentença.",Elemento interrogativo em posição final com marca não-manual sobre toda a sentença,QUEM GOSTAR MARIA QUEM ; O QUE JOÃO PEGAR O QUE,LIBRAS.FOCO.003,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.185
LIBRAS.FOCO.3,foco,Foco na posição final da frase com marcações não-manuais,"O foco de uma frase na Libras é geralmente marcado pela posição final, associada a movimentos de cabeça, expressão facial e estruturas de tópico-comentário, com destaque visual por localização espacial e articulação não-manual.",Presença de foco em uma frase,<JOÃO>t <TELA>t <PINTAR-PINCEL>cl/mc ; <CENTRO>t MULHERES [CL(pessoas)-CRUZANDO-ENTRE-SIb] hn,LIBRAS.FOCO.004,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.205
LIBRAS.FOCO.4,foco,Foco interrogativo com morfema-boca em U e expressão facial,"O morfema-boca em U, combinado com sobrancelhas franzidas, indica foco interrogativo, especialmente em perguntas sobre conteúdo, funcionando como marcação não-manual para destacar o elemento interrogativo.",Frase interrogativa com foco em conteúdo (ex: O quê?),SINAL <O QUE> + BOCA EM U + SOBRANCELHAS FRANZIDAS,LIBRAS.FOCO.005,,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia p.247
