pipeline,id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
sign2voice,LIBRAS.VERBOS.001,verbos,Verbos direcionais com concordância espacial,"Verbos direcionais (com concordância) incorporam os argumentos (sujeito e objeto) previamente localizados no espaço, com movimento manual e direção dos olhos que acompanham a direção do verbo.",verbo com concordância + sujeito e objeto ambos localizáveis no espaço,False,(eu)IR(casa) ; CARRO CL(carro passou um pelo outro),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,125,f) usar um verbo direcional (com concordância) incorporando os referentes previamente introduzidos no espaço.
sign2voice,LIBRAS.FOCO.002,foco,Marcação não-manual de foco com < >mc,"A marcação não-manual < >mc é usada para indicar foco em um elemento da frase, especialmente em estruturas SOV ou OSV.",elemento da frase que é o foco semântico,False,<IX>do FUTEBOL <GOSTA>mc (SOV),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,128,• Marcação associada com foco
sign2voice,LIBRAS.NEGACAO.001,negacao,Marcação não-manual de negação com < >n,"A marcação não-manual < >n é usada para indicar negação em uma frase, geralmente combinada com o sinal de negação ou em estruturas negativas.",frase com conteúdo negativo,False,< >n,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,128,• Marcação de negativas
sign2voice,LIBRAS.TEMPO-ASPECTO.001,tempo-aspecto,Verbos manuais como indicadores de aspecto,"Verbos manuais (como MULHER-BOLO-COLOCAR-FORNO) envolvem uma configuração de mão que representa a ação e são associados a estruturas com aspecto, permitindo variações de ordem como SOV ou OSV.",uso de verbo manual com configuração de mão que representa objeto,False,MULHER-BOLO-COLOCAR-FORNO,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,132,"Segundo Liddell (1980, p.88), as sentenças com os verbos manuais do tipo HOMEM-LIVRO-LER, são gramaticais em oposição às não-gramaticais *HO-MEN-NÚMERO-ESQUECER e *MENINO-BALA-NÃO-GOSTA, por pertencerem a essa classe restrita da ASL ."
sign2voice,LIBRAS.PRONOMES.002,pronomes,Pronomes com localização espacial para referentes ausentes,"Quando os referentes estão ausentes, pontos abstratos no espaço são estabelecidos para representá-los, usando pronomes como IX com localização específica.",referente não presente fisicamente na situação de enunciação,False,IX(casa) NOVA,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,126,"Quando os referentes estão ausentes da situação de enunciação, são estabelecidos pontos abstratos no espaço (cf. as figuras ilustram)."
sign2voice,LIBRAS.CLASSIFICADORES.001,classificadores,Classificadores usados para representar referentes no espaço,"Classificadores são usados para representar um referente em uma localização específica no espaço, especialmente quando o referente é um objeto ou entidade com forma definida.",referente que pode ser representado por uma forma física ou configuração de mão,False,CARRO CL(carro passou um pelo outro),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,125,e) usar um classificador (que representa aquele referente) em uma localização particular;
sign2voice,LIBRAS.SINTAXE.003,sintaxe,Topicalização com marcação não-manual < >t,"A topicalização é marcada por uma expressão não-manual < >t, que indica que o tópico da frase está no início, justificando variações de ordem como OSV.",elemento da frase que é o tópico e está no início da frase,False,< >t,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,128,• Marcação de tópico
sign2voice,LIBRAS.PERGUNTA.001,pergunta,Interrogativas com marcação não-manual < >qu,"Perguntas com itens interrogativos (quando, onde, qual, etc.) são marcadas com a expressão não-manual < >qu, que indica a presença de uma pergunta.",frase com conteúdo interrogativo,False,< >qu,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,129,• Marcação de interrogativas
sign2voice,LIBRAS.PRONOMES.003,pronomes,Pronomes com concordância de pessoa no espaço,"Os pronomes (como IX) são posicionados no espaço de acordo com a pessoa (1ª, 2ª, 3ª), com base na posição do sinalizador, interlocutor ou outros participantes.",introdução de referente com base na posição física ou social,False,IX(casa) NOVA,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,126,"Por exemplo, o sinalizador aponta para si indicando a primeira pessoa, para o interlocutor indicando a segunda pessoa e para os outros indicando a terceira pessoa."
sign2voice,LIBRAS.CONCORDANCIA.001,concordancia,Concordância verbal com direção dos olhos,"A concordância verbal em Libras é marcada manualmente pelo movimento do verbo e não-manualmente pela direção dos olhos, que acompanham a direção do verbo.",verbo com concordância + sujeito e objeto localizados no espaço,False,(el@) <aOLHARb>do (el@) ; (el@) <aAJUDARb>do (el@),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,126,"Na língua de sinais brasileira, os sinalizadores estabelecem os referentes associados à localização no espaço, sendo que tais referentes podem estar fisicamente presentes ou não. Depois de serem introduzidos no espaço, os pontos específicos podem ser referidos posteriormente no discurso."
sign2voice,LIBRAS.SINTAXE.008,sintaxe,Topicalização altera a ordem da frase,"A topicalização permite mudar a ordem da frase, posicionando o tópico no início com marcação não-manual (elevação das sobrancelhas), seguido por comentários sobre ele.",frase com tópico no início,False,<FUTEBOL>t <JOÃO GOSTAR NÃO>n ; <FUTEBOL>t <JOÃO GOSTAR>mc ; <FUTEBOL>t <JOÃO GOSTAR>sn,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,143,A ordem dessas construções foi alterada pela presença do tópico. O tópico é o tema do discurso que apresenta uma ênfase especial posicionado no início da frase e seguido de comentários a respeito desse tema.
sign2voice,LIBRAS.SINTAXE.009,sintaxe,Marca de tópico delimita escopo,A marca não-manual de tópico só se aplica ao tópico e não se espalha sobre a oração inteira; ela está associada a uma adjunção e não a uma projeção nuclear.,frase com marcação não-manual de tópico,False,"<*FUTEBOL, JOÃO GOSTA>t ; <BOLA-FUTEBOL>t, <ONDE O JOÃO PEGAR>qu",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,144,"Tal restrição é observada a seguir: <*FUTEBOL, JOÃO GOSTA>t"
sign2voice,LIBRAS.SINTAXE.010,sintaxe,Tópico sempre acima de CP,"A posição de tópico é a mais alta na estrutura da frase, acima de CP (Complement Phrase), e é sempre produzida antes da marcação interrogativa ou negativa.",frase com tópico e interrogativa,False,<CARRO>t <QUAL DELE?>qu ; *<<CARRO QUAL TEU?>qu>t,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,145,"Nessas construções, o tópico sempre será produzido associado à marca não-manual correspondente, seguido pela marca não-manual associada à interrogativa. Jamais será possível incluir o tópico dentro do escopo da interrogativa:"
sign2voice,LIBRAS.SINTAXE.012,sintaxe,Construções com foco derivam SOV,"Construções com foco, marcadas por cópia do constituinte enfatizado e marca não-manual afirmativa, derivam a ordem SOV a partir da estrutura S(V)OV.",frase com verbo duplicado e marca não-manual afirmativa,False,EU PERDER LIVRO <PERDER>mc,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,149,"Neste último exemplo, foi derivada uma construção com a ordem SOV. Na verdade, a ordem desta construção não é esta, mas sim S(V)OV. O elemento final é apenas a duplicação do verbo original que foi apagado devido à existência de uma cópia com a mesma identidade. Este verbo final é necessariamente associado à marca não-manual afirmativa, como observado em quase todos os casos de construções com foco."
sign2voice,LIBRAS.VERBOS.002,verbos,Verbos com concordância permitem elevação do objeto,"A presença de concordância verbal permite que o objeto seja elevado para uma posição mais alta, derivando a ordem SOV.",verbo com concordância + objeto,False,JOÃOa MARIAb aDARb ; LIVRO NÃO,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,150,A presença de concordância verbal permite a elevação do objeto para uma posição mais alta derivando a ordem SOV:
