id,text,gloss,gloss_judge
1,that is an area we need to look at .,THAT BE AREA X-WE NEED TO LOOK AT .
2,i would ask for your support .,X-I WOULD ASK FOR X-YOU SUPPORT .
3,let us act together .,LET X-WE ACT DESC-TOGER .
4,parliament decided to postpone the final vote,PARLIAMENT DECIDE TO POSTPONE DESC-FINAL VOTE
5,what should we do to change this ?,WHAT SHOULD X-WE DO TO CHANGE THIS ?
6,i will do that .,X-I WILL DO THAT .
7,we see the situation in the world .,X-WE SEE SITUATION IN WORLD .
8,first of all choose democracy .,DESC-FIRST ALL CHOOSE DEMOCRACY 
9,that is why this issue is so important .,THAT BE WHY THIS ISSUE BE DESC-SO DESC-IMPORTANT 
10,the london bombings took place exactly five years ago .,LONDON BOMBING TAKE PLACE DESC-EXACTLY FIVE YEAR DESC-AGO .
11,and do you know what will happen with those proposals ?,AND DO X-YOU KNOW WHAT WILL HAPPEN WITH THOSE PROPOSAL ?
12,we are reducing production in europe .,X-WE BE REDUCE PRODUCTION IN EUROPE .
13,we have therefore signed the resolution .,X-WE HAVE DESC-REFORE SIGN RESOLUTION .
14,they should do anything that can be seen if they want people to believe in them .,X-Y SHOULD DO ANYTHING THAT CAN BE SEE IF X-Y WANT PEOPLE TO BELIEVE IN X-Y .
15,families living in small towns and inhabitants of villages are particularly affected by poverty .,FAMILY DESC-LIVE IN DESC-SMALL TOWN AND INHABITANT VILLAGE BE DESC-PARTICULARLY AFFECT BY POVERTY .
16,how can you coordinate things here ?,HOW CAN X-YOU COORDINATE THING DESC-HERE ?
17,we call for your leadership .,X-WE CALL FOR X-YOU LEADERSHIP .
18,then we will support you .,DESC-N X-WE WILL SUPPORT X-YOU .
19,he is the example you should follow .,X-HE BE EXAMPLE X-YOU SHOULD FOLLOW .
20,"the crisis is global , but the solutions are local .","CRISIS BE DESC-GLOBAL , BUT SOLUTION BE DESC-LOCAL ."
21,a lot of attention should be given to migration problems .,LOT ATTENTION SHOULD BE GIVE TO MIGRATION PROBLEM .
22,natural resources should be used properly and the development of renewable energy should be encouraged .,DESC-NATURAL RESOURCE SHOULD BE USE DESC-PROPERLY AND DEVELOPMENT DESC-RENEWABLE ENERGY SHOULD BE ENCOURAGE .
23,this report undeniably contains some very valuable suggestions and often laudable intentions .,THIS REPORT DESC-UNDENIABLY CONTAIN SOME DESC-VERY DESC-VALUABLE SUGGESTION AND DESC-OFTEN DESC-LAUDABLE INTENTION .
24,it has worked well and gives continuity to the flow of information destined for the terrorist finance tracking programme .,X-IT HAVE WORK DESC-WELL AND GIVE CONTINUITY TO FLOW INFORMATION DESTINE FOR DESC-TERRORIST FINANCE TRACKING PROGRAM .
25,our overall policy towards china is one of constructive engagement in the framework of our strategic partnership .,X-WE DESC-OVERALL POLICY TOWARDS CHINA BE ONE DESC-CONSTRUCTIVE ENGAGEMENT IN FRAMEWORK X-WE DESC-STRATEGIC PARTNERSHIP .
26,all the important things have already been said .,ALL DESC-IMPORTANT THING HAVE DESC-ALREADY BE SAY .
27,"i do not know what will happen during the vote , but we cannot ignore this issue .","X-I DO DESC-NOT KNOW WHAT WILL HAPPEN DURING VOTE , BUT X-WE CAN DESC-NOT IGNORE THIS ISSUE ."
28,thank you for your contributions .,THANK X-YOU FOR X-YOU CONTRIBUTION .
29,this was not the first time that a train has passed a red signal .,THIS BE DESC-NOT DESC-FIRST TIME THAT TRAIN HAVE PASS RED SIGNAL .
30,our priority now is excellence in legislation .,X-WE PRIORITY DESC-NOW BE EXCELLENCE IN LEGISLATION .
31,report jörg leichtfried,REPORT Jà?RG LEICHTFRY
32,report vălean,REPORT V?LEAN
33,we have seen since the 1970s where that process leads .,X-WE HAVE SEE SINCE 1970 WHERE THAT PROCESS LEAD .
34,hundreds of thousands of animals now travel with their owners each year across europe .,HUNDRED THOUSAND ANIMAL DESC-NOW TRAVEL WITH X-Y OWNER EACH YEAR ACROSS EUROPE .
35,he will explain better than I the reasons why he has to do so .,X-HE WILL EXPLAIN DESC-BETTER THAN X-I REASON WHY X-HE HAVE TO DO DESC-SO .
