id,text,gloss_input,gloss_output_1,gloss_output_2
75,macro financial aid for moldova vote,MACRO DESC-FINANCIAL AID FOR MOLDOVA VOTE,MACRO FINANCIAL AID MOLDOVA VOTE,MACRO FINANCIAL AID MOLDOVA VOTE.
426,report james elles,REPORT JAME ELLE,REPORT JAMES ELLES,REPORT JAMES ELLES
868,seventh human rights council of the united nations vote,DESC-SEVENTH DESC-HUMAN RIGHTS COUNCIL UNITE NATION VOTE,SEVENTH HUMAN RIGHTS COUNCIL UNITED NATIONS VOTE,SEVENTH HUMAN RIGHT COUNCIL UNITED NATIONS VOTE
959,european satellite radionavigation programmes egnos and gallileo,EUROPEAN SATELLITE RADIONAVIGATION PROGRAM EGNO AND GALLILEO,EUROPEAN SATELLITE RADIONAVIGATION PROGRAM EGNOS AND GALILEO,EUROPEAN SATELLITE RADIONAVIGATION PROGRAMME EGNO AND GALLILEO
1521,"therefore , I ask you quite particularly to reject , tomorrow , any amendments that have been submitted .","DESC-REFORE , X-I ASK X-YOU DESC-QUITE DESC-PARTICULARLY TO REJECT , TOMORROW , ANY AMENDMENT THAT HAVE BE SUBMIT .",TOMORROW THEREFORE ASK YOU QUITE PARTICULARLY REJECT ANY AMENDMENT THAT SUBMIT,"TOMORROW , REFORE , ASK YOU QUITE PARTICULARLY REJECT , ANY AMENDMENT THAT SUBMIT ."
2570,"ladies and gentlemen , 2015 is not far away only six years stand between us .","LADY AND GENTLEMAN , 2015 BE DESC-NOT DESC-FAR DESC-AWAY DESC-ONLY SIX YEAR STAND BETWEEN X-WE .","LADY AND GENTLEMAN , 2015 NOT FAR AWAY ONLY SIX YEAR STAND BETWEEN US.","LADY AND GENTLEMAN , 2015 NOT FAR AWAY ONLY SIX YEAR STAND BETWEEN WE ."
2775,for these reasons I voted against this proposal .,FOR SE REASON X-I VOTE AGAINST THIS PROPOSAL .,"THIS REASON, VOTE AGAINST THIS PROPOSAL","SE REASON, VOTE AGAINST THIS PROPOSAL ."
3296,subject terrorist threats,SUBJECT DESC-TERRORIST THREAT,SUBJECT TERRORIST THREAT,SUBJECT TERRORIST THREAT.
3496,"it will improve people's ability to strip paint safely without being exposed to dangerous , carcinogenic chemicals .","X-IT WILL IMPROVE PEOPLE X-POSS ABILITY TO STRIP PAINT DESC-SAFELY WITHOUT BE EXPOSE TO DESC-DANGEROUS , DESC-CARCINOGENIC CHEMICAL .",IMPROVE PEOPLE ABILITY STRIP PAINT SAFELY WITHOUT EXPOSED DANGEROUS CARCINOGENIC CHEMICAL,"IT WILL IMPROVE PEOPLE ABILITY STRIP PAINT SAFELY WITHOUT EXPOSE DANGEROUS , CARCINOGENIC CHEMICAL ."
3923,"happily , the polls indicate ayesmajority .","DESC-HAPPILY , POLL INDICATE AYESMAJORITY .",HAPPILY POLL INDICATE MAJORITY,"HAPPILY , POLL INDICATE AYESMAJORITY ."
4183,i disagree with this aspect of this report .,X-I DISAGREE WITH THIS ASPECT THIS REPORT .,"THIS ASPECT REPORT, DISAGREE","THIS ASPECT THIS REPORT, DISAGREE."
4225,"last but not least , syed kamall !","DESC-LAST BUT DESC-NOT DESC-LEAST , SYE KAMALL !","LAST BUT NOT LEAST, SYED KAMALL","LAST BUT NOT LEAST, SYE KAMALL!"
5713,that is an area we need to look at .,THAT BE AREA X-WE NEED TO LOOK AT .,NEED LOOK AREA,THAT AREA NEED LOOK AT .
6024,this question should also be addressed to the council and the commission .,THIS QUESTION SHOULD DESC-ALSO BE ADDRESS TO COUNCIL AND COMMISSION .,TO COUNCIL AND COMMISSION THIS QUESTION SHOULD ALSO ADDRESSED,THIS QUESTION SHOULD ALSO ADDRESS COUNCIL AND COMMISSION .
6193,we request the commission's assistance in this matter .,X-WE REQUEST COMMISSION X-POSS ASSISTANCE IN THIS MATTER .,"THIS MATTER, COMMISSION ASSISTANCE REQUEST.","THIS MATTER, COMMISSION ASSISTANCE REQUEST?"
7349,i urge the european parliament to act responsibly and quickly in order to protect the remaining wilderness .,X-I URGE EUROPEAN PARLIAMENT TO ACT DESC-RESPONSIBLY AND DESC-QUICKLY IN ORDER TO PROTECT REMAIN WILDERNESS .,URGE EUROPEAN PARLIAMENT ACT RESPONSIBLY AND QUICKLY ORDER PROTECT REMAINING WILDERNESS,URGE EUROPEAN PARLIAMENT ACT RESPONSIBLY AND QUICKLY ORDER PROTECT REMAIN WILDERNESS.
