pipeline,id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
voice2sign,LIBRAS.SINTAXE.001,sintaxe,Ordem básica SVO como dominante,"A ordem básica da frase na Libras é Sujeito-Verbo-Objeto (SVO), que é a mais comum e gramatical em construções simples sem marcações adicionais.","frase simples com sujeito, verbo e objeto, sem marcações não-manuais ou estruturas complexas",True,El@ assiste TV ; IX GOSTA FUTEBOL,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,135,Todas as frases com a ordem SVO são gramaticais:
voice2sign,LIBRAS.SINTAXE.002,sintaxe,"Variações SVO, OSV e SOV exigem marcações não-manuais","As ordenações OSV e SOV só são gramaticais quando acompanhadas de marcações não-manuais (como foco, tópico ou concordância), indicando que a variação é motivada por fatores pragmáticos ou semânticos.",frase com ordem OSV ou SOV,True,<TVb>do <IXa>do <aASSISTEb>do (OSV) ; <IXa>do <TVb>do <aASSISTEb>do (SOV) ; FUTEBOL <IX>do <GOSTA>do (OSV) ; <IX>do FUTEBOL <GOSTA>mc (SOV),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,136,"As ordens OSV e SOV ocorrem somente quando há alguma coisa a mais na sentença, como a concordância e as marcas não-manuais:"
voice2sign,LIBRAS.SINTAXE.003,sintaxe,Ordem básica SVO,"A ordem SVO (sujeito-verbos-objeto) é a ordem mais básica e fundamental na Libras, sendo a única que não depende de marcas não-manuais ou estruturas complexas para ser gramaticalmente válida.",frase simples com verbo sem concordância e objeto simples,True,EU ACHAR [ IP MARIAa <aIR-EMBORAloc>do] ; JOÃO COMPRAR CARRO AMANHÃ,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,138,"Assim, parece que de fato esta ordem é a mais básica."
voice2sign,LIBRAS.SINTAXE.004,sintaxe,Restrição à ordem SOV com objeto complexo,A ordem SOV não pode ser usada quando o objeto é uma oração subordinada complexa; apenas objetos simples permitem essa reordenação.,verbo com concordância + objeto complexo (oração subordinada),True,EU ACHAR [ IP MARIAa <aIR-EMBORAloc>do] ; *I [IP MARIAa aIR-EMBORA] ACHAR,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,138,"As construções ilustradas evidenciam que a ordem SOV não pode ser derivada quando o objeto é uma oração subordinada, diferente de uma oração simples do tipo JOÃO [FUTEBOL] <GOSTAR>f e MARIA [LIVRO] <aDARb>do associadas às respectivas marcas não-manuais."
voice2sign,LIBRAS.SINTAXE.005,sintaxe,Advérbios não podem interromper verbo-objeto,"Advérbios temporais e de freqüência não podem ser inseridos entre o verbo e o objeto em estruturas VP[V NP], o que reforça a base SVO.",frase com advérbio temporal ou de freqüência entre verbo e objeto,True,*JOÃO COMPRAR ONTEM CARRO ; *EU BEBER ALGUMAS-VEZES LEITE,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,139,Os advérbios temporais e de freqüência não podem interromper uma relação entre o verbo e o objeto: [VP[V NP]]. Isso é considerado mais um argumento para conceber a ordem SVO como básica na língua de sinais brasileira.
voice2sign,LIBRAS.SINTAXE.006,sintaxe,Posição flexível de advérbios,"Advérbios temporais podem estar antes ou depois da oração (IP AgrP), e advérbios de freqüência podem estar antes ou depois do complemento verbal (VP), sem violar a gramática.",advérbio temporal ou de freqüência em frase,True,AMANHÃ JOÃO COMPRAR CARRO ; EU BEBO LEITE ALGUMAS-VEZES,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,140,"Os advérbios temporais podem estar antes ou depois da oração (IP (AgrP)). E os advérbios de freqüência podem estar antes ou depois do complemento verbal (VP) (como ilustrado através dos exemplos a seguir, respectivamente)."
voice2sign,LIBRAS.SINTAXE.007,sintaxe,Cópia do tópico em construções com tópico,"Construções com tópico podem incluir uma cópia do tópico ou um pronome co-referencial, especialmente quando o tópico não está ligado a posição argumental.",frase com tópico sem ligação argumental,True,"<[FRANÇA]i>t <EU VOU ti>mc ; <[EU] j>t <[FRANÇA]i>t tj <VOU ti>mc ; <ANIMAIS>, EU GOSTO GATO",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,146,"Assim, tais construções sempre podem ter, além do tópico, uma cópia desse tópico ou um pronome co-referencial a esse tópico, como nas ilustrações a seguir."
voice2sign,LIBRAS.SINTAXE.008,sintaxe,Omissão de sujeito e objeto em verbos com concordância,"Verbos com concordância permitem a omissão tanto do sujeito quanto do objeto, derivando a ordem (S)V(O).",verbo com concordância em contexto de omissão de sujeito e objeto,True,JOÃOa MARIAb aDARb ; LIVRO NÃO,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,150,"A ordem (S)V(O) é derivada pela possibilidade de omitir-se tanto o sujeito como o objeto nas construções com verbos com concordância (Quadros, 1995)."
voice2sign,LIBRAS.SINTAXE.009,sintaxe,Ordem VOS em foco contrastivo,"A ordem VOS pode ocorrer em contextos de foco contrastivo, especialmente quando há ênfase no verbo.",frase com foco contrastivo e verbo no início,True,COMPRAR CARRO <JOÃO> foco ; QUEM COMPRAR CARRO JOÃO OU MARIA?,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,151,"A ordem VOS também pode ocorrer em contextos de foco contrastivo (Arratéia, 2003)."
voice2sign,LIBRAS.SINTAXE.010,sintaxe,Ordem de sinais mais livre com verbos com concordância,Sentenças com verbos com concordância permitem maior liberdade na ordenação dos constituintes em comparação com sentenças com verbos sem concordância.,verbo com concordância em frase com ordenação não-SVO,True,JOÃO <GOSTAR MARIA>do ; JOÃO <aAJUDARb MARIA>do,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,154,As sentenças contendo verbos com concordância parecem apresentar mais liberdade na sua ordenação do que aquelas contendo verbos sem concordância.
voice2sign,LIBRAS.SINTAXE.011,sintaxe,Omissão de verbo sem auxiliar não é permitida em sentenças complexas,"Em sentenças complexas, a omissão de um verbo sem o auxiliar (AUX) é gramaticalmente inválida, exceto quando há identidade entre o verbo e seu antecedente.",frase complexa com omissão de verbo,True,"*<aMARIA>do <bJOÃO>do <aAUXb>do <[GOSTAR] i,>mc <bJOÃO>do <TAMBÉM [e] I >mc ; JOÃOa <NÃO <bCARREGAR-CAIXAc>do>n",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,161,"Na língua de sinais brasileira, a omissão sem o auxiliar não é permitida:"
voice2sign,LIBRAS.SINTAXE.012,sintaxe,Ordem de sinais: sujeito-objeto-verbo com foco,"A ordem básica da frase em Libras é sujeito-objeto-verbo, mas pode ser alterada por movimentação de foco, onde o núcleo em foco é movido para o início da frase, seguido do verbo e do restante da estrutura.",presença de foco em um elemento da frase,True,[FP [EU PERDER LIVRO] i <[F PERDER] [IP t i ]>mc ; [FP [QUEM GOSTAR GATO] i >qu <[F QUEM] [IP t i ]>qu,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,174,[FP [EU PERDER LIVRO] i <[F PERDER] [IP t i ]>mc
voice2sign,LIBRAS.SINTAXE.013,sintaxe,Construções com classificadores ocupam posição final,"Predicados complexos com classificadores, que incorporam objeto e ação em um único sinal, sempre ocupam a posição final da frase.",presença de classificador com verbo complexo (ex: CL(carro)-BATER-POSTE),True,<JOÃO>t <CARRO>t <CL(carro)-BATER-POSTE+>cl ; <JOÃO>t <MARIA>t <CL(pessoa)-CRUZAR-UMa-PELO-OUTRO>cl,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,205,Note-se ainda que tais construções seguem o mesmo padrão: todas ocupam a posição final da sentença.
voice2sign,LIBRAS.SINTAXE.014,sintaxe,Ordem SVO padrão com exceções em construções manuais,"A ordem sintática padrão na Libras é SVO, mas construções com verbos manuais podem apresentar ordem não padrão (como OSV) quando envolvem classificadores complexos.",presença de predicado complexo com classificador,True,BOLA JOÃO BATER-COM-TACO ; WOMAN PIE PUT-IN-OVEN,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,203,Liddell também observou que há possibilidade de estruturas OSV serem geradas na língua de sinais americana sem marca de tópico em exemplos em que há um predicado complexo
