text,gloss,gloss_review,gloss_judge
I need to check your blood test.,I NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,
"I need to check your glucose test, please.","I NEED CHECK GLUCOSE TEST, PLEASE.","NEED CHECK GLUCOSE TEST, PLEASE.",
Are you having a heart attack?,HEART ATTACK?,HAVE HEART ATTACK?,
Can you breathe?,YOU BREATHE?,CAN BREATHE?,
Your blood test is ready now.,YOUR BLOOD TEST READY NOW.,NOW BLOOD TEST READY.,
How long have you had chest pain?,"CHEST PAIN, HOW-LONG TIME?","CHEST PAIN, HOW LONG TIME?",
Do you have any medication allergies?,ALLERGIC ANY MEDICINE?,HAVE ALLERGIC ANY MEDICINE?,
What medicine are you taking?,TAKE WHAT MEDICINE?,USE MEDICINE WHAT?,
The doctor needs to examine your pneumonia.,DOCTOR NEED EXAMINE YOUR PNEUMONIA.,DOCTOR NEED EXAMINE PNEUMONIA.,
Do you feel numbness in your left arm?,YOUR LEFT ARM NUMB?,FEEL LEFT ARM NUMBNESS?,
Do you feel numbness in your right arm?,YOUR RIGHT ARM NUMB?,FEEL RIGHT ARM NUMBNESS?,
The doctor needs to check your gestational diabetes.,DOCTOR NEED CHECK YOUR GESTATIONAL DIABETES.,DOCTOR NEED CHECK GESTATIONAL DIABETES.,
I feel very weak today.,TODAY VERY WEAK,TODAY FEEL VERY WEAK,
I need a laboratory test.,LAB TEST NEED,LABORATORY TEST NEED,
Cannot you breathe well?,BREATHING DIFFICULT?,BREATHE DIFFICULT?,
Can you explain the result?,RESULT EXPLAIN?,CAN RESULT EXPLAIN?,
Can I return next week?,NEXT WEEK RETURN?,CAN NEXT WEEK RETURN?,
Do you feel a cold and chills?,FEEL COLD BODY-SHAKE?,FEEL COLD BODY SHAKE?,
I have high blood pressure.,HIGH BLOOD-PRESSURE,HIGH BLOOD PRESSURE,
The patient needs oxygen therapy.,PATIENT OXYGEN-THERAPY NEED,PATIENT OXYGEN THERAPY NEED,
I need a heart monitor.,HEART-MONITOR NEED,HEART MONITOR NEED,
I feel mentally confused.,FEEL CONFUSED,FEEL MENTAL CONFUSED,
I need protective equipment.,PROTECTIVE-EQUIPMENT NEED,PROTECTIVE EQUIPMENT NEED,
I need a blood test now.,NOW BLOOD-TEST NEED,NOW BLOOD TEST NEED,
The patient lost consciousness.,PATIENT PASS-OUT,PATIENT PASS_OUT,
How long will I stay here?,STAY HERE HOW-LONG?,STAY HERE HOW LONG?,
Thank you for your help.,THANK-YOU HELP,THANK_YOU HELP,
Please write it down.,PLEASE WRITE-DOWN,PLEASE WRITE_DOWN,
I understand. Thank you.,"UNDERSTAND, THANK-YOU","UNDERSTAND, THANK_YOU",
No problem,NO PROBLEM,NO_PROBLEM,
"I'm fine, thanks",I FINE THANKS,FINE THANKS,
I'm sorry,I'M SORRY,SORRY,
What are you doing?,WHAT YOU DO?,WHAT DO?,
I don't understand,NOT UNDERSTAND,NOT_UNDERSTAND,
How much is this?,HOW IS THIS?,HOW_MUCH THIS?,
I like this,I LIKE THIS,LIKE THIS,
Just a second,2 SEC,2 SECOND,
See you soon,SEE YOU SOON,SEE SOON,
You can go home tomorrow.,TOMORROW CAN GO-HOME.,TOMORROW CAN GO HOME.,
Do you have shortness of breath?,HAVE TROUBLE BREATHING?,HAVE PROBLEM BREATH?,
When did you vomit?,WHEN YOU VOMIT FINISH?,WHEN VOMIT FINISH?,
I had a panic attack.,PANIC-ATTACK,HAVE FINISH PANIC_ATTACK PAST,
I fell this morning.,THIS-MORNING FALL,THIS_MORNING FALL,
