id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_pagina,fonte_citacao,status,regra_base_correspondente,justificativa
ASLFD.001,morfologia,Uso de mãos passivas em formas naturais,"A mão passiva deve assumir uma das sete formas naturais (A, B, C, S, O, 1, 5) ou espelhar a mão ativa em sinais que exigem essa estrutura. Não usar essas formas quebra uma regra da ASL.",quando um sinal requer uma forma natural na mão passiva,True,START: mão passiva na forma 5 ; BUY: mão passiva na forma 5 ; COOK: mão passiva na forma 5,23,"If you don’t use your passive hand for these handshapes, you’ll be breaking a rule in ASL.",nao_temos,,"A regra extraída trata da estrutura morfológica dos sinais com base nas formas naturais da mão passiva, um fenômeno não abordado em nenhuma regra da base. As regras existentes sobre verbos e classificadores não mencionam restrições específicas sobre as formas das mãos em sinais direcionais ou não direcionais."
ASLFD.002,morfologia,Movimento de mãos espelhadas,"Quando a mão passiva espelha a mão ativa, ambas se movem juntas ou alternadamente em direções opostas. Isso é obrigatório para sinais que exigem simetria.",quando a mão passiva espelha a mão ativa,True,BOOK: movimento de abrir um livro ; GIFT: movimento alternado com mãos na forma X ; STORE: movimento simultâneo das mãos,25,"When your passive hand mirrors the shape of your dominant hand, you move both hands either together or alternately.",nao_temos,,"A regra extraída trata de movimento simétrico de mãos (espelhamento) em sinais que exigem simetria, um fenômeno morfológico específico. Nenhuma regra da base menciona movimento simétrico ou espelhamento de mãos como processo gramatical, mesmo as regras de reduplicação (MORF.1.4) ou verbos direcionais (VERB.3.8) não abordam esse aspecto."
ASLFD.003,pergunta,Formação de perguntas sim/não,"Perguntas sim/não são formadas colocando o marcador Q no final da frase, seguido de pausa. A ordem dos sinais mantém a estrutura da afirmação.",quando formar uma pergunta sim/não,True,Terry: M-A-L-L — RIDE — WANT YOU Q ; Belinda: YES — SOON — CHRISTMAS GIFTS — START BUYING — WANT ME,27,Sign: M-A-L-L — RIDE — WANT YOU Q,nao_temos,,"A base de regras não contém nenhuma regra sobre a formação de perguntas sim/não com marcador Q no final da frase. As regras existentes sobre pronomes interrogativos (PRON.2.5) tratam de WH-questions, não de perguntas sim/não, e as regras verbais não mencionam uso de marcador Q."
ASLFD.004,morfologia,Distinção de substantivos e verbos por movimento,"Substantivos são sinalizados com movimento duplo, enquanto verbos são sinalizados com movimento simples. Exceções existem para alguns substantivos que não seguem essa regra.",quando um substantivo e verbo compartilham a mesma forma manual,True,CHAIR (substantivo) = SIT (verbo) com movimento duplo ; PLANE (substantivo) = FLY (verbo) com movimento duplo,29,"You distinguish the part of speech by signing the motion once if it’s a verb and twice if it’s a noun. Like any language, there are exceptions to the rule.",ja_temos,MORF.1.1,"A regra extraída descreve a distinção entre substantivos e verbos por movimento (duplo vs. simples), o que é coberto por MORF.1.1, que explica a derivação de substantivos a partir de verbos por redução e repetição do movimento. Ambas tratam do mesmo fenômeno morfológico, mesmo com diferenças na redação."
ASLFD.005,sintaxe,Ordem sujeito-verbo e verbo-sujeito,"Em frases simples, o sujeito pode vir antes ou depois do verbo sem alterar o significado.",em frases simples com sujeito e verbo,True,HE RAN ; RAN HIM,37,Sign allows you to put the subject before or after the verb when dealing with simple sentences; it doesn’t matter which word comes first.,nao_temos,,"A base de regras não contém nenhuma regra que trate da flexibilidade da ordem sujeito-verbo em frases simples da ASL. As regras existentes sobre verbos (VERB.3.x) focam em concordância por orientação/localização ou em verbos que exigem sujeito/objeto explícitos, mas nenhuma aborda diretamente a permutabilidade sintática entre sujeito e verbo sem alteração de significado."
ASLFD.006,sintaxe,Posição de objetos diretos,Objetos diretos podem vir antes do sujeito ou depois do verbo.,quando um objeto direto é adicionado à frase,True,HE SELLS FOOD ; FOOD HE SELLS,38,"However, in ASL, the direct object can go either before the subject or after the verb.",nao_temos,,"A regra extraída trata da posição sintática de objetos diretos em frases da ASL, um fenômeno de ordem linear de constituintes. A base de regras da consultoria não aborda explicitamente a ordem de sujeito, verbo e objeto no texto da glosa, focando em morfologia (reduplicação, formação de compostos) e concordância espacial/verbal (orientação, localização), que não se sobrepõem à regra de posição de objetos diretos."
ASLFD.007,sintaxe,Posição de objetos indiretos,"Objetos indiretos são colocados imediatamente após o sujeito, seguidos pela ação.",quando um objeto indireto precede o objeto direto,True,DOG BONE — GIRL — THROW ; ME TEACHER — APPLE GAVE,40,You place the indirect object right after the subject and then show the action.,nao_temos,,"A base de regras não contém nenhuma regra que trate da posição sintática de objetos indiretos em ASL. As regras existentes focam em morfologia (reduplicação, formação de compostos) e concordância verbal (orientação, localização), mas não abordam a ordem de elementos na sintaxe."
ASLFD.008,tempo-aspecto,Indicação de tempo passado,"O tempo passado é indicado pelo sinal FINISH em nível do peito ou acima, geralmente no início da frase.",em frases no passado,True,HE GO — FINISH ; ME EAT — FINISH,34,"To place everything you sign into past tense, you sign finish at chest level or higher... while saying the word fish, a shortened version of finish.",nao_temos,,"A base de regras não contém nenhuma regra sobre indicação de tempo passado em ASL. As regras existentes abordam morfologia, pronomes e verbos, mas nenhuma menciona o uso do sinal FINISH ou outros marcadores temporais no texto da glosa."
ASLFD.009,tempo-aspecto,Indicação de tempo futuro,"O tempo futuro é indicado pelo sinal WILL no final da frase, com a distância do corpo indicando a proximidade do futuro.",em frases no futuro,True,HE GO — WILL ; MY HOUSE — M-I-K-E — WALK — WILL,34,"You indicate future tense by signing and saying will at the end of a sentence. The farther you sign the word will from the front of your body, the farther into the future you go.",nao_temos,,"A base de regras não contém nenhuma regra sobre indicação de tempo futuro na ASL. As regras existentes sobre verbos (VERB.3.x) tratam de concordância, direcionalidade e classificadores, mas nenhuma menciona o uso de 'WILL' ou marcas temporais no final da frase. A regra extraída aborda um fenômeno novo e específico de aspecto-temporal não coberto pela base."
ASLFD.010,tempo-aspecto,Indicação de ação não concluída,"Ações não concluídas são indicadas pelo sinal NOT YET no final da frase, acompanhado de movimento de cabeça negativo.",em frases sobre ações não concluídas,True,ME EAT — NOT YET,35,"To show that you’re not yet finished with or you haven’t even started a task, sign the unaccomplished deed and then sign not yet while shaking your head slightly from side to side.",nao_temos,,"A base de regras não contém nenhuma regra sobre indicação de ação não concluída com o sinal 'NOT YET' e movimento de cabeça negativo. As regras existentes abordam morfologia, pronomes e verbos, mas não fenômenos de tempo-aspecto com essa marcação específica."
