id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
TANIA.M.001,sintaxe,Preposição locativa é sempre nula,"A preposição locativa (PARA) nunca aparece na glosa. Ela é realizada pelo movimento do verbo, não por um sinal próprio. Regra sem exceção declarada.","A frase em português tem um complemento locativo introduzido por preposição (ir PARA o hospital, chegar EM a clínica).",Ela vai para o hospital amanhã -> IX IR HOSPITAL AMANHÃ (sem PARA),TANIA.M.001,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.002,pergunta,Item QU na posição final da sentença,"O item QU (QUANDO, QUAL, ONDE e demais) aparece no FINAL da sentença, ocupando função de advérbio (ADJV) e sendo o foco da interrogação. A produção é S -> SJPR INT[QU], com o QU depois do sujeito e do predicado.","A frase em português é uma interrogativa com item QU (quando, qual, onde, quem).",Onde dói? -> DOER ONDE? ; Qual remédio tomou? -> REMÉDIO TOMAR QUAL?,TANIA.M.002,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.003,pronomes,Sujeito pode ser nulo,"O sujeito pode não ser realizado na glosa (SUJ -> Nul), ou ser realizado por apontação (IX). A omissão é a opção listada primeiro nas produções.","A frase em português tem sujeito recuperável pelo contexto ou sujeito indeterminado (você, a gente, se).",Tomou o remédio? -> TOMAR REMÉDIO? ; Sentiu tontura? -> SENTIR TONTURA?,TANIA.M.003,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.004,sintaxe,Adjetivo depois do nome que modifica,"O adjetivo é projetado como ADJN do nome e aparece DEPOIS dele na glosa. Produções: OBJDIR -> NOME, NOME -> ADJN, ADJN -> ADJETIVO.",A frase em português tem um nome modificado por adjetivo.,Sentiu febre alta? -> SENTIR FEBRE ALTA? ; Tem exame recente? -> TER EXAME RECENTE?,TANIA.M.004,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.005,verbos,Verbo modal tratado como verbo principal,"O verbo modal (PODER e semelhantes) é o verbo principal do predicado, e o verbo que o segue é seu complemento verbal. Não há categoria separada para modal. A própria nota declara que a solução é generalizável.","A frase em português tem verbo modal seguido de outro verbo (poder ir, querer sair, precisar tomar).",Preciso marcar consulta -> EU PRECISAR MARCAR CONSULTA,TANIA.M.005,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.006,sintaxe,Advérbio de tempo que modifica o locativo vem depois do nome,"Quando o advérbio de tempo não modifica o evento verbal e sim o destino locativo, ele é projetado como ADJN do nome e aparece depois dele, dentro do NUCLOBI — não como ADJV depois do verbo.","A frase tem advérbio de tempo e complemento locativo, e o advérbio se refere ao locativo, não ao evento.",Fica no quarto amanhã -> FICAR QUARTO AMANHÃ (AMANHÃ depois de QUARTO),TANIA.M.006,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.007,sintaxe,Advérbio de tempo que modifica o verbo vem depois do verbo,Advérbio de tempo que modifica o evento verbal é ADJV e aparece depois do verbo na glosa. Produção: VB -> V [ADJV]; o ADJV é opcional.,A frase em português tem advérbio de tempo modificando o verbo.,O médico chegar cedo -> MÉDICO CHEGAR CEDO,TANIA.M.007,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.008,sintaxe,Advérbio de tempo pode vir no início da sentença,"A ordem com o advérbio de tempo antes do sujeito também é válida; nesse caso a estrutura da árvore muda. O texto afirma possibilidade, não obrigação.",A frase em português tem advérbio de tempo e se quer topicalizar o tempo.,"CEDO MÉDICO CHEGAR (ordem alternativa, também válida)",TANIA.M.008,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.009,verbos,Verbo direcional intransitivo não realiza o objeto,Verbo direcional usado na forma intransitiva não recebe complemento na glosa: a direção do movimento já indica sobre quem ou o que a ação recai.,"A frase tem verbo direcional cujo alvo é recuperável pela direção (chamar alguém, avisar alguém).",Avisar o médico -> MÉDICO AVISAR (sem objeto),TANIA.M.009,,Notas de consultoria (Profa. Tânia) — extração manual
TANIA.M.010,pronomes,Pronome incorporado ao verbo direcional,"Com verbo direcional, o pronome pode estar incorporado morfologicamente ao verbo (IX2-EXPLICAR-IX1) e, nesse caso, não aparece como sinal separado na glosa.","A frase tem verbo direcional com sujeito e/ou objeto pronominal (explicar para mim, avisar você).",Pode me mostrar o exame? -> PODER MOSTRAR EXAME (sem IX separado),TANIA.M.010,,Notas de consultoria (Profa. Tânia) — extração manual
