gloss,text
"﻿MEMBERSHIP PARLIAMENT SEE MINUTE
","﻿membership of parliament see minutes
"
"APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE
","approval of minutes of previous sitting see minutes
"
"MEMBERSHIP PARLIAMENT SEE MINUTE
","membership of parliament see minutes
"
"VERIFICATION CREDENTIALS SEE MINUTE
","verification of credentials see minutes
"
"DOCUMENT RECEIVE SEE MINUTE
","documents received see minutes
"
"WRITE STATEMENT AND DESC-ORAL QUESTION TABLE SEE MINUTE
","written statements and oral questions tabling see minutes
"
"PETITION SEE MINUTE
","petitions see minutes
"
"TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE
","texts of agreements forwarded by the council see minutes
"
"ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE
","action taken on parliament's resolutions see minutes
"
"AGENDA FOR NEXT SIT SEE MINUTE
","agenda for next sitting see minutes
"
"CLOSURE SIT
","closure of sitting
"
"SIT BE DESC-CLOSE AT 7.45 DESC-P.M.
","the sitting was closed at 7.45 p.m. 
"
"ELECTION VICE PRESIDENT EUROPEAN PARLIAMENT DEADLINE FOR SUBMIT NOMINATION SEE MINUTE
","election of vice presidents of the european parliament deadline for submitting nominations see minutes
"
"SIT BE SUSPEND AT 12.40 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.
","the sitting was suspended at 12.40 p.m. and resumed at 3.00 p.m. 
"
"ELECTION QUAESTOR EUROPEAN PARLIAMENT DEADLINE FOR SUBMIT NOMINATION SEE MINUTE
","election of quaestors of the european parliament deadline for submitting nominations see minutes
"
"SIT BE SUSPEND AT 3.25 DESC-P.M. AND RESUME AT 6.00 DESC-P.M.
","the sitting was suspended at 3.25 p.m. and resumed at 6.00 p.m. 
"
"AGENDA FOR NEXT SIT SEE MINUTE
","agenda for next sitting see minutes
"
"CLOSURE SIT
","closure of sitting
"
"SIT BE DESC-CLOSE AT 6.15 DESC-P.M.
","the sitting was closed at 6.15 p.m. 
"
"OPEN SIT
","opening of the sitting
"
"SIT BE DESC-OPEN AT 9.35 DESC-A.M.
","the sitting was opened at 9.35 a.m. 
"
"DOCUMENT RECEIVE SEE MINUTE
","documents received see minutes
"
"APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE
","approval of minutes of previous sitting see minutes
"
"MEMBERSHIP PARLIAMENT SEE MINUTE
","membership of parliament see minutes
"
"MEMBERSHIP COMMITTEE DEADLINE FOR TABLE AMENDMENT SEE MINUTE
","membership of committees deadline for tabling amendments see minutes
"
"SIT BE SUSPEND AT 7 DESC-P.M. AND RESUME AT 9 DESC-P.M.
","the sitting was suspended at 7 p.m. and resumed at 9 p.m. 
"
"AGENDA FOR NEXT SIT SEE MINUTE
","agenda for next sitting see minutes
"
"CLOSURE SIT
","closure of sitting
"
"SIT BE SUSPEND AT 23.25 DESC-P.M.
","the sitting was suspended at 23.25 p.m. 
"
"DOCUMENT RECEIVE SEE MINUTE
","documents received see minutes
"
"COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE
","communication of council common positions see minutes
"
"SIT BE SUSPEND AT 11.35 DESC-A.M. AND RESUME FOR VOTING TIME AT NOON
","the sitting was suspended at 11.35 a.m. and resumed for voting time at noon 
"
"APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE
","approval of minutes of previous sitting see minutes
"
"COMMITTEE INQUIRY INTO CRISIS DESC-EQUITABLE LIFE ASSURANCE SOCIETY EXTENSION MANDATE SEE MINUTE
","committee of inquiry into the crisis of the equitable life assurance society extension of mandate see minutes
"
"ANNOUNCEMENT BY PRESIDENT SEE MINUTE
","announcement by the president see minutes
"
"MEMBERSHIP COMMITTEE VOTE
","membership of committees vote 
"
"AMENDMENT ACP EC PARTNERSHIP AGREEMENT VOTE
","amendment of the acp ec partnership agreement vote 
"
"CERTIFICATION TRAIN DRIVER OPERATE LOCOMOTIVE AND TRAIN ON RAILWAY SYSTEM IN COMMUNITY VOTE
","certification of train drivers operating locomotives and trains on the railway system in the community vote 
"
"LAW DESC-APPLICABLE TO NON DESC-CONTRACTUAL OBLIGATION ROME IUS VOTE
","law applicable to non contractual obligations rome ii vote 
"
"DESC-SEVENTH AND DESC-EIGHTH DESC-ANNUAL REPORT ON ARM EXPORT VOTE
","seventh and eighth annual reports on arms exports vote 
"
"CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE
","corrections to votes and voting intentions see minutes
"
"MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE
","membership of committees and delegations see minutes
"
"REQUEST FOR WAIVER DESC-PARLIAMENTARY IMMUNITY SEE MINUTE
","request for waiver of parliamentary immunity see minutes
"
"DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE
","decisions concerning certain documents see minutes
"
"WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE
","written statements for entry in the register rule 116 see minutes
"
"FORWARDING TEXT ADOPT DURING SIT SEE MINUTE
","forwarding of texts adopted during the sitting see minutes
"
"DATE FOR NEXT SIT SEE MINUTE
","dates for next sittings see minutes
"
"ADJOURNMENT SESSION
","adjournment of the session
"
"X-I DECLARE SESSION EUROPEAN PARLIAMENT ADJOURN .
","i declare the session of the european parliament adjourned .
"
"SIT BE DESC-CLOSE AT 1 DESC-P.M.
","the sitting was closed at 1 p.m. 
"
"APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE
","approval of minutes of previous sitting see minutes
"
"MEMBERSHIP PARLIAMENT SEE MINUTE
","membership of parliament see minutes
"
"REQUEST FOR DEFENSE DESC-PARLIAMENTARY IMMUNITY SEE MINUTE
","request for the defence of parliamentary immunity see minutes
"
"APPOINTMENT TO COMMITTEE PROPOSAL BY CONFERENCE PRESIDENT SEE MINUTE
","appointments to committees proposal by the conference of presidents see minutes
"
"DOCUMENT RECEIVE SEE MINUTE
","documents received see minutes
"
"TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE
","texts of agreements forwarded by the council see minutes
"
"ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE
","action taken on parliament's resolutions see minutes
"
"DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE
","oral questions and written statements tabling see minutes
"
"WRITE STATEMENT RULE 116 SEE MINUTE
","written statements rule 116 see minutes
"
"AGENDA SEE MINUTE
","agenda see minutes
"
"APPOINTMENT TO DESC-PARLIAMENTARY COMMITTEE VOTE SEE MINUTE
","appointments to parliamentary committees vote see minutes
"
"VOTE TIME
","voting time
"
"AGENDA FOR NEXT SIT SEE MINUTE
","agenda for next sitting see minutes
"
"CLOSURE SIT
","closure of sitting
"
"SIT BE DESC-CLOSE AT 12 MIDNIGHT
","the sitting was closed at 12 midnight 
"
"OPEN SIT
","opening of the sitting
"
"SIT BE DESC-OPEN AT 09.05
","the sitting was opened at 09.05 
"
"DOCUMENT RECEIVE SEE MINUTE
","documents received see minutes
"
"APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE
","approval of minutes of previous sitting see minutes
"
"PROTECTION PASSENGER AGAINST DISPLACE LUGGAGE VOTE
","protection of passengers against displaced luggage vote 
"
"APPROVAL MOTOR VEHICLE WITH REGARD TO DESC-FORWARD FIELD VISION DRIVER VOTE
","approval of motor vehicles with regard to the forward field of vision of the driver vote 
"
"EC KOREA AGREEMENT ON DESC-SCIENTIFIC AND DESC-TECHNOLOGICAL COOPERATION VOTE
","ec korea agreement on scientific and technological cooperation vote 
"
"MAINSTREAM SUSTAINABILITY IN DEVELOPMENT COOPERATION POLICY VOTE
","mainstreaming sustainability in development cooperation policies vote 
"
"DRAFT AMEND BUDGET NO 1 2007 VOTE
","draft amending budget no 1 / 2007 vote 
"
"EC GABON FISHERY PARTNERSHIP VOTE
","ec gabon fisheries partnership vote 
"
"LIMITATION PERIOD IN CROSS BORDER DISPUTE INVOLVE DESC-PERSONAL INJURY AND DESC-FATAL ACCIDENT VOTE
","limitation periods in cross border disputes involving personal injuries and fatal accidents vote 
"
"STRATEGY FOR STRENGN PARTNERSHIP WITH PACIFIC ISLAND VOTE
","strategy for a strengthened partnership with the pacific islands vote 
"
"EUROPEAN DESC-PRIVATE COMPANY STATUTE VOTE
","the european private company statute vote 
"
"THAT CONCLUDE VOTE .
","that concludes the vote .
"
"CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE
","corrections to votes and voting intentions see minutes
"
