id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
LIBRAS.SINTAXE.001,sintaxe,Ordem Sujeto-Predicado em Libras,"A estrutura básica da frase em Libras é Sujeto (SUJ) seguido de Predicado (PRED), com o sujeito geralmente expresso por um pronome (IX) ou nome próprio, e o predicado iniciado por um verbo direcional ou intransitivo.",frase com sujeito e predicado em contexto de comunicação direta,True,PODER EXPLICAR TRATAMENTO ; EU PODER IR CASA HOJE ; DOR COMEÇAR QUANDO? ; COMER ALGO ESTRANHO? ; BEBER ÁGUA SUFICIENTE? ; ENFERMEIRA CHAMAR AGORA,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",0,S   → SUJ PRED
LIBRAS.VERBOS.001,verbos,Verbo direcional com concordância espacial,"Verbos direcionais em Libras exigem concordância com o sujeito e objeto no espaço, onde o movimento do sinal indica a direção entre os participantes da ação. O pronome IX é usado para indicar o destinatário do verbo.",verbo direcional com sujeito e objeto localizáveis no espaço,False,EXPLICAR-ME (IX1) (IX2) ; EXPLICAR-ME (IX2 / você),"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",0,"Em Libras, os marcadores de polidez podem vir marcadas com as expressões não manuais (ENM) de solicitação (corpo levemente inclinado à frente, expressão facial de pedido/polidez) adjungidas aos sinais PODER, QUERER, POR FAVOR. Por isso, nestes casos os marcadores POR FAVOR, COM LICENÇA podem ficar fora da árvore nuclear, como um elemento discursivo de polidez. ➢ Outro ponto importante, é o verbo estar associado a um tipo de IX (pronome), como é o caso do verbo EXPLICAR em que IX 2explicarIX1 que representa a direcionalidade do verbo em direção ao sinalizante que solicita a explicação (“para mim”). Nesses casos, o pronome também pode estar incorporado morfologicamente ao verbo direcional."
LIBRAS.MORFOLOGIA.001,morfologia,Incorporação de pronome ao verbo direcional,"O pronome pode ser incorporado morfologicamente ao verbo direcional, tornando o sinal mais compacto e natural, especialmente em estruturas com direcionalidade clara (ex: EXPLICAR-ME).",verbo direcional com pronome de objeto direto (IX) no espaço,False,EXPLICAR-ME,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",0,"Nesses casos, o pronome também pode estar incorporado morfologicamente ao verbo direcional."
LIBRAS.SINTAXE.002,sintaxe,Elipse da preposição locativa em 'IR CASA',"A preposição locativa 'para' é elíptica em Libras e não aparece na glosa; o movimento do sinal 'IR' já indica a direção, tornando a preposição redundante.",verbo 'IR' seguido de substantivo de local (ex: CASA),True,IR CASA,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",2,"IR CASA é tratado como um OBJIND com preposição locativa elíptica [PARA] , isto é, a preposição PARA sempre será nula em Libras , ela é “presente” na realização do movimento, por isso, nunca aparecerá na glosa."
LIBRAS.SINTAXE.003,sintaxe,Posição do advérbio de tempo em relação ao verbo e ao objeto,"O advérbio de tempo (ex: HOJE) pode ser posicionado após o verbo ou no nível do objeto, dependendo de se ele modifica o evento verbal ou o destino locativo. Se modifica o destino, pode ser tratado como adjunto nominal (ADJN).",advérbio de tempo (ex: HOJE) em frase com verbo de movimento e objeto locativo,True,EU PODER IR CASA HOJE,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",2,"No entanto, nestes casos o HOJE não modifica o evento verbal (ir) e sim o destino locativo (casa) . Então, considerando que em Libras é possível sentenças do tipo EU CASA HOJE ( Eu estou em casa hoje ), embora, HOJE pertença à classe lexical dos advérbios, ele também poderá ser projetado na árvore como um nó ADJN."
LIBRAS.PERGUNTA.001,pergunta,Item-QU como advérbio de foco em perguntas,"Em perguntas com item-QU (QUANDO, ONDE, QUAL, etc.), o elemento QU é tratado como um advérbio de foco (ADJV) que se posiciona no final da frase, indicando o que está sendo perguntado.",frase interrogativa com item-QU no final,True,DOR COMEÇAR QUANDO? ; COMER ALGO ESTRANHO? ; BEBER ÁGUA SUFICIENTE?,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",3,"o item QU (QUANDO , QUAL, ONDE) e demais , que aparecem no final da sentença, sempre ocupará a função de um ADJV ( Advérbio) que é o foco da interrogação."
LIBRAS.SINTAXE.004,sintaxe,Estrutura de perguntas com sujeito nulo ou pronome IX,"Em perguntas com item-QU, o sujeito pode ser nulo ou expresso por um pronome IX, especialmente quando o foco está no verbo ou no complemento.",frase interrogativa com item-QU e sujeito implícito ou expresso por IX,True,COMER ALGO ESTRANHO? ; BEBER ÁGUA SUFICIENTE?,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",3,SUJ → Nul ou IX
LIBRAS.SINTAXE.005,sintaxe,Complemento direto como nome com adjetivo,"O complemento direto em Libras é formado por um nome (NOME) que pode ser acompanhado por um adjetivo (ADJN), onde o adjetivo é projetado como um nó adjunto nominal (ADJN) ao nome.","complemento direto com nome e adjetivo (ex: ALGO ESTRANHO, ÁGUA SUFICIENTE)",True,ALGO ESTRANHO ; ÁGUA SUFICIENTE,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",3,NOME → ADJN
LIBRAS.SINTAXE.006,sintaxe,Verbo intransitivo com direcionalidade implícita,"Verbos intransitivos em Libras podem ter direcionalidade implícita, onde o movimento do sinal indica o alvo da ação, mesmo sem um complemento explícito.",verbo intransitivo com movimento direcional (ex: CHAMAR),False,ENFERMEIRA CHAMAR,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",4,"O verbo CHAMAR está na forma intransitiva, isso porque ele assume a direção sobre algo ou alguém que está sendo “chamado”."
LIBRAS.SINTAXE.007,sintaxe,Flexibilidade na ordem de advérbio de tempo,"O advérbio de tempo (ex: AGORA) pode ser posicionado após o verbo ou no início da frase, com mudanças na estrutura sintática, mantendo a naturalidade da comunicação.",advérbio de tempo em frase com verbo intransitivo,True,ENFERMEIRA CHAMAR AGORA ; AGORA ENFERMEIRA CHAMAR,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",4,"➔ A ordem AGORA ENFERMEIRA CHAMAR também pode ser válida , nesse caso haverá mudança na estrutura."
