Input,Output,Output review,Type
Do you need help with anything? ,NEED HELP WHAT?  ,NEED HELP WHAT?  ,phrase
You need antibiotics,NEED ANTIBIOTIC. ,NEED ANTIBIOTIC,phrase
I will call the doctor. ,CALL DOCTOR. ,CALL DOCTOR. ,phrase
You can go home tomorrow. ,TOMORROW CAN GO-HOME. ,TOMORROW CAN GO HOME. ,phrase
"You need oxygen, okay? ","NEED OXYGEN, OKAY?","NEED OXYGEN, OKAY?",phrase
I need to check your blood test. ,I NEED CHECK BLOOD TEST. ,NEED CHECK BLOOD TEST. ,phrase
"I need to check your glucose test, please. ","I NEED CHECK GLUCOSE TEST, PLEASE. ","NEED CHECK GLUCOSE TEST, PLEASE. ",phrase
The doctor will give you medicine now. ,NOW DOCTOR GIVE MEDICINE. ,NOW DOCTOR GIVE MEDICINE. ,phrase
Do you have stomach pain? ,HAVE STOMACH PAIN? ,HAVE STOMACH PAIN? ,phrase
Do you have shortness of breath? ,HAVE TROUBLE BREATHING?  ,HAVE PROBLEM BREATH?  ,phrase
Do you feel confused? ,FEEL CONFUSED? ,FEEL CONFUSED? ,phrase
Are you having a heart attack?,HEART ATTACK? ,HAVE HEART ATTACK? ,phrase
Do you have heart problems?,HAVE HEART PROBLEM? ,HAVE HEART PROBLEM? ,phrase
How are you feeling now? ,NOW FEEL HOW? ,NOW FEEL HOW? ,phrase
Can you breathe? ,YOU BREATHE? ,CAN BREATHE? ,phrase
The blood test is ready now. ,NOW BLOOD TEST READY. ,NOW BLOOD TEST READY. ,phrase
Your blood test is ready now. ,YOUR BLOOD TEST READY NOW. ,NOW BLOOD TEST READY. ,phrase
"Did you take the medicine, and do you feel better now?","TAKE MEDICINE, NOW FEEL BETTER? ","TAKE MEDICINE, NOW FEEL BETTER?",phrase
Are you in severe pain now? ,NOW YOU PAIN STRONG? ,NOW YOU PAIN STRONG? ,phrase
Do you have a high fever? ,HAVE HIGH FEVER? ,HAVE HIGH FEVER? ,phrase
Do you need a doctor now? ,NOW NEED DOCTOR? ,NOW NEED DOCTOR? ,phrase
Do you need emergency care now? ,NOW NEED EMERGENCY HELP? ,NOW NEED EMERGENCY HELP? ,phrase
Is the baby moving? ,BABY MOVE? ,BABY MOVE? ,phrase
When did your fever start? ,FEVER START WHEN? ,FEVER START WHEN? ,phrase
How long have you had chest pain? ,"CHEST PAIN, HOW-LONG TIME? ","CHEST PAIN, HOW LONG TIME? ",phrase
How long have you been feeling dizzy? ,"DIZZY, HOW LONG FEEL? ","DIZZY, HOW LONG FEEL? ",phrase
When did the accident happen?  ,ACCIDENT HAPPEN WHEN? ,ACCIDENT HAPPEN WHEN? ,phrase
Where do you feel pain from the accident? ,"ACCIDENT, PAIN WHERE FEEL? ","ACCIDENT, PAIN WHERE FEEL? ",phrase
You are ready for hospital admission now. ,NOW READY HOSPITAL ADMISSION. ,NOW READY HOSPITAL ADMISSION. ,phrase
When did you vomit? ,VOMIT WHEN? ,VOMIT WHEN? ,phrase
Do you have any medication allergies? ,ALLERGIC ANY MEDICINE? ,HAVE ALLERGIC ANY MEDICINE? ,phrase
What medicine are you taking? ,TAKE WHAT MEDICINE? ,USE MEDICINE WHAT? ,phrase
The doctor will explain your situation. ,DOCTOR WILL EXPLAIN SITUATION. ,DOCTOR WILL EXPLAIN SITUATION. ,phrase
Do you still have a cough and fever? ,STILL HAVE COUGH FEVER? ,STILL HAVE COUGH FEVER? ,phrase
"You need oxygen right away, okay? ",NEED OXYGEN NOW OKAY. ,NEED OXYGEN NOW OKAY. ,phrase
How is your asthma feeling? ,YOUR ASTHMA FEEL HOW? ,YOUR ASTHMA FEEL HOW? ,phrase
Are you coughing up blood? ,COUGH BLOOD? ,COUGH BLOOD? ,phrase
You have a lung infection. ,HAVE LUNG INFECTION. ,HAVE LUNG INFECTION. ,phrase
The doctor needs to examine your pneumonia. ,DOCTOR NEED EXAMINE YOUR PNEUMONIA. ,DOCTOR NEED EXAMINE PNEUMONIA. ,phrase
Do you have high blood pressure? ,HAVE HIGH BLOOD PRESSURE? ,HAVE HIGH BLOOD PRESSURE? ,phrase
Do you feel severe chest pain? ,FEEL CHEST PAIN STRONG? ,FEEL CHEST PAIN STRONG? ,phrase
What happened when you lost consciousness? ,LOSE CONSCIOUSNESS WHAT HAPPEN? ,LOSE CONSCIOUSNESS WHAT HAPPEN? ,phrase
Do you feel numbness in your left arm? ,YOUR LEFT ARM NUMB? ,FEEL LEFT ARM NUMBNESS? ,phrase
Do you feel numbness in your right arm? ,YOUR RIGHT ARM NUMB? ,FEEL RIGHT ARM NUMBNESS? ,phrase
Have you had any bleeding during your pregnancy? ,"PREGNANCY, HAVE ANY BLEEDING? ","PREGNANCY, HAVE ANY BLEEDING? ",phrase
The doctor needs to check your gestational diabetes. ,DOCTOR NEED CHECK YOUR GESTATIONAL DIABETES. ,DOCTOR NEED CHECK GESTATIONAL DIABETES. ,phrase
Are you having stomach pain during your pregnancy? ,"PREGNANCY, HAVE STOMACH PAIN? ","PREGNANCY, HAVE STOMACH PAIN? ",phrase
You need a gynecological exam now. ,NOW NEED GYNECOLOGICAL EXAM. ,NOW NEED GYNECOLOGICAL EXAM. ,phrase
Are you having trouble breastfeeding? ,"BREASTFEEDING, HAVE PROBLEM? ","BREASTFEEDING, HAVE PROBLEM? ",phrase
You need to schedule a medical appointment. ,NEED SCHEDULE MEDICAL APPOINTMENT. ,NEED SCHEDULE MEDICAL APPOINTMENT. ,phrase
You need to go to the pregnancy emergency room now. ,NOW NEED GO PREGNANCY EMERGENCY ROOM. ,NOW NEED GO PREGNANCY EMERGENCY ROOM. ,phrase
"Hello, I need help.","HELLO, NEED HELP","HELLO, NEED HELP",phrase
Can you help me now?,CAN HELP NOW?,CAN HELP NOW?,phrase
I feel dizzy today.,TODAY FEEL DIZZY,TODAY FEEL DIZZY,phrase
I have back pain.,BACK PAIN,BACK PAIN,phrase
I have pain in my left arm.,LEFT ARM PAIN,LEFT ARM PAIN,phrase
I have pain in my right arm.,RIGHT ARM PAIN,RIGHT ARM PAIN,phrase
My head hurts.,HEAD HURT,HEAD HURT,phrase
I feel pain in my stomach.,STOMACH PAIN FEEL,STOMACH PAIN FEEL,phrase
I have shortness of breath.,SHORT BREATH,SHORT BREATH,phrase
I have breathing hard.,BREATHING HARD,BREATHING HARD,phrase
Do you feel better now.,NOW FEEL BETTER?,NOW FEEL BETTER?,phrase
I have fever and cough.,FEVER COUGH,FEVER COUGH,phrase
I feel very weak today.,TODAY VERY WEAK,TODAY FEEL VERY WEAK,phrase
Please call the nurse.,PLEASE NURSE CALL,PLEASE NURSE CALL,phrase
