id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_pagina,fonte_citacao
ASLFD.001,morfologia,Uso de mãos passivas em formas naturais,"A mão passiva deve assumir uma das sete formas naturais (A, B, C, S, O, 1, 5) ou espelhar a mão ativa em sinais que exigem essa estrutura. Não usar essas formas quebra uma regra da ASL.",quando um sinal requer uma forma natural na mão passiva,True,START: mão passiva na forma 5 ; BUY: mão passiva na forma 5 ; COOK: mão passiva na forma 5,23,"If you don’t use your passive hand for these handshapes, you’ll be breaking a rule in ASL."
ASLFD.002,morfologia,Movimento de mãos espelhadas,"Quando a mão passiva espelha a mão ativa, ambas se movem juntas ou alternadamente em direções opostas. Isso é obrigatório para sinais que exigem simetria.",quando a mão passiva espelha a mão ativa,True,BOOK: movimento de abrir um livro ; GIFT: movimento alternado com mãos na forma X ; STORE: movimento simultâneo das mãos,25,"When your passive hand mirrors the shape of your dominant hand, you move both hands either together or alternately."
ASLFD.003,pergunta,Formação de perguntas sim/não,"Perguntas sim/não são formadas colocando o marcador Q no final da frase, seguido de pausa. A ordem dos sinais mantém a estrutura da afirmação.",quando formar uma pergunta sim/não,True,Terry: M-A-L-L — RIDE — WANT YOU Q ; Belinda: YES — SOON — CHRISTMAS GIFTS — START BUYING — WANT ME,27,Sign: M-A-L-L — RIDE — WANT YOU Q
ASLFD.004,morfologia,Distinção de substantivos e verbos por movimento,"Substantivos são sinalizados com movimento duplo, enquanto verbos são sinalizados com movimento simples. Exceções existem para alguns substantivos que não seguem essa regra.",quando um substantivo e verbo compartilham a mesma forma manual,True,CHAIR (substantivo) = SIT (verbo) com movimento duplo ; PLANE (substantivo) = FLY (verbo) com movimento duplo,29,"You distinguish the part of speech by signing the motion once if it’s a verb and twice if it’s a noun. Like any language, there are exceptions to the rule."
ASLFD.005,sintaxe,Ordem sujeito-verbo e verbo-sujeito,"Em frases simples, o sujeito pode vir antes ou depois do verbo sem alterar o significado.",em frases simples com sujeito e verbo,True,HE RAN ; RAN HIM,37,Sign allows you to put the subject before or after the verb when dealing with simple sentences; it doesn’t matter which word comes first.
ASLFD.006,sintaxe,Posição de objetos diretos,Objetos diretos podem vir antes do sujeito ou depois do verbo.,quando um objeto direto é adicionado à frase,True,HE SELLS FOOD ; FOOD HE SELLS,38,"However, in ASL, the direct object can go either before the subject or after the verb."
ASLFD.007,sintaxe,Posição de objetos indiretos,"Objetos indiretos são colocados imediatamente após o sujeito, seguidos pela ação.",quando um objeto indireto precede o objeto direto,True,DOG BONE — GIRL — THROW ; ME TEACHER — APPLE GAVE,40,You place the indirect object right after the subject and then show the action.
ASLFD.008,tempo-aspecto,Indicação de tempo passado,"O tempo passado é indicado pelo sinal FINISH em nível do peito ou acima, geralmente no início da frase.",em frases no passado,True,HE GO — FINISH ; ME EAT — FINISH,34,"To place everything you sign into past tense, you sign finish at chest level or higher... while saying the word fish, a shortened version of finish."
ASLFD.009,tempo-aspecto,Indicação de tempo futuro,"O tempo futuro é indicado pelo sinal WILL no final da frase, com a distância do corpo indicando a proximidade do futuro.",em frases no futuro,True,HE GO — WILL ; MY HOUSE — M-I-K-E — WALK — WILL,34,"You indicate future tense by signing and saying will at the end of a sentence. The farther you sign the word will from the front of your body, the farther into the future you go."
ASLFD.010,tempo-aspecto,Indicação de ação não concluída,"Ações não concluídas são indicadas pelo sinal NOT YET no final da frase, acompanhado de movimento de cabeça negativo.",em frases sobre ações não concluídas,True,ME EAT — NOT YET,35,"To show that you’re not yet finished with or you haven’t even started a task, sign the unaccomplished deed and then sign not yet while shaking your head slightly from side to side."
ASLFD.011,sintaxe,Posição de adjetivos e advérbios,Adjetivos e advérbios geralmente vêm após a palavra que modificam.,quando um adjetivo ou advérbio modifica um substantivo ou verbo,True,PRETTY GIRL ; RUN VERY FAST,32,you typically place the adjective or adverb... after the word it modifies.
ASLFD.012,morfologia,Formação de agentes por personificação,Adicionar um agente (glide das palmas) a um verbo cria um substantivo derivado (ex.: WRITE + AGENT = WRITER).,quando um verbo é seguido por um agente,True,WRITE + AGENT = WRITER ; FLY + AGENT = PILOT ; SUPERVISE + AGENT = SUPERVISOR,50,"In ASL, turning a verb into a person is called personification. You do it with two simple motions: Sign the verb and then glide the heels of your hands down the sides of your body with your fingers extended outward. The result of this is an agent."
