text,gloss,esperado,fonte,obs
Quando a dor começou?,DOR COMEÇAR QUANDO?,valido,libras_teste,
Quando a dor começou?,QUANDO DOR COMEÇAR?,invalido,libras_teste,
Posso ir para casa hoje?,EU PODER IR PARA CASA HOJE,invalido,libras_teste,
Bebeu água suficiente?,BEBER ÁGUA SUFICIENTE?,valido,libras_teste,
Comeu algo estranho?,COMER ESTRANHO ALGO?,invalido,libras_teste,
Pode explicar o tratamento?,PODER EXPLICAR TRATAMENTO,valido,grammar_tania,
Posso ir para casa hoje?,EU PODER IR CASA HOJE,valido,grammar_tania,
"Chamar a enfermeira, agora.",ENFERMEIRA CHAMAR AGORA,valido,grammar_tania,
"Olá, seja bem-vindo.",OLÁ BEM-VINDO,,validacao_consultoria,
Aguarde um momento.,ESPERAR POUCO,,validacao_consultoria,
Pode entrar.,ENTRAR PODE,,validacao_consultoria,
Sente-se aqui.,AQUI SENTAR,,validacao_consultoria,
Está sangrando?,SANGRAR TER?,,validacao_consultoria,
Consegue respirar bem?,RESPIRAR BEM CONSEGUIR?,,validacao_consultoria,
Tem dificuldade para engolir?,ENGOLIR DIFICIL TER?,,validacao_consultoria,
Qual remédio você usa?,VOCÊ REMÉDIO USAR QUAL?,,validacao_consultoria,
Já sentiu isso antes?,ANTES SENTIR JÁ?,,validacao_consultoria,
A febre começou ontem.,ONTEM FEBRE COMEÇAR,,validacao_consultoria,
Estou com dor há três dias.,TRÊS DIAS DOR TER,,validacao_consultoria,
Minha cabeça dói muito.,CABEÇA DOR,,validacao_consultoria,"intensidade 'muito' vai nos parâmetros do sinal, não em sinal lexical"
A tosse está piorando.,TOSSE PIORAR,,validacao_consultoria,
Hoje estou me sentindo melhor.,HOJE SENTIR MELHOR,,validacao_consultoria,
Não consigo comer.,COMER NÃO-CONSEGUIR,,validacao_consultoria,
Nunca tive essa dor antes.,ANTES DOR NÃO-TER NUNCA,,validacao_consultoria,
Uso remédio todos os dias.,REMÉDIO TODO-DIA,,validacao_consultoria,REMÉDIO pode incorporar 'tomar'; TODO-DIA no sentido de habitualidade
Fiz uma cirurgia no mês passado.,MÊS PASSADO CIRURGIA FAZER JÁ,,validacao_consultoria,
Tome este remédio depois do almoço.,ALMOÇO FIM REMÉDIO TOMAR,,validacao_consultoria,ALMOÇO TERMINAR e ALMOÇO ACABAR também são realizações naturais
O resultado ficará pronto à tarde.,TARDE RESULTADO PRONTO,,validacao_consultoria,
Onde sente a dor?,DOR SENTIR ONDE?,,validacao_consultoria,
A dor é forte ou fraca?,DOR FORTE OU FRACA?,,validacao_consultoria,
A dor começou quando?,DOR COMEÇAR QUANDO?,,validacao_consultoria,
A dor piorou hoje?,HOJE DOR PIORAR?,,validacao_consultoria,
Tem febre?,FEBRE TER?,,validacao_consultoria,
Está com tosse?,TOSSE TER?,,validacao_consultoria,
Está com falta de ar?,RESPIRAR DIFÍCIL?,,validacao_consultoria,
Está sentindo tontura?,SENTIR AGORA TONTURA?,,validacao_consultoria,
Teve vômitos?,VÔMITO TER?,,validacao_consultoria,
Teve diarreia?,DIARREIA TER?,,validacao_consultoria,
Está com náuseas?,NÁUSEA TER?,,validacao_consultoria,
Tem alguma alergia?,ALERGIA TER?,,validacao_consultoria,
É alérgico a algum medicamento?,MEDICAMENTO ALERGIA TER?,,validacao_consultoria,
Toma algum medicamento?,MEDICAMENTO ALGUM VOCÊ USAR TOMAR?,,validacao_consultoria,
Quando tomou o medicamento pela última vez?,MEDICAMENTO VOCÊ JÁ TOMAR ÚLTIMO QUANDO?,,validacao_consultoria,
