id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
LIBRAS.MORFOLOGIA.001,morfologia,Pluralização por repetição sequencial,"A pluralização de um sinal é representada na glosa pela repetição sequencial do sinal, indicada por três sinais idênticos seguidos (ex: CASA+++).",A frase em português expressa o plural de um substantivo ou sinal que em Libras é pluralizado por repetição.,True,casas -> CASA+++,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,194,"Processos flexionais manifestos fazem uso de morfologia sequencial, como é o caso da pluralização exemplificada em (55) CASA+++. A produção repetida sequencial de morfemas livres CASA manifesta uma flexão consecutiva."
LIBRAS.EXPRESSOES-IDIOMATICAS.001,expressoes-idiomaticas,Composição por justaposição simultânea (duas mãos),"O sinal de 'composição' é representado na glosa pela justaposição do sinal PALAVRA duas vezes, separado por um acento circunflexo (PALAVRA^PALAVRA), indicando que os dois sinais são articulados simultaneamente, um por cada mão.","A frase em português contém o substantivo 'composição' (no sentido de arte/ato de compor, não o processo linguístico).",True,composição -> PALAVRA^PALAVRA,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,194,"quebram a concepção tradicional o sinal de “composição”, em Libras, constituído pela derivação simultânea, por um processo de justaposição de duas vezes o sinal (51) PALAVRA, que equivale a (56) PALAVRA^PALAVRA (composição), sendo os dois sinais articulados, um  por cada uma das mãos."
LIBRAS.MORFOLOGIA.002,morfologia,Representação de compostos por justaposição com dois núcleos,"A glosa deve representar o composto por justaposição com dois núcleos (coordenação) usando o símbolo '^' entre as etiquetas dos sinais (ex: BOA^NOITE, CARRO^BATER).","A frase em português corresponde a um composto formado por justaposição de dois sinais (coordenação), onde a mão não dominante antecipa o segundo sinal.",True,boa noite -> BOA^NOITE ; acidente -> CARRO^BATER,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,197,"Essa regra representa compostos por justaposição com dois núcleos – compostos por coordenação. Nestes sinais, a mão não dominante aparece no espaço neutro... como em (60) BOA^NOITE (BOA NOITE) e (61) CARRO^BATER (ACIDENTE)"
LIBRAS.MORFOLOGIA.003,morfologia,Representação de compostos com eliminação de movimento interno,"A glosa deve representar o composto usando o símbolo '^' entre as etiquetas dos sinais (ex: SÁBADO^DOMINGO), indicando que o movimento interno ou repetição foi eliminado na composição.",A frase em português corresponde a um composto onde o movimento interno ou a repetição do movimento de um dos sinais é eliminada (regra da sequência única).,True,fim de semana -> SÁBADO^DOMINGO,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,196,"2 - Regra da sequência única: Em compostos, o movimento interno ou a repetição do movimento é eliminada, como em (58) SÁBADO^DOMINGO (fim de semana)"
LIBRAS.MORFOLOGIA.004,morfologia,Representação de compostos por justaposição sequencial,"A glosa deve representar o composto por justaposição sequencial utilizando o símbolo '^' entre as etiquetas dos sinais, na ordem em que são produzidos (ex: SINAL1^SINAL2).","A frase em português corresponde a um conceito formado pela justaposição sequencial de dois sinais distintos, onde ambos são realizados em sua totalidade e consecutivamente.",True,zebra -> CAVALO^LISTRA-PELO-CORPO ; rio -> ÁGUA^CAMINHO ; lago -> ÁGUA^CÍRCULO ; piscina -> ÁGUA^RETÂNGULO ; divórcio -> ASSINAR^SEPARAR,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,200,(68) CAVALO^LISTRA-PELO-CORPO (zebra) < = > justaposição sequencial (69) ÁGUA^CAMINHO (rio) < = > justaposição sequencial
LIBRAS.MORFOLOGIA.005,morfologia,Representação de compostos por justaposição simultânea,A glosa deve representar o composto por justaposição simultânea utilizando o símbolo '^' entre as etiquetas dos sinais.,"A frase em português corresponde a um conceito formado pela justaposição simultânea de dois sinais, realizados ao mesmo tempo pelas duas mãos.",True,composição -> PALAVRA^PALAVRA,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,200,(67) PALAVRA^PALAVRA (composição) < = > justaposição simultânea
LIBRAS.MORFOLOGIA.006,morfologia,Representação de compostos com classificador,A glosa deve representar a composição de um classificador com um item lexical utilizando o símbolo '^' entre a etiqueta do classificador (CL-...) e a etiqueta do sinal lexical.,"A frase em português corresponde a um sinal composto por um classificador e um item lexical (ex: alfinete, agulha).",True,alfinete -> CL-coisa-pequena^PERFURAR ; agulha -> CL-coisa-pequena^APLICAR-NO-BRAÇO,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,200,(73) CL-coisa-pequena^PERFURAR (alfinete); (74) CL-coisa-pequena^APLICAR-NO-BRAÇO (agulha);
LIBRAS.MORFOLOGIA.007,morfologia,Representação de compostos por subordinação,A glosa deve representar o composto por subordinação utilizando o símbolo '^' entre o núcleo e o modificador (ex: NUCLEO^MODIFICADOR).,A frase em português corresponde a um conceito formado por um núcleo modificado por um especificador (ex: escola).,True,escola -> CASA^ESTUDAR,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,199,(64) CASA^ESTUDAR (escola)
LIBRAS.MORFOLOGIA.008,morfologia,Representação de compostos por coordenação,A glosa deve representar o composto por coordenação utilizando o símbolo '^' entre os núcleos simétricos (ex: NUCLEO1^NUCLEO2).,A frase em português corresponde a um conceito formado por dois ou mais núcleos em relação simétrica (ex: oftalmologista).,True,oftalmologista -> MÉDICO^OLHO,Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,199,(65) MÉDICO^OLHO (oftalmologista)
LIBRAS.SINTAXE.001,sintaxe,Ordem fixa em compostos verdadeiros,A ordem dos sinais na glosa deve ser invariável. A inversão da ordem dos elementos do composto é agramatical e deve ser marcada como incorreta (ex: *CRUZ^CASA).,"A frase em português corresponde a um composto 'verdadeiro' (genuíno) em Libras, como 'igreja' (CASA^CRUZ).",True,igreja -> CASA^CRUZ (correto) ; igreja -> *CRUZ^CASA (agramatical),Gramática da Libras Vol.1 (INES/Quadros et al.) — Cap.5 Morfologia,205,"Com supressão da repetição e ordem fixa, invariável; são aqueles que se dão por justaposição ou por aglutinação, como é o caso de (91) CASA^CRUZ (igreja) e que não pode ter sua ordem trocada como em (92) *CRUZ^CASA, porque essa alteração de ordem é agramatical"
