Texto,Glosa,Estado,Fidelidade,Naturalidade,Regras,Problema,Sugestao,Esperado,Acertou,Origem
Quando a dor começou?,DOR COMEÇAR QUANDO?,valido,Sim,Sim,TANIA.M.002,,,valido,sim,llm
Quando a dor começou?,QUANDO DOR COMEÇAR?,invalido,Sim,Não,TANIA.M.002,"O item interrogativo QU (QUANDO) deve aparecer na posição final da sentença, não no início.",DOR COMEÇAR QUANDO?,invalido,sim,llm
Posso ir para casa hoje?,EU PODER IR PARA CASA HOJE,invalido,Sim,Não,TANIA.M.001; LIVRO.SINTAXE.043,A preposição locativa 'PARA' não deve aparecer na glosa; a direção é expressa pelo movimento do verbo.,EU PODER IR CASA HOJE,invalido,sim,llm
Bebeu água suficiente?,BEBER ÁGUA SUFICIENTE?,valido,Sim,Sim,TANIA.M.003; TANIA.M.004,,,valido,sim,llm
Comeu algo estranho?,COMER ESTRANHO ALGO?,invalido,Sim,Não,TANIA.M.004,"O adjetivo 'estranho' deve vir depois do nome que modifica ('algo'), não antes.",COMER ALGO ESTRANHO?,invalido,sim,llm
Pode explicar o tratamento?,PODER EXPLICAR TRATAMENTO,valido,Sim,Sim,TANIA.M.005; TANIA.M.003,,,valido,sim,llm
Posso ir para casa hoje?,EU PODER IR CASA HOJE,valido,Sim,Sim,TANIA.M.001; TANIA.M.005; TANIA.M.007,,,valido,sim,llm
"Chamar a enfermeira, agora.",ENFERMEIRA CHAMAR AGORA,valido,Sim,Sim,TANIA.M.009; LIVRO.SINTAXE.007,,,valido,sim,llm
De menino,MENINO,nao_coberto,Sim,Sim,,"A frase 'De menino' é uma expressão nominal/locativa fragmentada. Nenhuma das regras listadas especifica a estrutura sintática para preposições de origem ('de') ou a glosa específica para este fragmento isolado, apenas a omissão de preposições locativas em verbos de movimento (TANIA.M.001/LIVRO.SINTAXE.043), o que não se aplica aqui.",,valido,,llm
De menino,DE MENINO,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre a estrutura gramatical da expressão 'De menino' (preposição + substantivo) ou a omissão de preposições não-locativas.,,invalido,,llm
Por aqui,AQUI,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre especificamente a omissão da preposição 'por' em locuções adverbiais de lugar como 'por aqui'.,,valido,,llm
A mulher,MULHER,nao_coberto,Sim,Sim,,"A frase é um sintagma nominal simples ('A mulher') e as regras fornecidas não especificam a realização do artigo definido 'A' (se por apontação IX ou nulo) para substantivos comuns isolados, apenas para contextos anafóricos específicos ou indefinidos.",,valido,,llm
A mulher,A MULHER,invalido,Sim,Não,LIVRO.PRONOMES.001,O artigo definido 'A' não é um sinal lexical em Libras; a definitude é marcada por apontação (IX) pré-nominal.,IX MULHER,invalido,sim,llm
Os meus filhos,MEUS FILHOS,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para possessivos (pronomes possessivos + substantivo) ou a omissão do artigo definido 'os' neste contexto.,,valido,,llm
Os dois porcos,DOIS PORCOS,invalido,Sim,Não,LIVRO.MORFOLOGIA.001,"O plural de 'porcos' deve ser marcado por repetição sequencial do sinal (PORCO+++), não apenas pela presença do numeral DOIS.",DOIS PORCO+++,valido,não,llm
A presidente,PRESIDENTE MULHER,nao_coberto,Sim,Sim,,Nenhuma regra da base especifica a estrutura morfológica ou sintática para o substantivo 'presidente' ou a marcação de gênero feminino em cargos.,,valido,,llm
