pipeline,id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao,canal_extracao,canal_confirmado,divergencia,motivo_confirmacao
voice2sign,LIBRAS.SINTAXE.005,sintaxe,Restrição de SOV com objeto complexo,"A ordem SOV (Sujeito-Objeto-Verbo) não é permitida quando o objeto é uma oração subordinada complexa. Nesse caso, a ordem deve permanecer SVO.",Frase com verbo principal e objeto que é uma oração subordinada (ex: 'achar que...').,true,Eu acho que a Maria foi embora -> EU ACHAR [ IP MARIAa <aIR-EMBORAloc>do] (SOV é agramatical aqui),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,138,"se houver uma estrutura complexa na posição de objeto, não será possível mudar o objeto de ordem",voice2sign,voice2sign,,A ordem dos sinais na glosa permite verificar a estrutura sintática.
voice2sign,LIBRAS.SINTAXE.006,sintaxe,Posição de advérbios temporais e de frequência,"Advérbios temporais e de frequência não podem interromper a relação direta entre o verbo e o objeto (estrutura VP[V NP]). Eles devem aparecer antes ou depois da oração (para temporais) ou antes/depois do complemento verbal (para frequência), mas nunca entre o verbo e o objeto direto.","Presença de advérbios temporais (ex: ONTEM, AMANHÃ) ou de frequência (ex: ALGUMAS-VEZES) na frase.",true,Ontem João comprou um carro -> ONTEM JOÃO COMPRAR CARRO (não *JOÃO COMPRAR ONTEM CARRO) ; Algumas vezes eu bebo leite -> EU ALGUMAS-VEZES BEBO LEITE ou EU BEBO LEITE ALGUMAS-VEZES,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,139,Os advérbios temporais e de freqüência não podem interromper uma relação entre o verbo e o objeto: [VP[V NP]].,voice2sign,voice2sign,,A ordem linear dos sinais na glosa permite verificar a posição relativa.
voice2sign,LIBRAS.SINTAXE.009,sintaxe,Posição de advérbios com verbos sem concordância,Verbos sem concordância não podem preceder advérbios adjuntos ao VP. A ordem 'VERBO ADVÉRBIO' é agramatical; o advérbio deve vir antes do verbo ou o verbo deve ser acompanhado de AUX.,Verbo sem concordância + advérbio.,true,João sempre compra balas -> *JOÃO COMPRAR SEMPRE BALAS,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,160,"Os verbos principais não podem preceder advérbios adjuntos a VP (*John plays always soccer). Na língua de sinais brasileira, isto também é observado: *JOÃO COMPRAR SEMPRE BALAS",voice2sign,voice2sign,,A ordem linear dos sinais na glosa permite verificar a regra.
voice2sign,LIBRAS.SINTAXE.010,sintaxe,Omissão de verbos em sentenças complexas,"Verbos podem ser omitidos em orações subordinadas/coordenadas se houver identidade com o verbo anterior. Para verbos sem concordância, a omissão exige a presença do auxiliar (AUX) para garantir a identidade e a estrutura.",Sentença complexa com elipse verbal.,true,"João gosta da Maria e ela não gosta dele -> JOÃOa <MARIAb aAUXb>do <[GOSTAR] i>mc <bAUXa>do <NÃO [e] i>n ; João gosta da Maria e (ela) também -> aJOÃO GOSTAR bMARIA, <bAUXa>do <TAMBÉM>mc",Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,160,"Os verbos principais podem ser omitidos de sentenças complexas através da identidade com sua forma pura... Na língua de sinais brasileira, a omissão sem o auxiliar não é permitida",voice2sign,voice2sign,,A omissão e a presença do auxiliar são visíveis na sequência escrita.
voice2sign,LIBRAS.SINTAXE.012,sintaxe,Posição final de verbos manuais e construções tópico-comentário,"Verbos manuais (handling verbs), que envolvem a configuração de mão segurando um objeto, finalizam a sentença. A estrutura segue o padrão tópico-comentário: primeiro situa-se o tópico (sobre o que se fala) e, em seguida, o comentário (o verbo manual).","Uso de verbos manuais que incorporam um instrumento ou objeto na configuração de mão (ex: PINTAR-ROLO, PINTAR-PINCEL).",true,João pinta a casa com o rolo -> <JOÃO>t <CASA>t <PINTAR-ROLO>cl ; João pinta a tela com o pincel -> <JOÃO>t <TELA>t/cl <PINTAR-PINCEL>cl,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,201,"Assim como observado com os verbos associados com aspecto, os verbos manuais finalizam a sentença. Primeiro situa-se sobre o que está se falando e, em seguida, define-se que tipo de verbo manual será usado",voice2sign,voice2sign,,A ordem dos sinais na glosa permite verificar a estrutura tópico-comentário.
voice2sign,LIBRAS.SINTAXE.001,sintaxe,Preposição locativa elíptica,"A preposição locativa (como PARA) é sempre nula em Libras e nunca aparece na glosa, pois está presente apenas na realização do movimento.",Verbo de movimento ou locução locativa seguida de um complemento de lugar (ex: IR CASA).,true,Posso ir para a casa hoje? -> EU PODER IR CASA HOJE,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",2,"IR CASA é tratado como um OBJIND com preposição locativa elíptica [PARA] , isto é, a preposição PARA sempre será nula em Libras , ela é “presente” na realização do movimento, por isso, nunca aparecerá na glosa.",voice2sign,voice2sign,,Basta verificar a ausência da etiqueta na sequência escrita.
voice2sign,LIBRAS.SINTAXE.003,sintaxe,Ordem alternativa com advérbio inicial,"A ordem com o advérbio de tempo no início (ex: AGORA ENFERMEIRA CHAMAR) é válida, resultando em uma mudança na estrutura sintática em relação à ordem padrão.",Quando o advérbio de tempo é topicalizado ou enfatizado no início da frase.,true,Agora enfermeira chamar -> AGORA ENFERMEIRA CHAMAR,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026)",4,"A ordem AGORA ENFERMEIRA CHAMAR também pode ser válida , nesse caso haverá mudança na estrutura.",voice2sign,voice2sign,,A ordem dos sinais na glosa é verificável textualmente.
voice2sign,LIBRAS.NEGACAO.001,negacao,Distribuição da negação com verbos de concordância,"A negação pode preceder o verbo com concordância, mas a estrutura exige que o verbo esteja dentro do escopo da negação. A ordem 'VERBO NÃO' é agramatical para verbos sem concordância.",Frase negativa com verbo com concordância.,true,João não deu o livro para (el@) -> JOÃOa <NÃO aDARb LIVRO>n ; João não gostou do carro -> *JOÃO <NÃO GOSTAR CARRO>n (agramatical sem auxiliar),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,157,Há uma distribuição diferente da negação entre sentenças contendo verbos com e sem concordância.,voice2sign,voice2sign,,A ordem dos sinais na glosa permite verificar a posição da negação.
voice2sign,LIBRAS.VERBOS.002,verbos,Uso de auxiliar (AUX) para verbos sem concordância em ordens não-SVO,"Verbos sem concordância exigem um auxiliar (AUX) quando a ordem dos constituintes não é SVO ou quando há negação/advérbios. O AUX é uma expressão de concordância via movimento, não um item lexical independente.",Verbo sem concordância + ordem não-SVO ou presença de negação/advérbio.,true,João não gosta dela -> JOÃOa aAUXb <NÃO GOSTAR>n ; João sempre compra balas -> *JOÃO COMPRAR SEMPRE BALAS (requer AUX),Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,159,"O auxiliar é requerido somente quando houver ordenações irregulares dos constituintes da sentença, ou seja, ordenações que não sejam SVO.",voice2sign,voice2sign,,A presença do item lexical AUX na sequência de glosas é verificável por texto.
voice2sign,LIBRAS.FOCO.006,foco,Construções duplas para foco,"O foco é marcado por construções duplas onde o elemento focado (modal, quantificador, verbo, interrogativo, negação, advérbio) é repetido na posição final da frase.",Presença de foco sintático na frase.,true,Eu posso ir (a algum lugar) -> EU PODER IR <PODER>mc ; Eu tenho dois carros -> EU TER DOIS CARROS <DOIS>mc,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial,166,Foco envolve construções duplas em que o elemento duplicado ocupa a posição final.,voice2sign,voice2sign,,Repetição do elemento focado na posição final é verificável na sequência escrita.
