Texto,Glosa,Estado,Fidelidade,Naturalidade,Regras,Problema,Sugestao,Esperado,Acertou,Origem
Quando a dor começou?,DOR COMEÇAR QUANDO?,nao_coberto,Sim,Sim,,Nenhuma regra específica na base cobre a estrutura sintática de interrogativas com advérbio interrogativo (QUANDO) ou a ordem temporal em perguntas.,,valido,,llm
Quando a dor começou?,QUANDO DOR COMEÇAR?,nao_coberto,Sim,Sim,,Nenhuma regra específica na base cobre a estrutura sintática de interrogativas temporais com o marcador QUANDO ou a ordem dos sinais nesta construção específica.,,invalido,,llm
Posso ir para casa hoje?,EU PODER IR PARA CASA HOJE,invalido,Sim,Não,LIVRO.SINTAXE.043,A preposição locativa 'PARA' deve ser omitida na glosa quando o verbo de movimento (IR) já expressa a direção ou o destino é apontado.,EU PODER IR CASA HOJE,invalido,sim,llm
Bebeu água suficiente?,BEBER ÁGUA SUFICIENTE?,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre especificamente a estrutura de interrogativas sim/não (sem QU) ou a ordem de advérbios de quantidade como 'suficiente' em relação ao objeto.,,valido,,llm
Comeu algo estranho?,COMER ESTRANHO ALGO?,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre a ordem específica de adjetivos e objetos indefinidos em interrogativas simples sem concordância.,,invalido,,llm
Pode explicar o tratamento?,PODER EXPLICAR TRATAMENTO,nao_coberto,Sim,Sim,,"A frase é uma interrogativa sim (polar), mas as regras fornecidas não especificam a estrutura gramatical para perguntas sim/não (ausência de regras sobre intonação não manual ou marcadores específicos para interrogativas sim/não).",,valido,,llm
Posso ir para casa hoje?,EU PODER IR CASA HOJE,valido,Sim,Sim,LIVRO.SINTAXE.003; LIVRO.SINTAXE.043; LIVRO.PRONOMES.005,,,valido,sim,llm
"Chamar a enfermeira, agora.",ENFERMEIRA CHAMAR AGORA,valido,Sim,Sim,LIVRO.SINTAXE.014,,,valido,sim,llm
De menino,MENINO,nao_coberto,Sim,Sim,,A preposição 'de' e a estrutura nominal simples não possuem regras específicas na base fornecida para validação de ordem ou omissão.,,valido,,llm
De menino,DE MENINO,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre especificamente a estrutura ou o uso da preposição 'de' com substantivos comuns em Libras.,,invalido,,llm
Por aqui,AQUI,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre especificamente a representação de advérbios de lugar ou a omissão de preposições locativas em frases isoladas como 'Por aqui'.,,valido,,llm
A mulher,MULHER,valido,Sim,Sim,,,,valido,sim,llm
A mulher,A MULHER,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a forma específica de glosar o substantivo 'mulher' isolado ou o uso do artigo 'A' como prefixo 'A' na glosa.,,invalido,,llm
Os meus filhos,MEUS FILHOS,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para possessivos ou a ordem de adjetivos possessivos em Libras.,,valido,,llm
Os dois porcos,DOIS PORCOS,invalido,Sim,Não,LIVRO.MORFOLOGIA.001,"A pluralização do substantivo 'porcos' deve ser representada pela repetição sequencial do sinal (PORCO+++), conforme a regra de morfologia, e não apenas pelo numeral 'DOIS' que indica quantidade.",DOIS PORCO+++,valido,não,llm
A presidente,PRESIDENTE MULHER,nao_coberto,Sim,Sim,,Nenhuma regra da base especifica a estrutura morfológica ou sintática para o substantivo 'presidente' ou a marcação de gênero feminino em Libras.,,valido,,llm
A presidente,MULHER PRESIDENTE,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para o título 'presidente' ou a combinação 'mulher presidente'.,,invalido,,llm
O artista,ARTISTA HOMEM,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para o substantivo 'artista' ou a adição de 'HOMEM' como especificador.,,valido,,llm
Bebo água,BEBER ÁGUA,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre a estrutura SVO simples sem sujeito explícito ou concordância verbal específica para este caso.,,valido,,llm
Bebo água,BEBO ÁGUA,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre a estrutura SVO simples com verbo intransitivo/ergativo 'beber' ou a ausência de sujeito explícito.,,invalido,,llm
Ontem trabalhei,ONTEM TRABALHAR,valido,Sim,Sim,,,,valido,sim,llm
Vi ontem,VER ONTEM,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre especificamente a ordem do advérbio temporal 'ontem' em relação ao verbo 'ver' ou a estrutura SVO para essa frase específica.,,valido,,llm
Estudarei Libras,ESTUDAR LIBRAS FUTURO,nao_coberto,Sim,Sim,,Nenhuma regra da base especifica a marcação morfológica ou sintática para o tempo futuro (futuro do presente) em Libras.,,valido,,llm
Estudarei Libras,ESTUDAREI LIBRAS,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre a marcação de tempo futuro ou a estrutura SVO simples sem sujeito explícito.,,invalido,,llm
Aprenderam português,APRENDER PORTUGUÊS PASSADO,nao_coberto,Sim,Sim,,Nenhuma regra da base especifica a ordem canônica de verbos simples com objeto inanimado (SVO vs SOV) ou a marcação temporal específica para o pretérito perfeito sem sujeito explícito.,,valido,,llm
Não ter,NÃO_TER,invalido,Sim,Não,LIVRO.MORFOLOGIA.010,"A regra LIVRO.MORFOLOGIA.010 especifica que a negação do verbo 'ter' deve ser representada pela etiqueta 'TER-NÃO', e não por 'NÃO_TER'.",TER-NÃO,valido,não,llm
Não conhecer,NÃO_CONHECER,invalido,Sim,Não,LIVRO.NEGACAO.003,"A negação deve aparecer após o verbo em verbos sem concordância (CONHECER), não antes.",CONHECER NÃO,valido,não,llm
Não bonito,NÃO_BONITO,nao_coberto,Sim,Sim,,"A estrutura de negação adjetival (NÃO + ADJETIVO) não é especificada nas regras fornecidas, que cobrem apenas negação verbal.",,valido,,llm
Lindo demais,MUITO_LINDO,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre a estrutura sintática de adjetivos com intensificadores ou a ordem específica de 'Lindo demais'.,,valido,,llm
Muito bonito,MUITO_BONITO,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para o adjetivo 'bonito' ou a combinação 'muito bonito'.,,valido,,llm
Bem demais,MUITO_BEM,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre a estrutura ou o mapeamento específico da expressão 'Bem demais' ou do sinal MUITO_BEM.,,valido,,llm
Trabalhar muito,TRABALHAR_MUITO,nao_coberto,Sim,Sim,,Nenhuma regra da base especifica a estrutura morfológica ou sintática para a combinação de um verbo com o advérbio 'muito' (intensificação).,,valido,,llm
