pipeline,id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
voice2sign,ASLFD.SINTAXE.001,sintaxe,Ordem flexível de sujeito e verbo em frases simples,"Em ASL, o sujeito pode aparecer antes ou depois do verbo em frases simples, sem alterar o significado. Isso permite variações naturais na estrutura da frase, dependendo do foco ou do contexto.","frase simples com sujeito e verbo, sem objetos diretos ou indiretos",True,HE RAN → RAN HIM ; SHE FELL → FELL HER,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),37,"Unlike English grammar rules, which dictate that the subject must go before the verb, Sign allows you to put the subject before or after the verb when dealing with simple sentences; it doesn’t matter which word comes first."
voice2sign,ASLFD.SINTAXE.002,sintaxe,Objeto direto pode vir antes do sujeito ou depois do verbo,"O objeto direto em ASL pode ser posicionado antes do sujeito ou após o verbo, dependendo do foco da mensagem. A ordem natural em inglês é mantida apenas quando há risco de ambiguidade.","frase com sujeito, verbo e objeto direto, especialmente quando a mudança de ordem não causa ambiguidade",True,HE SELLS FOOD → FOOD HE SELLS ; ME EAT PIZZA → PIZZA ME EAT,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),38,"In ASL, the direct object can go either before the subject or after the verb."
voice2sign,ASLFD.SINTAXE.003,sintaxe,Objeto indireto posicionado após o sujeito,"Em frases com objeto indireto, o objeto indireto é colocado imediatamente após o sujeito, seguido pelo verbo e pelo objeto direto, formando a sequência sujeito-objeto indireto-objeto direto-verb.","frase com sujeito, verbo, objeto indireto e objeto direto",True,DOG BONE — GIRL — THROW ; ME TEACHER — APPLE GAVE,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),40,You place the indirect object right after the subject and then show the action.
voice2sign,ASLFD.TEMPO-ASPECTO.001,tempo-aspecto,Indicação de passado com 'finish' no início da frase,"Para indicar que uma ação já ocorreu no passado, o sinal 'FINISH' é usado no início da frase, com movimento no nível do peito ou acima, dependendo da intensidade. O sinal é acompanhado pela pronúncia de 'fish' (versão abreviada de 'finish').",frase que descreve uma ação concluída no passado,True,FINISH HE GO — WILL,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),34,"To place everything you sign into past tense, you sign finish at chest level or higher, depending on the level of intensity, at either the beginning or end of the sentence (most signers do it at the beginning for clarity), while saying the word fish, a shortened version of finish."
voice2sign,ASLFD.TEMPO-ASPECTO.002,tempo-aspecto,Indicação de futuro com 'will' no final da frase,"Para indicar futuro, o sinal 'WILL' é colocado no final da frase. A distância do corpo ao qual o sinal é feito indica o grau de proximidade ou distância no tempo: quanto mais longe, mais distante no futuro.",frase que descreve uma ação futura planejada,True,HE GO — WILL ; MY HOUSE — M-I-K-E — WALK — WILL,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),34,"You indicate future tense by signing and saying will at the end of a sentence. The farther you sign the word will from the front of your body, the farther into the future you go."
voice2sign,ASLFD.MORFOLOGIA.001,morfologia,Adjetivos e advérbios geralmente seguem o termo que modificam,"Em ASL, adjetivos e advérbios são normalmente colocados após o substantivo ou verbo que modificam, diferentemente do inglês, onde podem vir antes ou depois.",frase com adjetivo ou advérbio que modifica um substantivo ou verbo,True,SMALL PLANES — FLY — LIKE ME ; PRETTY GIRL ; BAD MOVIE,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),32,"In Sign, you typically place the adjective or adverb — the modifier — after the word it modifies."
voice2sign,ASLFD.EXPRESSOES-IDIOMATICAS.001,expressoes-idiomaticas,OH/I SEE WHAT,"Expressão usada como exclamação única para indicar surpresa, compreensão repentina ou incredulidade. É formada pela datilologia 'W-T' (What?) e usada apenas como uma palavra isolada.","situação de surpresa, compreensão súbita ou dúvida",True,WHAT:,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),45,OH/I SEE WHAT: This exclamation is fingerspelled simply as W-T; it’s only used as a one-word exclamation (as “What?!”).
voice2sign,ASLFD.SINTAXE.004,sintaxe,Construção de frases com 'if' (condicionais),"Em ASL, frases condicionais são formadas com o sinal 'IF' seguido pelo condicionante, e o resultado da condição. O sinal 'IF' é acompanhado por sobrancelhas levantadas, mas as sobrancelhas retornam à posição normal após o sinal 'IF'.",Frase condicional iniciada com 'if' ou 'suppose' em inglês,True,IF BEER ORDER YOU — WINE ORDER ME ; IF YOU WANT TO GO — I WILL GO,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),50,"Sign the conditional word while raising your eyebrows, but then follow with the rest of the conditional phrase and sentence with your eyebrows back down in their normal position."
voice2sign,ASLFD.SINTAXE.005,sintaxe,Evitar verbos 'to be' em ASL,"Verbos como 'am', 'are', 'was', 'were', 'be', 'being', 'been' não são usados em ASL. Em vez disso, a estrutura ativa é usada, e a afirmação é confirmada com o sinal 'TRUE' no final da frase.",Quando se deseja fazer uma afirmação ou declarar um estado,True,"TRUE ; I AM HERE → (sem sinal de 'am', apenas 'I HERE TRUE')",ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),55,"Never sign am, are, was, were, be, being, or been. They aren’t used in ASL."
voice2sign,ASLFD.EXPRESSOES-IDIOMATICAS.003,expressoes-idiomaticas,OH I SEE WHY,Expressão usada para indicar compreensão imediata de uma razão ou motivação. É usada quando alguém entende o porquê de uma ação ou decisão.,"Após uma explicação ou justificativa, quando se entende a razão",True,OH I SEE WHY — Q ; OH I SEE WHY — YES,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),48,OH I SEE WHY — Q
