id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
TANIA.M.001,sintaxe,Preposição locativa é sempre nula,"A preposição locativa (PARA) nunca aparece na glosa. Ela é realizada pelo movimento do verbo, não por um sinal próprio. Regra sem exceção declarada.","A frase em português tem um complemento locativo introduzido por preposição (ir PARA o hospital, chegar EM a clínica).",True,Ela vai para o hospital amanhã -> IX IR HOSPITAL AMANHÃ (sem PARA),"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",2,"a preposição PARA sempre será nula em Libras, ela é “presente” na realização do movimento, por isso, nunca aparecerá na glosa"
TANIA.M.002,pergunta,Item QU na posição final da sentença,"O item QU (QUANDO, QUAL, ONDE e demais) aparece no FINAL da sentença, ocupando função de advérbio (ADJV) e sendo o foco da interrogação. A produção é S -> SJPR INT[QU], com o QU depois do sujeito e do predicado.","A frase em português é uma interrogativa com item QU (quando, qual, onde, quem).",True,Onde dói? -> DOER ONDE? ; Qual remédio tomou? -> REMÉDIO TOMAR QUAL?,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",2,"o item QU (QUANDO, QUAL, ONDE) e demais, que aparecem no final da sentença, sempre ocupará a função de um ADJV (Advérbio) que é o foco da interrogação"
TANIA.M.003,pronomes,Sujeito pode ser nulo,"O sujeito pode não ser realizado na glosa (SUJ -> Nul), ou ser realizado por apontação (IX). A omissão é a opção listada primeiro nas produções.","A frase em português tem sujeito recuperável pelo contexto ou sujeito indeterminado (você, a gente, se).",True,Tomou o remédio? -> TOMAR REMÉDIO? ; Sentiu tontura? -> SENTIR TONTURA?,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",3,SUJ → Nul ou IX
TANIA.M.004,sintaxe,Adjetivo depois do nome que modifica,"O adjetivo é projetado como ADJN do nome e aparece DEPOIS dele na glosa. Produções: OBJDIR -> NOME, NOME -> ADJN, ADJN -> ADJETIVO.",A frase em português tem um nome modificado por adjetivo.,True,Sentiu febre alta? -> SENTIR FEBRE ALTA? ; Tem exame recente? -> TER EXAME RECENTE?,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",3,OBJDIR → NOME / NOME → ADJN / ADJN → ADJETIVO
TANIA.M.005,verbos,Verbo modal tratado como verbo principal,"O verbo modal (PODER e semelhantes) é o verbo principal do predicado, e o verbo que o segue é seu complemento verbal. Não há categoria separada para modal. A própria nota declara que a solução é generalizável.","A frase em português tem verbo modal seguido de outro verbo (poder ir, querer sair, precisar tomar).",True,Preciso marcar consulta -> EU PRECISAR MARCAR CONSULTA,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",2,"não haja necessidade de formalizar explicitamente o verbo modal como categoria separada. Portanto, PODER será tratado como o verbo principal do VB, e IR como seu complemento verbal, achei essa uma solução que pode ser replicada a outras sentenças semelhantes"
TANIA.M.006,sintaxe,Advérbio de tempo que modifica o locativo vem depois do nome,"Quando o advérbio de tempo não modifica o evento verbal e sim o destino locativo, ele é projetado como ADJN do nome e aparece depois dele, dentro do NUCLOBI — não como ADJV depois do verbo.","A frase tem advérbio de tempo e complemento locativo, e o advérbio se refere ao locativo, não ao evento.",True,Fica no quarto amanhã -> FICAR QUARTO AMANHÃ (AMANHÃ depois de QUARTO),"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",2,nestes casos o HOJE não modifica o evento verbal (ir) e sim o destino locativo (casa) ... ele também poderá ser projetado na árvore como um nó ADJN
TANIA.M.007,sintaxe,Advérbio de tempo que modifica o verbo vem depois do verbo,Advérbio de tempo que modifica o evento verbal é ADJV e aparece depois do verbo na glosa. Produção: VB -> V [ADJV]; o ADJV é opcional.,A frase em português tem advérbio de tempo modificando o verbo.,True,O médico chegar cedo -> MÉDICO CHEGAR CEDO,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",4,VB → V [ADJV] / ADJV → ADVÉRBIO
TANIA.M.008,sintaxe,Advérbio de tempo pode vir no início da sentença,"A ordem com o advérbio de tempo antes do sujeito também é válida; nesse caso a estrutura da árvore muda. O texto afirma possibilidade, não obrigação.",A frase em português tem advérbio de tempo e se quer topicalizar o tempo.,True,"CEDO MÉDICO CHEGAR (ordem alternativa, também válida)","Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",4,"A ordem AGORA ENFERMEIRA CHAMAR também pode ser válida, nesse caso haverá mudança na estrutura"
TANIA.M.009,verbos,Verbo direcional intransitivo não realiza o objeto,Verbo direcional usado na forma intransitiva não recebe complemento na glosa: a direção do movimento já indica sobre quem ou o que a ação recai.,"A frase tem verbo direcional cujo alvo é recuperável pela direção (chamar alguém, avisar alguém).",True,Avisar o médico -> MÉDICO AVISAR (sem objeto),"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",4,"esta sentença não apresenta complemento. O verbo CHAMAR está na forma intransitiva, isso porque ele assume a direção sobre algo ou alguém que está sendo “chamado”"
TANIA.M.010,pronomes,Pronome incorporado ao verbo direcional,"Com verbo direcional, o pronome pode estar incorporado morfologicamente ao verbo (IX2-EXPLICAR-IX1) e, nesse caso, não aparece como sinal separado na glosa.","A frase tem verbo direcional com sujeito e/ou objeto pronominal (explicar para mim, avisar você).",True,Pode me mostrar o exame? -> PODER MOSTRAR EXAME (sem IX separado),"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",1,o pronome também pode estar incorporado morfologicamente ao verbo direcional
TANIA.M.011,foco,Marcador de polidez fica fora da árvore nuclear,"Marcadores de polidez (POR FAVOR, COM LICENÇA) são elementos discursivos e podem ficar fora da árvore nuclear, podendo não aparecer na glosa. Vêm frequentemente marcados por expressão não manual de solicitação.","A frase em português é um pedido cortês (pode..., por favor..., com licença...).",False,"Com licença, pode ajudar? -> PODER AJUDAR (sem COM-LICENÇA)","Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",1,"nestes casos os marcadores POR FAVOR, COM LICENÇA podem ficar fora da árvore nuclear, como um elemento discursivo de polidez"
TANIA.M.012,sintaxe,Priorizar estrutura simples com referente presente,"A organização sintática deve priorizar estruturas simples, considerando o referente presente na situação de enunciação. Critério geral que orienta todas as árvores do documento.",Sempre — critério geral de construção da glosa.,False,,"Elaboração da Gramática Formal da Libras — Notas de consultoria (Profa. Tânia, reunião 31/07/2026) [EXTRAÇÃO MANUAL]",0,"as árvores sintáticas abaixo seguem organização sintática compatível com a Libras, priorizando estruturas simples considerando o referente presente"
