text,gloss,gloss_review,gloss_judge
Do you need help with anything?,NEED HELP WHAT?,NEED HELP WHAT?,
You need antibiotics,NEED ANTIBIOTIC.,NEED ANTIBIOTIC,
I will call the doctor.,CALL DOCTOR.,CALL DOCTOR.,
"You need oxygen, okay?","NEED OXYGEN, OKAY?","NEED OXYGEN, OKAY?",
The doctor will give you medicine now.,NOW DOCTOR GIVE MEDICINE.,NOW DOCTOR GIVE MEDICINE.,
Do you have stomach pain?,HAVE STOMACH PAIN?,HAVE STOMACH PAIN?,
Do you feel confused?,FEEL CONFUSED?,FEEL CONFUSED?,
Do you have heart problems?,HAVE HEART PROBLEM?,HAVE HEART PROBLEM?,
How are you feeling now?,NOW FEEL HOW?,NOW FEEL HOW?,
The blood test is ready now.,NOW BLOOD TEST READY.,NOW BLOOD TEST READY.,
"Did you take the medicine, and do you feel better now?","TAKE MEDICINE, NOW FEEL BETTER?","TAKE MEDICINE, NOW FEEL BETTER?",
Are you in severe pain now?,NOW YOU PAIN STRONG?,NOW YOU PAIN STRONG?,
Do you have a high fever?,HAVE HIGH FEVER?,HAVE HIGH FEVER?,
Do you need a doctor now?,NOW NEED DOCTOR?,NOW NEED DOCTOR?,
Do you need emergency care now?,NOW NEED EMERGENCY HELP?,NOW NEED EMERGENCY HELP?,
Is the baby moving?,BABY MOVE?,BABY MOVE?,
When did your fever start?,FEVER START WHEN?,FEVER START WHEN?,
How long have you been feeling dizzy?,"DIZZY, HOW LONG FEEL?","DIZZY, HOW LONG FEEL?",
When did the accident happen?,ACCIDENT HAPPEN WHEN?,ACCIDENT HAPPEN WHEN?,
Where do you feel pain from the accident?,"ACCIDENT, PAIN WHERE FEEL?","ACCIDENT, PAIN WHERE FEEL?",
You are ready for hospital admission now.,NOW READY HOSPITAL ADMISSION.,NOW READY HOSPITAL ADMISSION.,
When did you vomit?,VOMIT WHEN?,VOMIT WHEN?,
The doctor will explain your situation.,DOCTOR WILL EXPLAIN SITUATION.,DOCTOR WILL EXPLAIN SITUATION.,
Do you still have a cough and fever?,STILL HAVE COUGH FEVER?,STILL HAVE COUGH FEVER?,
"You need oxygen right away, okay?",NEED OXYGEN NOW OKAY.,NEED OXYGEN NOW OKAY.,
How is your asthma feeling?,YOUR ASTHMA FEEL HOW?,YOUR ASTHMA FEEL HOW?,
Are you coughing up blood?,COUGH BLOOD?,COUGH BLOOD?,
You have a lung infection.,HAVE LUNG INFECTION.,HAVE LUNG INFECTION.,
Do you have high blood pressure?,HAVE HIGH BLOOD PRESSURE?,HAVE HIGH BLOOD PRESSURE?,
Do you feel severe chest pain?,FEEL CHEST PAIN STRONG?,FEEL CHEST PAIN STRONG?,
What happened when you lost consciousness?,LOSE CONSCIOUSNESS WHAT HAPPEN?,LOSE CONSCIOUSNESS WHAT HAPPEN?,
Have you had any bleeding during your pregnancy?,"PREGNANCY, HAVE ANY BLEEDING?","PREGNANCY, HAVE ANY BLEEDING?",
Are you having stomach pain during your pregnancy?,"PREGNANCY, HAVE STOMACH PAIN?","PREGNANCY, HAVE STOMACH PAIN?",
You need a gynecological exam now.,NOW NEED GYNECOLOGICAL EXAM.,NOW NEED GYNECOLOGICAL EXAM.,
Are you having trouble breastfeeding?,"BREASTFEEDING, HAVE PROBLEM?","BREASTFEEDING, HAVE PROBLEM?",
You need to schedule a medical appointment.,NEED SCHEDULE MEDICAL APPOINTMENT.,NEED SCHEDULE MEDICAL APPOINTMENT.,
You need to go to the pregnancy emergency room now.,NOW NEED GO PREGNANCY EMERGENCY ROOM.,NOW NEED GO PREGNANCY EMERGENCY ROOM.,
"Hello, I need help.","HELLO, NEED HELP","HELLO, NEED HELP",
Can you help me now?,CAN HELP NOW?,CAN HELP NOW?,
I feel dizzy today.,TODAY FEEL DIZZY,TODAY FEEL DIZZY,
I have back pain.,BACK PAIN,BACK PAIN,
I have pain in my left arm.,LEFT ARM PAIN,LEFT ARM PAIN,
I have pain in my right arm.,RIGHT ARM PAIN,RIGHT ARM PAIN,
My head hurts.,HEAD HURT,HEAD HURT,
I feel pain in my stomach.,STOMACH PAIN FEEL,STOMACH PAIN FEEL,
I have shortness of breath.,SHORT BREATH,SHORT BREATH,
I have breathing hard.,BREATHING HARD,BREATHING HARD,
Do you feel better now.,NOW FEEL BETTER?,NOW FEEL BETTER?,
I have fever and cough.,FEVER COUGH,FEVER COUGH,
Please call the nurse.,PLEASE NURSE CALL,PLEASE NURSE CALL,
Please call the doctor.,PLEASE DOCTOR CALL,PLEASE DOCTOR CALL,
I need medicine now.,NOW MEDICINE NEED,NOW MEDICINE NEED,
Can you explain the blood test?,BLOOD TEST EXPLAIN?,BLOOD TEST EXPLAIN?,
I need a glucose test.,GLUCOSE TEST NEED,GLUCOSE TEST NEED,
I need insulin.,INSULIN MEDICINE NEED,INSULIN MEDICINE NEED,
Are you tired and dizzy?,TIRED DIZZY?,TIRED DIZZY?,
The patient needs help.,PATIENT HELP NEED,PATIENT HELP NEED,
You have a fever,HAVE FEVER,HAVE FEVER,
Do you feel pain something?,FEEL PAIN SOMETHING?,FEEL PAIN SOMETHING?,
I feel better after the medicine.,MEDICINE FINISH BETTER,MEDICINE FINISH BETTER,
The cough is strong now.,NOW COUGH STRONG,NOW COUGH STRONG,
I have pain in my chest.,CHEST PAIN,CHEST PAIN,
I need to go to the hospital.,HOSPITAL GO NEED,HOSPITAL GO NEED,
Is this an emergency?,EMERGENCY?,EMERGENCY?,
Please stay calm.,PLEASE CALM,PLEASE CALM,
Please breathe slowly.,PLEASE BREATHE SLOW,PLEASE BREATHE SLOW,
Please stop here.,PLEASE STOP HERE,PLEASE STOP HERE,
I need support now.,NOW SUPPORT NEED,NOW SUPPORT NEED,
I feel strange today.,TODAY STRANGE,TODAY STRANGE,
I feel stress and exhaustion.,STRESS EXHAUSTED,STRESS EXHAUSTED,
I need care and support.,CARE SUPPORT NEED,CARE SUPPORT NEED,
The fever did not improve.,FEVER NOT BETTER,FEVER NOT BETTER,
The pain improved a little.,PAIN LITTLE BETTER,PAIN LITTLE BETTER,
I feel much better today.,TODAY MUCH BETTER,TODAY MUCH BETTER,
Do you have anxiety and stress?,HAVE ANXIETY STRESS?,HAVE ANXIETY STRESS?,
I need help breathing.,BREATHING HELP NEED,BREATHING HELP NEED,
Please explain slowly.,PLEASE EXPLAIN SLOW,PLEASE EXPLAIN SLOW,
I need in-person care.,DIRECT CARE NEED,DIRECT CARE NEED,
Do you have medicine allergic?,HAVE ALLERGIC MEDICINE?,HAVE ALLERGIC MEDICINE?,
I feel numbness in my hand.,HAND NUMB,HAND NUMB,
I feel numbness in my leg.,LEG NUMB,LEG NUMB,
Are you feeling hot?,FEEL HOT?,FEEL HOT?,
I have diarrhea today.,TODAY DIARRHEA,TODAY DIARRHEA,
I lost my appetite.,NOT WANT EAT,NOT WANT EAT,
I need oxygen now.,NOW OXYGEN NEED,NOW OXYGEN NEED,
I need a medical examination.,MEDICAL EXAM NEED,MEDICAL EXAM NEED,
I need a medical consultation.,DOCTOR CONSULT NEED,DOCTOR CONSULT NEED,
I need a diagnosis.,DIAGNOSIS NEED,DIAGNOSIS NEED,
Can you explain my condition?,CONDITION EXPLAIN?,CONDITION EXPLAIN?,
I need help quickly.,HELP FAST NEED,HELP FAST NEED,
I feel deeply sad.,FEEL VERY SAD,FEEL VERY SAD,
I have depression and anxiety.,DEPRESSION ANXIETY,DEPRESSION ANXIETY,
I feel unwell.,FEEL SICK,FEEL SICK,
I have an infection.,INFECTION,INFECTION,
I think I caught a disease.,THINK SICK,THINK SICK,
I need information about prevention.,PREVENTION INFORMATION NEED,PREVENTION INFORMATION NEED,
Please wear a protective mask.,PLEASE MASK WEAR,PLEASE MASK WEAR,
I need a pharmacy.,PHARMACY NEED,PHARMACY NEED,
I need cough medicine.,COUGH MEDICINE NEED,COUGH MEDICINE NEED,
I need pain medicine.,PAIN MEDICINE NEED,PAIN MEDICINE NEED,
I need fever medicine.,FEVER MEDICINE NEED,FEVER MEDICINE NEED,
I feel pain when I breathe.,BREATHE PAIN,BREATHE PAIN,
I have abdominal pain.,STOMACH PAIN,STOMACH PAIN,
I need to sit down.,SIT NEED,SIT NEED,
Please help me stand up.,PLEASE HELP STAND,PLEASE HELP STAND,
I almost fainted.,ALMOST FAINT,ALMOST FAINT,
I had an accident.,ACCIDENT,ACCIDENT,
I need an ambulance.,AMBULANCE NEED,AMBULANCE NEED,
I need emergency care.,EMERGENCY CARE NEED,EMERGENCY CARE NEED,
I need hospital admission.,HOSPITAL ADMISSION NEED,HOSPITAL ADMISSION NEED,
The patient has heart failure.,PATIENT HEART FAILURE,PATIENT HEART FAILURE,
I have asthma and a cough.,ASTHMA COUGH,ASTHMA COUGH,
I need an inhaler.,INHALER NEED,INHALER NEED,
I feel pain here.,PAIN HERE,PAIN HERE,
I need water.,WATER NEED,WATER NEED,
I am allergic to this medicine.,MEDICINE ALLERGIC,MEDICINE ALLERGIC,
I need to talk to my family.,FAMILY TALK NEED,FAMILY TALK NEED,
You're welcome,WELCOME,WELCOME,
Good morning,GOOD MORNING,GOOD MORNING,
Good night,GOOD NIGHT,GOOD NIGHT,
Good evening,GOOD EVENING,GOOD EVENING,
Good afternoon,GOOD AFTERNOON,GOOD AFTERNOON,
How are you?,HOW YOU?,HOW YOU?,
What's your name?,YOU NAME?,YOU NAME?,
Nice to meet you,NICE MEET YOU,NICE MEET YOU,
See you later,SEE LATER,SEE LATER,
Take care,TAKE CARE,TAKE CARE,
Have a nice day,HAVE NICE DAY,HAVE NICE DAY,
Excuse me,EXCUSE ME,EXCUSE ME,
Thanks a lot,THANKS LOT,THANKS LOT,
Of course,OF COURSE,OF COURSE,
Please repeat that,PLEASE AGAIN,PLEASE AGAIN,
Wait a moment,WAIT MOMENT,WAIT MOMENT,
Call me later,CALL LATER,CALL LATER,
What time is it?,WHAT TIME?,WHAT TIME?,
Where are you?,WHERE YOU?,WHERE YOU?,
I need rest,NEED REST,NEED REST,
