pipeline,id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.001,expressoes-idiomaticas,Swallowed the Fish,"Indica que alguém foi enganado ou mostrou-se ingênuo ao confiar em alguém que não deveria. Pode ser usado sobre si mesmo ou sobre outra pessoa, com expressão facial de embaraço, como olhos arregalados.","Após alguém demonstrar confiança em uma pessoa ou situação que deveria ser óbvia para todos, especialmente em contexto de humor leve.",False,Alguém acredita em uma mentira óbvia -> SWALLOWED-THE-FISH ; Você acredita em um golpe fácil -> SWALLOWED-THE-FISH,ASL for Dummies — Cap.19 (Expressões populares),335,This idiom indicates gullibility. You use it in good humor after someone mistakenly places his trust in someone he shouldn’t have or should have known something since it is common knowledge.
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.002,expressoes-idiomaticas,Train Gone,"Expressa que alguém perdeu uma oportunidade ou não entendeu uma informação que os outros já entenderam. Não é usado sobre si mesmo, mas sim para apontar alguém que está fora do contexto.","Quando alguém não entende uma piada, uma informação ou uma referência que todos os outros entenderam, especialmente em grupo.",False,Alguém não ri de uma piada -> TRAIN-GONE ; Alguém pede para repetir algo que já foi dito -> TRAIN-GONE,ASL for Dummies — Cap.19 (Expressões populares),336,"You don’t normally direct this lighthearted idiom toward yourself but rather toward someone else. You often use this sign, which can be compared to the English idiom “missed the boat,” when someone tells a joke and everyone laughs except one person."
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.003,expressoes-idiomaticas,Pea Brain,"Expressão ofensiva que critica a inteligência de alguém, geralmente usada entre amigos próximos com intenção de humor. O grau de ofensa depende da expressão facial: língua esticada ou olhos cruzados aumentam o tom ofensivo.","Quando alguém faz algo estúpido ou diz algo óbvio, especialmente em contexto de brincadeira entre pessoas próximas.",False,Alguém esquece algo óbvio -> PEA-BRAIN ; Você diz algo óbvio -> PEA-BRAIN (autoironia),ASL for Dummies — Cap.19 (Expressões populares),337,"Hearing people use this idiom as well, and just as in English, you shouldn’t use this idiom very often because it’s not polite. In fact, it’s somewhat offensive, although perhaps in a group of good friends you can get away with it if you mean it in good fun."
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.004,expressoes-idiomaticas,Rats!/Darn!,"Expressão de frustração ou decepção diante de algo que não saiu como esperado. É feita com a mão dominante pegando um “inseto” no ar, como se capturasse uma mosca.","Quando algo não dá certo, como um erro, um imprevisto ou uma frustração leve.",False,Você perdeu um objeto -> RATS!/DARN!,ASL for Dummies — Cap.19 (Expressões populares),337,"If you’ve ever experienced a situation in which something doesn’t go as expected, you probably already know how to use this expression. Like the illustration indicates, you open your passive hand facing up. Using your dominant hand, you start with the manual number 5 and, with the manual letter S, you act like you’re catching a fly in the palm of your hand."
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.005,expressoes-idiomaticas,I Hope,"Expressão de desejo ou esperança, feita cruzando os dedos das duas mãos com formato de R. Pode ser reforçada com expressão facial de expectativa, como olhos fechados ou boca entreaberta.","Quando se deseja algo com força, especialmente em situações de incerteza ou ansiedade.",False,Você espera que chova -> I-HOPE ; Você espera que o resultado seja bom -> I-HOPE,ASL for Dummies — Cap.19 (Expressões populares),338,"To sign I hope, you cross your fingers on both hands. It’s pretty simple and is generally understood in both the hearing and Deaf worlds alike. Just cross your fingers in R handshapes."
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.006,expressoes-idiomaticas,Your Guess Is as Good as Mine,"Expressa que o signador também não sabe a resposta, podendo ser usada como resposta direta a uma pergunta ou como parte da pergunta. A expressão facial de sorriso sardônico e sobrancelhas levantadas reforça o tom de incerteza.","Após alguém fazer uma pergunta que o signador não sabe responder, especialmente em contexto de humor ou desespero leve.",False,Alguém pergunta o que aconteceu -> YOUR-GUESS-IS-AS-GOOD-AS-MINE ; Você não sabe a resposta -> YOUR-GUESS-IS-AS-GOOD-AS-MINE,ASL for Dummies — Cap.19 (Expressões populares),338,"In Sign, you can ask a question and use this expression at the same time. A good facial expression to go with this sign is to smirk (smiling with just the corner of your mouth) and raise your eyebrows."
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.007,expressoes-idiomaticas,Cool!,"Expressão de aprovação ou admiração, com dois modos: um com dedo e polegar no rosto girando, outro com polegar no peito e dedos se mexendo. O tom depende da expressão facial: sorriso, lábios cerrados ou boca aberta.","Quando algo é considerado bom, interessante ou impressionante, especialmente em contextos sociais.",False,Alguém faz algo legal -> COOL! ; Você vê algo impressionante -> COOL!,ASL for Dummies — Cap.19 (Expressões populares),338,"You can sign it in two different ways; both signs have pretty much the same meaning. The first sign, shown in the following picture, is made by placing your index finger and thumb on your cheek and twisting your wrist in an inward motion."
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.008,expressoes-idiomaticas,Oh No!,"Expressão de constrangimento ou arrependimento, usada ao testemunhar ou descrever uma ação embaraçosa. Feita com mão 5 aberta e fechando para S, com olhos arregalados e sorriso nervoso.","Quando algo embaraçoso acontece ou é lembrado, especialmente em contexto social.",False,Você tropeça em público -> OH-NO! ; Você diz algo errado -> OH-NO!,ASL for Dummies — Cap.19 (Expressões populares),339,Make this sign when you witness an embarrassing action or are explaining one of your own embarrassing actions to someone. Open your eyes wide; you can even put on a nervous smile as you express this sign.
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.009,expressoes-idiomaticas,That’s Superb!,"Expressão de entusiasmo ou surpresa positiva, feita com mão –F tocando o queixo. O tom depende da expressão facial: boca em forma de –OO para aprovação ou expressão de nojo para negatividade.","Quando algo é muito bom ou impressionante, ou quando se quer expressar ironia negativa.",False,Algo muito bom acontece -> THAT’S-SUPERB! ; Algo muito ruim acontece -> THAT’S-SUPERB! (com expressão de nojo),ASL for Dummies — Cap.19 (Expressões populares),339,This sign is made by using the manual –F handshape and touching the center of your chin. Your facial expression will tell if it is a positive experience or a negative one.
sign2voice,ASLFD.EXPRESSOES-IDIOMATICAS.010,expressoes-idiomaticas,That’s Pretty Straight-Laced,"Expressa que alguém é muito conservador, rígido ou antiquado. Feito com expressão facial de lábios apertados e ar de superioridade.","Quando alguém age de forma excessivamente convencional, rígida ou desatualizada.",False,Alguém rejeita uma ideia nova por tradição -> THAT’S-PRETTY-STRAIGHT-LACED,ASL for Dummies — Cap.19 (Expressões populares),340,"By making this sign, you’re saying that someone is ultraconservative, close-minded, or just an old-fashioned square. For your facial expression, press your lips tightly together, perhaps paired with a snobbish-type expression."
