n,arquivo,topico,nivel_outline,pagina_ini,pagina_fim,n_paginas,n_topicos,parte,tokens,incluir,motivo_exclusao
1,001_cap-04.txt,Cap_04,0,123,128,6,1,,1420,1,
2,002_a-ordem-basica-da-frase.txt,A ORDEM BÁSICA DA FRASE,-1,129,131,3,1,1/5,1790,1,
3,003_a-ordem-basica-da-frase.txt,A ORDEM BÁSICA DA FRASE,-1,132,133,2,1,2/5,1594,1,
4,004_a-ordem-basica-da-frase.txt,A ORDEM BÁSICA DA FRASE,-1,134,137,4,1,3/5,1894,1,
5,005_a-ordem-basica-da-frase.txt,A ORDEM BÁSICA DA FRASE,-1,138,147,10,1,4/5,1813,1,
6,006_a-ordem-basica-da-frase.txt,A ORDEM BÁSICA DA FRASE,-1,148,151,4,1,5/5,888,1,
7,007_ordem-sim-com-restricoes.txt,ORDEM SIM COM RESTRIÇÕES,-1,152,160,9,1,1/2,1953,1,
8,008_ordem-sim-com-restricoes.txt,ORDEM SIM COM RESTRIÇÕES,-1,161,165,5,1,2/2,1275,1,
9,009_a-formacao-da-frase-com-foco.txt,A FORMAÇÃO DA FRASE COM FOCO,-1,166,180,15,1,,1929,1,
10,010_a-formacao-de-interrogativas.txt,A FORMAÇÃO DE INTERROGATIVAS,-1,181,186,6,1,1/2,1668,1,
11,011_a-formacao-de-interrogativas.txt,A FORMAÇÃO DE INTERROGATIVAS,-1,187,194,8,1,2/2,1577,1,
12,012_o-comportamento-dos-verbos-e-a-questao-da-co.txt,O COMPORTAMENTO DOS VERBOS E A QUESTÃO DA CONCORDÂNCIA,-1,195,196,2,1,1/3,1513,1,
13,013_o-comportamento-dos-verbos-e-a-questao-da-co.txt,O COMPORTAMENTO DOS VERBOS E A QUESTÃO DA CONCORDÂNCIA,-1,197,202,6,1,2/3,1952,1,
14,014_o-comportamento-dos-verbos-e-a-questao-da-co.txt,O COMPORTAMENTO DOS VERBOS E A QUESTÃO DA CONCORDÂNCIA,-1,203,208,6,1,3/3,1982,1,
15,015_conclusao.txt,Conclusao,0,209,210,2,1,,1000,1,
