id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
ASLFD.SINTAXE.1,sintaxe,Ordem flexível de sujeito e verbo em frases simples,"Em ASL, o sujeito pode aparecer antes ou depois do verbo em frases simples, sem alterar o significado. Isso permite variações naturais na estrutura da frase, dependendo do foco ou do contexto. A ordem pode ser ajustada para enfatizar diferentes elementos da ação. Em frases declarativas simples, a ordem pode seguir o padrão sujeito-verbo-objeto, mas o verbo pode vir antes do sujeito quando o foco está na ação.","frase simples com sujeito e verbo, sem objetos diretos ou indiretos; frase declarativa com verbo principal",HE RAN ; RAN HIM ; SHE FELL ; FELL HER ; HOUSE YARD — BIG ; KITCHEN — WANT SEE ME ; COUCH LAMP PICTURES — NEED US,ASLFD.SINTAXE.001 ; ASLFD.SINTAXE.021 ; ASLFD.SINTAXE.030,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.106; ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.142; ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.37
ASLFD.SINTAXE.2,sintaxe,"Posicionamento do objeto direto em frases com sujeito, verbo e objeto direto","Em frases com sujeito, verbo e objeto direto, o objeto direto pode ser posicionado antes do sujeito ou após o verbo, dependendo do foco da mensagem. A ordem natural em inglês é mantida apenas quando há risco de ambiguidade. Essa flexibilidade permite ênfase e clareza contextual. Em frases com múltiplos objetos, os sinais são apresentados em sequência, sem separadores, e o verbo é colocado no final, com o sinal de necessidade ou desejo aplicado ao grupo.","frase com sujeito, verbo e objeto direto, especialmente quando a mudança de ordem não causa ambiguidade; frase com lista de objetos e verbo de necessidade ou desejo",HE SELLS FOOD ; FOOD HE SELLS ; ME EAT PIZZA ; PIZZA ME EAT ; COUCH LAMP PICTURES — NEED US ; SLEEP DREAM REST PRAY LAUGH VACATION — WANT,ASLFD.SINTAXE.002 ; ASLFD.SINTAXE.022,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.108; ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.38
ASLFD.SINTAXE.3,sintaxe,Posicionamento do objeto indireto em frases com dois objetos,"Em frases com objeto indireto, o objeto indireto é colocado imediatamente após o sujeito, seguido pelo verbo e pelo objeto direto, formando a sequência sujeito-objeto indireto-objeto direto-verb. Essa ordem é fixa e essencial para a clareza gramatical. Em descrições de localização, o padrão é: [Referente] [Localização] [Direção] [Nome da rua ou estrutura], com o sinal de localização (como 'THIRD RIGHT') vindo antes do nome da rua ou estrutura.","frase com sujeito, verbo, objeto indireto e objeto direto; frase que descreve a localização de um endereço ou ponto de referência",DOG BONE — GIRL — THROW ; ME TEACHER — APPLE GAVE ; RIGHT ON WEST DRIVE ; THE THIRD HOUSE ON THE RIGHT -> HOUSE - THIRD RIGHT - STREET - WEST - D-R ; THE GARAGE HAS A WINDOW -> GARAGE - WINDOW HAVE,ASLFD.SINTAXE.003 ; ASLFD.SINTAXE.016,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.40; ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.92
ASLFD.SINTAXE.4,sintaxe,Construção de frases condicionais com 'if',"Em ASL, frases condicionais são formadas com o sinal 'IF' seguido pelo condicionante, e o resultado da condição. O sinal 'IF' é acompanhado por sobrancelhas levantadas, mas as sobrancelhas retornam à posição normal após o sinal 'IF'.",Frase condicional iniciada com 'if' ou 'suppose' em inglês,IF BEER ORDER YOU — WINE ORDER ME ; IF YOU WANT TO GO — I WILL GO,ASLFD.SINTAXE.004,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.50
ASLFD.SINTAXE.5,sintaxe,Evitar verbos 'to be' em ASL,"Verbos como 'am', 'are', 'was', 'were', 'be', 'being', 'been' não são usados em ASL. Em vez disso, a estrutura ativa é usada, e a afirmação é confirmada com o sinal 'TRUE' no final da frase. Isso reflete a preferência por ações concretas e estados visíveis.",Quando se deseja fazer uma afirmação ou declarar um estado,"TRUE ; I AM HERE → (sem sinal de 'am', apenas 'I HERE TRUE')",ASLFD.SINTAXE.005,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.55
ASLFD.SINTAXE.6,sintaxe,Uso de 'SO FAR' para tempo longo,"O sinal 'SO FAR' é usado para indicar um período de tempo muito longo, especialmente em contextos de aniversários, experiências ou espera prolongada. Ele enfatiza a duração extensa de um evento ou estado.","Quando se fala de um tempo extenso, como em aniversários ou experiências duradouras",LONG TIME — SO FAR ; SO FAR — 50 YEARS,ASLFD.SINTAXE.006,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.47
ASLFD.SINTAXE.7,sintaxe,Posição do tempo no início da frase,"Em ASL, a expressão de tempo deve ser colocada o mais próximo possível do início da frase, antes do sujeito, para fornecer um contexto claro sobre quando o evento ocorreu. Isso ajuda na organização temporal da mensagem.","Frase que inclui informação de tempo (data, hora, dia, momento do dia)",7 P.M. — MY HOUSE — COME — CAN YOU — Q ; MORNING — I ARRIVE — LATE,ASLFD.SINTAXE.007,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.85
ASLFD.SINTAXE.8,sintaxe,Ordem de itens e quantidade em frases numéricas,"Para expressar pluralidade ou quantidade em ASL, o item é sinalizado primeiro, seguido pelo número, sem necessidade de mudar o item para forma plural. Essa estrutura é direta e não depende de flexão gramatical.",Frase que expressa quantidade de objetos ou pessoas,BOOK TWO ; CAR FOUR,ASLFD.SINTAXE.008,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.79
ASLFD.SINTAXE.9,sintaxe,Sinalização de números em telefone e códigos,"Números de telefone e códigos (como número de seguro social) são sinalizados com a palma da mão voltada para fora, em direção ao interlocutor. Essa orientação é padrão para comunicação de sequências numéricas. O sufixo do número de telefone pode ser sinalizado como quatro dígitos consecutivos ou em dois pares, sem necessidade de hífen. O sinal 'L-D' pode ser usado antes do número para indicar longa distância.","Comunicação de números de telefone, código de segurança ou endereço; fornecimento de número de telefone com possibilidade de erro ou necessidade de clareza","7 P.M. — MY HOUSE — COME — CAN YOU — Q ; AREA CODE — 555 — 1234 ; 1212 -> 1, 2, 1, 2 ou 12, 12 ; PHONE ME WHEN YOU ARRIVE -> THANKS — ARRIVE YOU — PHONE ME",ASLFD.SINTAXE.009 ; ASLFD.SINTAXE.027 ; ASLFD.SINTAXE.029,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.128; ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.129; ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.85
ASLFD.SINTAXE.10,sintaxe,Uso de parênteses em números,"É comum usar o sinal de parênteses (com o dedo indicador) antes de sinalizar um código de área, para tornar a informação mais clara. Isso ajuda a estruturar a leitura de números complexos.",Sinalização de número de telefone com código de área,PARENTHESIS — 555 — 1234,ASLFD.SINTAXE.010,,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático) p.85
