text,gloss
I need to check your blood test. ,I NEED CHECK BLOOD TEST. ,NEED CHECK BLOOD TEST.
Are you having a heart attack?,HEART ATTACK? ,HAVE HEART ATTACK? 
Can you breathe? ,YOU BREATHE? ,CAN BREATHE? 
Your blood test is ready now. ,YOUR BLOOD TEST READY NOW. ,NOW BLOOD TEST READY.
Do you have any medication allergies? ,ALLERGIC ANY MEDICINE? ,HAVE ALLERGIC ANY MEDICINE? 
that is an area we need to look at .,THAT BE AREA X-WE NEED TO LOOK AT .
i would ask for your support .,X-I WOULD ASK FOR X-YOU SUPPORT .
let us act together .,LET X-WE ACT DESC-TOGER .
parliament decided to postpone the final vote,PARLIAMENT DECIDE TO POSTPONE DESC-FINAL VOTE\
what should we do to change this ?,WHAT SHOULD X-WE DO TO CHANGE THIS ?
i will do that .,X-I WILL DO THAT .
we see the situation in the world .,X-WE SEE SITUATION IN WORLD .
first of all choose democracy .,DESC-FIRST ALL CHOOSE DEMOCRACY 
that is why this issue is so important .,THAT BE WHY THIS ISSUE BE DESC-SO DESC-IMPORTANT 
the london bombings took place exactly five years ago .,LONDON BOMBING TAKE PLACE DESC-EXACTLY FIVE YEAR DESC-AGO .
and do you know what will happen with those proposals ?,AND DO X-YOU KNOW WHAT WILL HAPPEN WITH THOSE PROPOSAL ?
we are reducing production in europe .,X-WE BE REDUCE PRODUCTION IN EUROPE .
we have therefore signed the resolution .,X-WE HAVE DESC-REFORE SIGN RESOLUTION .
they should do anything that can be seen if they want people to believe in them .,X-Y SHOULD DO ANYTHING THAT CAN BE SEE IF X-Y WANT PEOPLE TO BELIEVE IN X-Y .
families living in small towns and inhabitants of villages are particularly affected by poverty .,FAMILY DESC-LIVE IN DESC-SMALL TOWN AND INHABITANT VILLAGE BE DESC-PARTICULARLY AFFECT BY POVERTY .
