pipeline,id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao,canal_extracao,canal_confirmado,divergencia,motivo_confirmacao
voice2sign,LIBRAS.PRONOMES.001,pronomes,Obrigatoriedade de apontação pré-nominal para leitura definida anafórica,A glosa deve conter uma apontação pré-nominal (IX) antes do nome para que este seja interpretado como definido em contexto anafórico. A ausência dessa apontação torna a glosa agramatical para essa interpretação.,"O nome ocorre em posição argumental e o contexto é anafórico (retomada de um referente já mencionado), exigindo interpretação definida.",true,"Exemplo (8) no texto (glosa não transcrita integralmente, mas a regra é derivada da exigência de IX pré-nominal para a retomada de MULHER)",Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,24,"Almeida-Silva (2019) propõe, então, que para um nome nu ser interpretado como um sintagma definido em Libras, ele deve estar acompanhado do role-shift, que é uma estratégia de demonstração da ação do referente na sentença ou de uma apontação pré-nominal com o indicador",voice2sign,voice2sign,,Basta verificar a presença da etiqueta IX antes do nome na sequência.
voice2sign,LIBRAS.PRONOMES.002,pronomes,Apontação pré-nominal como artigo definido,A glosa deve conter uma apontação (IX) pré-nominal (singular ou plural) para marcar o nome como definido. Essa apontação funciona como artigo definido.,O nome ocorre em posição argumental e deve ser interpretado como definido.,true,[IX.pl ALUNO OUVINTE] FALAR-ORAL,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,26,1. O artigo definido – apontação (IX) pré-nominal nas formas singular e plural,voice2sign,voice2sign,,A presença da etiqueta IX antes do nome é visível na glosa.
voice2sign,LIBRAS.PRONOMES.003,pronomes,Numeral 1 como artigo indefinido,A glosa deve conter o numeral 1 antes do nome para marcar o nome como indefinido. Esse numeral funciona como artigo indefinido.,O nome ocorre em posição argumental e deve ser interpretado como indefinido.,true,PRIMO TER [1 PRIMO] SURDO TAMBEM LÍNGUA-DE-SINAIS,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,29,2. O artigo indefinido – numeral 1.,voice2sign,voice2sign,,Basta verificar a presença do numeral 1 antes do nome na glosa.
voice2sign,LIBRAS.PRONOMES.004,pronomes,Posição do pronome interrogativo QU,"O pronome interrogativo (ex: QUEM, QU) pode aparecer na posição in situ (original) ou na posição final da sentença. A repetição do sinal na posição final indica foco de ênfase.","A frase em português é uma interrogativa com pronome interrogativo (QUEM, O QUE, etc.)",true,Quem gosta da Maria? -> [QUEM GOSTA MARIA] qu ; Quem gosta da Maria? -> [GOSTA MARIA QUEM] qu ; Quem ensina Língua Portuguesa? -> QUEM ENSINAR LÍNGUA PORTUGUESA,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,53,"Nesses exemplos, vemos que em (a) o ‘QUEM’ está na sua posição original, chamado de posição in situ. No exemplo que aparece na posição final, Quadros (1999) argumenta que é a posição de foco de ênfase",voice2sign,voice2sign,,A posição do sinal na sequência linear é verificável.
voice2sign,LIBRAS.PRONOMES.005,pronomes,Pronome pessoal final,"O pronome pessoal (IX) pode aparecer na posição final da sentença, após o verbo e os complementos.",O sujeito da frase é um pronome pessoal (IX) e a construção é atestada como gramatical (VOS).,true,Ele consegue pegar. -> IX (ele) CONSEGUIR PEGAR IX (ele) ; Eu vou na UFSC amanhã. -> IX (eu) IR AMANHÃ UFSC IX (eu),Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,66,"no entanto, realmente é possível haver sujeitos finais quando o sujeito é um pronome pessoal",voice2sign,voice2sign,,A ordem linear dos sinais na glosa permite verificar a posição final do pronome.
voice2sign,LIBRAS.PRONOMES.006,pronomes,Uso de IX para pronomes pessoais,"Pronomes pessoais (eu, ele, ela, nós, etc.) devem ser representados na glosa pela etiqueta IX seguida do referente entre parênteses (ex: IX (eu), IX (ela)).",A frase em português contém um pronome pessoal.,true,Se eu não tivesse ido... -> SE IX (eu) IR-NÃO... ; Ela me acompanhou... -> IX (ela) JUNTO ACOMPANHAR...,Gramática da Libras Vol.2 (INES) — Cap.8 Articulação de orações,211,SE IX (eu) IR-NÃO ASSOCIAÇÃO SURDO IX (eu HOJE IX (eu) O-QUE,voice2sign,voice2sign,,A presença da etiqueta IX e do referente entre parênteses é visível no texto.
voice2sign,LIBRAS.PRONOMES.007,pronomes,Uso de DEM para demonstrativos,"Pronomes ou adjetivos demonstrativos (esse, aquele, lá, etc.) devem ser representados na glosa pela etiqueta DEM seguida do referente ou direção entre parênteses (ex: DEM (esse), DEM (lá)).",A frase em português contém um demonstrativo.,true,Se o ouvinte for muito fluente... (contexto de demonstrativo) -> SE DEM (esse) OUVINTE FLUENTE...,Gramática da Libras Vol.2 (INES) — Cap.8 Articulação de orações,212,SE DEM (esse) OUVINTE FLUENTE CHIQUE O-MÁXIMO APAVORAR VER ENTENDER,voice2sign,voice2sign,,A regra exige a presença da etiqueta DEM na sequência linear.
voice2sign,LIBRAS.PRONOMES.008,pronomes,Uso de IX como marcador relativo,"O sinal de apontação IX pode ser utilizado na glosa para exercer o papel sintático de conectivo ou marcador relativo, associando a oração relativa ao referente.",A frase em português contém uma oração relativa restritiva e a glosa utiliza um sinal de apontação (IX) para articular as orações.,true,Foi a desenhar que um amigo surdo me ensinou... -> DESENHAR IX (ele) AMIGO SURDO ENSINAR DESENHAR POSITIVO LEGAL DESENHAR.,Gramática da Libras Vol.2 (INES) — Cap.8 Articulação de orações,252,"É possível observar nesta sentença uma construção relativa restritiva manual, em que IX (ele) parece exercer um papel sintático de conectivo... demonstrando que o apontamento IX pode ser utilizado como marcador relativo.",voice2sign,voice2sign,,A presença do sinal IX na sequência linear é verificável.
voice2sign,LIBRAS.SINTAXE.001,sintaxe,Ordem básica SVO em sentenças transitivas,"A ordem dos sinais na glosa deve seguir a sequência Sujeito-Verbo-Objeto (SVO). Outras ordens (SOV, OSV, VOS) são possíveis, mas são derivadas de operações sintáticas específicas e não representam a ordem subjacente básica.",A frase em português é uma sentença transitiva declarativa simples que possui sujeito e objeto realizados.,true,,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,32,"Assim, a ordem básica da frase em Libras é Sujeito-Verbo-Objeto, doravante SVO. Além da ordem básica SVO, outras ordens (SOV, OSV e VOS) também são possíveis em Libras, mas são resultantes de operações e contextos sintáticos específicos.",voice2sign,voice2sign,,A ordem linear dos sinais na glosa é diretamente verificável.
voice2sign,LIBRAS.SINTAXE.002,sintaxe,Ordem básica SVO em sentenças transitivas,"A ordem dos sinais na glosa deve seguir a sequência Sujeito-Verbo-Objeto (SVO). Esta é a ordem não marcada e a mais frequente (87% dos dados citados) para sentenças transitivas com argumentos realizados, independentemente do tipo de verbo (simples, com concordância ou reverso).","A frase em português é uma sentença transitiva declarativa com sujeito e objeto realizados, sem marcadores de ênfase ou topicalização específica que alterem a ordem.",true,O João gosta de futebol. -> IX JOÃO GOSTAR [FUTEBOL] ; Eu moro no bairro Bela Vista. -> IX (eu)S MORARV [BAIRRO FS(BELA-VISTA)] O ; Eu olhei uma pessoa sinalizando. -> IX (eu)1S 1VER3+V IX (ele) FLUENCIA-LIBRASO,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,33,As sentenças de (20) a (23) exemplificam construções bastante comuns em Libras e possuem a ordem Sujeito-Verbo-Objeto.,voice2sign,voice2sign,,A ordem linear dos sinais na glosa permite verificar a sequência SVO.
