id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
ASLFD.SINTAXE.001,sintaxe,Ordem flexível de sujeito e verbo em frases simples,"Em ASL, o sujeito pode aparecer antes ou depois do verbo em frases simples, sem alterar o significado. Isso permite variações naturais na estrutura da frase, dependendo do foco ou do contexto.","frase simples com sujeito e verbo, sem objetos diretos ou indiretos",True,HE RAN → RAN HIM ; SHE FELL → FELL HER,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),37,"Unlike English grammar rules, which dictate that the subject must go before the verb, Sign allows you to put the subject before or after the verb when dealing with simple sentences; it doesn’t matter which word comes first."
ASLFD.SINTAXE.002,sintaxe,Objeto direto pode vir antes do sujeito ou depois do verbo,"O objeto direto em ASL pode ser posicionado antes do sujeito ou após o verbo, dependendo do foco da mensagem. A ordem natural em inglês é mantida apenas quando há risco de ambiguidade.","frase com sujeito, verbo e objeto direto, especialmente quando a mudança de ordem não causa ambiguidade",True,HE SELLS FOOD → FOOD HE SELLS ; ME EAT PIZZA → PIZZA ME EAT,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),38,"In ASL, the direct object can go either before the subject or after the verb."
ASLFD.SINTAXE.003,sintaxe,Objeto indireto posicionado após o sujeito,"Em frases com objeto indireto, o objeto indireto é colocado imediatamente após o sujeito, seguido pelo verbo e pelo objeto direto, formando a sequência sujeito-objeto indireto-objeto direto-verb.","frase com sujeito, verbo, objeto indireto e objeto direto",True,DOG BONE — GIRL — THROW ; ME TEACHER — APPLE GAVE,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),40,You place the indirect object right after the subject and then show the action.
ASLFD.TEMPO-ASPECTO.001,tempo-aspecto,Indicação de passado com 'finish' no início da frase,"Para indicar que uma ação já ocorreu no passado, o sinal 'FINISH' é usado no início da frase, com movimento no nível do peito ou acima, dependendo da intensidade. O sinal é acompanhado pela pronúncia de 'fish' (versão abreviada de 'finish').",frase que descreve uma ação concluída no passado,True,FINISH HE GO — WILL,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),34,"To place everything you sign into past tense, you sign finish at chest level or higher, depending on the level of intensity, at either the beginning or end of the sentence (most signers do it at the beginning for clarity), while saying the word fish, a shortened version of finish."
ASLFD.TEMPO-ASPECTO.002,tempo-aspecto,Indicação de futuro com 'will' no final da frase,"Para indicar futuro, o sinal 'WILL' é colocado no final da frase. A distância do corpo ao qual o sinal é feito indica o grau de proximidade ou distância no tempo: quanto mais longe, mais distante no futuro.",frase que descreve uma ação futura planejada,True,HE GO — WILL ; MY HOUSE — M-I-K-E — WALK — WILL,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),34,"You indicate future tense by signing and saying will at the end of a sentence. The farther you sign the word will from the front of your body, the farther into the future you go."
ASLFD.TEMPO-ASPECTO.003,tempo-aspecto,Indicação de ação não iniciada ou incompleta com 'not yet',"Para indicar que uma ação ainda não começou ou não foi concluída, o sinal 'NOT YET' é usado no final da frase, com movimento de cabeça ligeiro de lado a lado, como um 'não'. Não se pronuncia 'not yet', apenas se sinaliza.",frase que expressa que uma ação ainda não ocorreu ou não foi concluída,False,ME EAT — NOT YET,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),35,"To show that you’re not yet finished with or you haven’t even started a task, sign the unaccomplished deed and then sign not yet while shaking your head slightly from side to side, as if saying no, though you don’t pronounce not yet, though; you simply sign it."
ASLFD.MORFOLOGIA.001,morfologia,Adjetivos e advérbios geralmente seguem o termo que modificam,"Em ASL, adjetivos e advérbios são normalmente colocados após o substantivo ou verbo que modificam, diferentemente do inglês, onde podem vir antes ou depois.",frase com adjetivo ou advérbio que modifica um substantivo ou verbo,True,SMALL PLANES — FLY — LIKE ME ; PRETTY GIRL ; BAD MOVIE,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),32,"In Sign, you typically place the adjective or adverb — the modifier — after the word it modifies."
ASLFD.EXPRESSOES-IDIOMATICAS.001,expressoes-idiomaticas,OH/I SEE WHAT,"Expressão usada como exclamação única para indicar surpresa, compreensão repentina ou incredulidade. É formada pela datilologia 'W-T' (What?) e usada apenas como uma palavra isolada.","situação de surpresa, compreensão súbita ou dúvida",True,WHAT:,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),45,OH/I SEE WHAT: This exclamation is fingerspelled simply as W-T; it’s only used as a one-word exclamation (as “What?!”).
ASLFD.EXPRESSOES-IDIOMATICAS.002,expressoes-idiomaticas,FINISH como 'enough already' ou 'stop that',"O sinal 'FINISH' pode ser usado como exclamação para indicar 'basta já' ou 'pare com isso', especialmente com expressão facial de impaciência ou repreensão. É feito com uma mão e acompanhado pela pronúncia de 'fish'.","situação de frustração, impaciência ou repreensão",False,FINISH,ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),45,"Although finish is used at the beginning of a sentence to show past tense (see the section “Talking Tenses” earlier in this chapter), it’s also used as humor in Sign to indicate “enough already” and as a reprimand meaning “stop that.”"
ASLFD.MORFOLOGIA.002,morfologia,Adjetivos e advérbios expressos por expressões faciais,"Em vez de sinalizar adjetivos ou advérbios como 'small', 'big', 'very', 'loudly', o significado pode ser transmitido por expressões faciais e gestos corporais, como puxar os lábios, franzir as sobrancelhas ou mudar a forma da boca.","descrição de tamanho, intensidade, velocidade ou emoção",False,"PRETTY GIRL: Raise eyebrows, form mouth into an “o” shape ; BAD MOVIE: Turn mouth down in a frown and scrunch eyebrows ; GOOD DOG: Slightly smile and raise eyebrows ; RUN VERY FAST: Scrunch eyebrows and clench jaw",ASL for Dummies — Caps. 1-13 (gramática + vocabulário temático),32,"Your facial expressions can describe things and actions in ASL. For instance, if something is small or big, you can show its size without actually signing small or big."
