id,text,gloss,gloss_review,gloss_judge
3,I need to check your blood test.,I NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,
4,"I need to check your glucose test, please.","I NEED CHECK GLUCOSE TEST, PLEASE.","NEED CHECK GLUCOSE TEST, PLEASE.",
6,Are you having a heart attack?,HEART ATTACK?,HAVE HEART ATTACK?,
7,Can you breathe?,YOU BREATHE?,CAN BREATHE?,
8,Your blood test is ready now.,YOUR BLOOD TEST READY NOW.,NOW BLOOD TEST READY.,
9,How long have you had chest pain?,"CHEST PAIN, HOW-LONG TIME?","CHEST PAIN, HOW LONG TIME?",
10,Do you have any medication allergies?,ALLERGIC ANY MEDICINE?,HAVE ALLERGIC ANY MEDICINE?,
11,What medicine are you taking?,TAKE WHAT MEDICINE?,USE MEDICINE WHAT?,
12,The doctor needs to examine your pneumonia.,DOCTOR NEED EXAMINE YOUR PNEUMONIA.,DOCTOR NEED EXAMINE PNEUMONIA.,
13,Do you feel numbness in your left arm?,YOUR LEFT ARM NUMB?,FEEL LEFT ARM NUMBNESS?,
14,Do you feel numbness in your right arm?,YOUR RIGHT ARM NUMB?,FEEL RIGHT ARM NUMBNESS?,
15,The doctor needs to check your gestational diabetes.,DOCTOR NEED CHECK YOUR GESTATIONAL DIABETES.,DOCTOR NEED CHECK GESTATIONAL DIABETES.,
16,I feel very weak today.,TODAY VERY WEAK,TODAY FEEL VERY WEAK,
17,I need a laboratory test.,LAB TEST NEED,LABORATORY TEST NEED,
18,Cannot you breathe well?,BREATHING DIFFICULT?,BREATHE DIFFICULT?,
19,Can you explain the result?,RESULT EXPLAIN?,CAN RESULT EXPLAIN?,
20,Can I return next week?,NEXT WEEK RETURN?,CAN NEXT WEEK RETURN?,
22,Do you feel a cold and chills?,FEEL COLD BODY-SHAKE?,FEEL COLD BODY SHAKE?,
23,I have high blood pressure.,HIGH BLOOD-PRESSURE,HIGH BLOOD PRESSURE,
24,The patient needs oxygen therapy.,PATIENT OXYGEN-THERAPY NEED,PATIENT OXYGEN THERAPY NEED,
25,I need a heart monitor.,HEART-MONITOR NEED,HEART MONITOR NEED,
26,I feel mentally confused.,FEEL CONFUSED,FEEL MENTAL CONFUSED,
28,I need protective equipment.,PROTECTIVE-EQUIPMENT NEED,PROTECTIVE EQUIPMENT NEED,
29,I need a blood test now.,NOW BLOOD-TEST NEED,NOW BLOOD TEST NEED,
31,The patient lost consciousness.,PATIENT PASS-OUT,PATIENT PASS_OUT,
32,How long will I stay here?,STAY HERE HOW-LONG?,STAY HERE HOW LONG?,
33,Thank you for your help.,THANK-YOU HELP,THANK_YOU HELP,
34,Please write it down.,PLEASE WRITE-DOWN,PLEASE WRITE_DOWN,
35,I understand. Thank you.,"UNDERSTAND, THANK-YOU","UNDERSTAND, THANK_YOU",
36,No problem,NO PROBLEM,NO_PROBLEM,
37,"I'm fine, thanks",I FINE THANKS,FINE THANKS,
38,I'm sorry,I'M SORRY,SORRY,
39,What are you doing?,WHAT YOU DO?,WHAT DO?,
40,I don't understand,NOT UNDERSTAND,NOT_UNDERSTAND,
41,How much is this?,HOW IS THIS?,HOW_MUCH THIS?,
42,I like this,I LIKE THIS,LIKE THIS,
43,Just a second,2 SEC,2 SECOND,
44,See you soon,SEE YOU SOON,SEE SOON,
