n,arquivo,topico,nivel_outline,pagina_ini,pagina_fim,n_paginas,n_topicos,parte,tokens,topicos_todos,incluir,motivo_exclusao
1,001_7-sintaxe-da-libras.txt,7. Sintaxe da libras,1,18,18,1,1,,419,7. Sintaxe da libras,1,
2,002_7-1-1-distincao-nome-vs-verbo-na-libras.txt,7.1.1 Distinção nome vs. verbo na Libras,2,19,22,4,1,1/2,1813,7.1.1 Distinção nome vs. verbo na Libras,1,
3,003_7-1-1-distincao-nome-vs-verbo-na-libras.txt,7.1.1 Distinção nome vs. verbo na Libras,2,23,23,1,1,2/2,414,7.1.1 Distinção nome vs. verbo na Libras,1,
4,004_7-1-2-nomes-nus.txt,7.1.2 Nomes Nus,2,24,29,6,2,,1790,7.1.2 Nomes Nus | 7.1.3 Nomes acompanhados de determinantes (artigos),1,
5,005_7-2-ordem-dos-constituintes-nas-sentencas-na.txt,7.2 Ordem dos constituintes nas sentenças na Libras,1,30,32,3,1,,1614,7.2 Ordem dos constituintes nas sentenças na Libras,1,
6,006_7-2-1-a-ordem-basica-svo.txt,7.2.1 A ordem básica SVO,2,33,38,6,1,1/2,1888,7.2.1 A ordem básica SVO,1,
7,007_7-2-1-a-ordem-basica-svo.txt,7.2.1 A ordem básica SVO,2,39,41,3,1,2/2,993,7.2.1 A ordem básica SVO,1,
8,008_7-2-2-diferentes-ordenacoes-na-libras-intera.txt,"7.2.2 Diferentes ordenações na Libras (interação dos tipos de verbos, tipos de e",2,42,45,4,1,1/2,1936,"7.2.2 Diferentes ordenações na Libras (interação dos tipos de verbos, tipos de e",1,
9,009_7-2-2-diferentes-ordenacoes-na-libras-intera.txt,"7.2.2 Diferentes ordenações na Libras (interação dos tipos de verbos, tipos de e",2,46,51,6,1,2/2,1841,"7.2.2 Diferentes ordenações na Libras (interação dos tipos de verbos, tipos de e",1,
10,010_7-2-4-as-interrogativas-qu.txt,7.2.4 As interrogativas QU,-1,52,59,8,5,,1701,"7.2.4 As interrogativas QU | 7.2.4 As interrogativas QU | 7.2.5 As interrogativas polares (Quadros, 1999) | 7.2.5 As interrogativas polares (Quadros, 1999) | 7.2.6 Construções QU em orações subordinadas",1,
11,011_7-2-7-construcoes-negativas.txt,7.2.7 Construções negativas,-1,60,66,7,3,,1789,7.2.7 Construções negativas | 7.2.7 Construções negativas | 7.2.8 Pronome final,1,
12,012_7-2-8-pronome-final.txt,7.2.8 Pronome final,2,67,68,2,2,,1193,7.2.8 Pronome final | 7.3 Estrutura informacional e construções de topicalização e focalização,1,
13,013_7-3-1-construcoes-topicalizadas.txt,7.3.1 Construções topicalizadas,2,69,74,6,1,1/2,1538,7.3.1 Construções topicalizadas,1,
14,014_7-3-1-construcoes-topicalizadas.txt,7.3.1 Construções topicalizadas,2,75,76,2,1,2/2,1047,7.3.1 Construções topicalizadas,1,
15,015_7-3-2-construcoes-focalizadas.txt,7.3.2 Construções focalizadas,2,77,83,7,1,1/2,1911,7.3.2 Construções focalizadas,1,
16,016_7-3-2-construcoes-focalizadas.txt,7.3.2 Construções focalizadas,2,84,86,3,1,2/2,1390,7.3.2 Construções focalizadas,1,
17,017_7-4-construcoes-copulativas.txt,7.4 Construções copulativas,1,87,95,9,1,,1599,7.4 Construções copulativas,1,
