id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
LIVRO.PRONOMES.001,pronomes,Apontação pré-nominal como artigo definido,"A glosa deve conter uma apontação (IX) pré-nominal (singular ou plural) antes do nome para que este seja interpretado como definido. Essa apontação funciona como artigo definido. A ausência dessa apontação torna a glosa agramatical para essa interpretação, especialmente em contextos anafóricos (retomada de um referente já mencionado).","O nome ocorre em posição argumental e deve ser interpretado como definido, seja por contexto anafórico (retomada) ou por especificidade.","Exemplo (8) no texto (glosa não transcrita integralmente, mas a regra é derivada da exigência de IX pré-nominal para a retomada de MULHER) ; [IX.pl ALUNO OUVINTE] FALAR-ORAL",LIBRAS.PRONOMES.001 ; LIBRAS.PRONOMES.002,"Ambas as candidatas descrevem o uso da apontação pré-nominal (IX) para marcar a definitude do nome, sendo a primeira um caso específico (anafórico) da segunda (geral).","Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.PRONOMES.002,pronomes,Numeral 1 como artigo indefinido,A glosa deve conter o numeral 1 antes do nome para marcar o nome como indefinido. Esse numeral funciona como artigo indefinido.,O nome ocorre em posição argumental e deve ser interpretado como indefinido.,PRIMO TER [1 PRIMO] SURDO TAMBEM LÍNGUA-DE-SINAIS,LIBRAS.PRONOMES.003,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.PRONOMES.003,pronomes,Posição do pronome interrogativo QU,"O pronome interrogativo (ex: QUEM, QU) pode aparecer na posição in situ (original) ou na posição final da sentença. A repetição do sinal na posição final indica foco de ênfase.","A frase em português é uma interrogativa com pronome interrogativo (QUEM, O QUE, etc.)",Quem gosta da Maria? -> [QUEM GOSTA MARIA] qu ; Quem gosta da Maria? -> [GOSTA MARIA QUEM] qu ; Quem ensina Língua Portuguesa? -> QUEM ENSINAR LÍNGUA PORTUGUESA,LIBRAS.PRONOMES.004,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.PRONOMES.004,pronomes,Pronome pessoal final,"O pronome pessoal (IX) pode aparecer na posição final da sentença, após o verbo e os complementos.",O sujeito da frase é um pronome pessoal (IX) e a construção é atestada como gramatical (VOS).,Ele consegue pegar. -> IX (ele) CONSEGUIR PEGAR IX (ele) ; Eu vou na UFSC amanhã. -> IX (eu) IR AMANHÃ UFSC IX (eu),LIBRAS.PRONOMES.005,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.PRONOMES.005,pronomes,Uso de IX para pronomes pessoais,"Pronomes pessoais (eu, ele, ela, nós, etc.) devem ser representados na glosa pela etiqueta IX seguida do referente entre parênteses (ex: IX (eu), IX (ela)).",A frase em português contém um pronome pessoal.,Se eu não tivesse ido... -> SE IX (eu) IR-NÃO... ; Ela me acompanhou... -> IX (ela) JUNTO ACOMPANHAR...,LIBRAS.PRONOMES.006,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.PRONOMES.006,pronomes,Uso de DEM para demonstrativos,"Pronomes ou adjetivos demonstrativos (esse, aquele, lá, etc.) devem ser representados na glosa pela etiqueta DEM seguida do referente ou direção entre parênteses (ex: DEM (esse), DEM (lá)).",A frase em português contém um demonstrativo.,Se o ouvinte for muito fluente... (contexto de demonstrativo) -> SE DEM (esse) OUVINTE FLUENTE...,LIBRAS.PRONOMES.007,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.PRONOMES.007,pronomes,Uso de IX como marcador relativo,"O sinal de apontação IX pode ser utilizado na glosa para exercer o papel sintático de conectivo ou marcador relativo, associando a oração relativa ao referente.",A frase em português contém uma oração relativa restritiva e a glosa utiliza um sinal de apontação (IX) para articular as orações.,Foi a desenhar que um amigo surdo me ensinou... -> DESENHAR IX (ele) AMIGO SURDO ENSINAR DESENHAR POSITIVO LEGAL DESENHAR.,LIBRAS.PRONOMES.008,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.SINTAXE.003,sintaxe,Ordem básica SVO em sentenças transitivas,"A ordem dos sinais na glosa deve seguir a sequência Sujeito-Verbo-Objeto (SVO). Esta é a ordem não marcada e a mais frequente (87% dos dados citados) para sentenças transitivas com argumentos realizados, independentemente do tipo de verbo (simples, com concordância ou reverso). Outras ordens (SOV, OSV, VOS) são possíveis, mas são derivadas de operações sintáticas específicas e não representam a ordem subjacente básica.","A frase em português é uma sentença transitiva declarativa simples que possui sujeito e objeto realizados, sem marcadores de ênfase ou topicalização específica que alterem a ordem.",O João gosta de futebol. -> IX JOÃO GOSTAR [FUTEBOL] ; Eu moro no bairro Bela Vista. -> IX (eu)S MORARV [BAIRRO FS(BELA-VISTA)] O ; Eu olhei uma pessoa sinalizando. -> IX (eu)1S 1VER3+V IX (ele) FLUENCIA-LIBRASO,LIBRAS.SINTAXE.001 ; LIBRAS.SINTAXE.002,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.SINTAXE.004,sintaxe,Posição do advérbio entre sujeito e verbo,"Quando a frase contém um advérbio (como 'realmente' ou 'então' em função adverbial), este pode aparecer na glosa posicionado entre o sujeito e o verbo, mantendo a estrutura geral SVO.",A frase em português contém um advérbio que modifica o verbo e está posicionado antes do verbo na estrutura sintática.,"Então, eu realmente nasci surda. -> ENTÃO IX (eu)S VERDADE NASCERV SURDOO",LIBRAS.SINTAXE.003,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
LIVRO.SINTAXE.005,sintaxe,Omissão de argumentos nulos com verbos de concordância,"A glosa pode omitir o argumento (sujeito ou objeto) quando o verbo é marcado com concordância, pois a marcação morfológica do verbo licencia a recuperação do argumento nulo. Em verbos com concordância, os argumentos (sujeito, objeto) podem ser omitidos na glosa (argumentos nulos) se a informação for recuperável pela marcação morfológica do verbo.","A frase contém um verbo com concordância (pessoal ou espacial) e o argumento correspondente é omitido na glosa, ou os pronomes/apontações correspondentes ao sujeito ou objeto estão ausentes.",Ele fala para mim -> IX (ele)S eleFALAReuV (objeto 'mim' incorporado/implícito no sufixo -eu) ; (Ela) ajuda (a mim) -> 3AJUDAR1V,LIBRAS.SINTAXE.004 ; LIBRAS.SINTAXE.011,,"Gramática da Libras — Parte 2 (Vol.2 Cap.7-8, sintaxe)"
