id,text,gloss
75,macro financial aid for moldova vote,MACRO DESC-FINANCIAL AID FOR MOLDOVA VOTE
426,report james elles,REPORT JAME ELLE
868,seventh human rights council of the united nations vote,DESC-SEVENTH DESC-HUMAN RIGHTS COUNCIL UNITE NATION VOTE
959,european satellite radionavigation programmes egnos and gallileo,EUROPEAN SATELLITE RADIONAVIGATION PROGRAM EGNO AND GALLILEO
1521,"therefore , I ask you quite particularly to reject , tomorrow , any amendments that have been submitted .","DESC-REFORE , X-I ASK X-YOU DESC-QUITE DESC-PARTICULARLY TO REJECT , TOMORROW , ANY AMENDMENT THAT HAVE BE SUBMIT ."
2570,"ladies and gentlemen , 2015 is not far away only six years stand between us .","LADY AND GENTLEMAN , 2015 BE DESC-NOT DESC-FAR DESC-AWAY DESC-ONLY SIX YEAR STAND BETWEEN X-WE ."
2775,for these reasons I voted against this proposal .,FOR SE REASON X-I VOTE AGAINST THIS PROPOSAL .
3296,subject terrorist threats,SUBJECT DESC-TERRORIST THREAT
3496,"it will improve people's ability to strip paint safely without being exposed to dangerous , carcinogenic chemicals .","X-IT WILL IMPROVE PEOPLE X-POSS ABILITY TO STRIP PAINT DESC-SAFELY WITHOUT BE EXPOSE TO DESC-DANGEROUS , DESC-CARCINOGENIC CHEMICAL ."
3923,"happily , the polls indicate ayesmajority .","DESC-HAPPILY , POLL INDICATE AYESMAJORITY ."
4183,i disagree with this aspect of this report .,X-I DISAGREE WITH THIS ASPECT THIS REPORT .
4225,"last but not least , syed kamall !","DESC-LAST BUT DESC-NOT DESC-LEAST , SYE KAMALL !"
5713,that is an area we need to look at .,THAT BE AREA X-WE NEED TO LOOK AT .
6024,this question should also be addressed to the council and the commission .,THIS QUESTION SHOULD DESC-ALSO BE ADDRESS TO COUNCIL AND COMMISSION .
6193,we request the commission's assistance in this matter .,X-WE REQUEST COMMISSION X-POSS ASSISTANCE IN THIS MATTER .
7349,i urge the european parliament to act responsibly and quickly in order to protect the remaining wilderness .,X-I URGE EUROPEAN PARLIAMENT TO ACT DESC-RESPONSIBLY AND DESC-QUICKLY IN ORDER TO PROTECT REMAIN WILDERNESS .
7610,this is how they fall prey to dangerous temptations .,THIS BE HOW X-Y FALL PREY TO DESC-DANGEROUS TEMPTATION .
8345,we hope for protection of rights for groups that is our goal .,X-WE HOPE FOR PROTECTION RIGHTS FOR GROUP THAT BE X-WE GOAL .
8411,"this does not conform to the european union , its principles or its values .","THIS DO DESC-NOT CONFORM TO EUROPEAN UNION , X-ITS PRINCIPLE OR X-ITS VALUE ."
8694,"it does have the effect slightly of trapping heat around the world , but how ?","X-IT DO HAVE EFFECT DESC-SLIGHTLY TRAP HEAT AROUND WORLD , BUT HOW ?"
9091,"climate change calls for us to take a step forward in development , not a step back .","CLIMATE CHANGE CALL FOR X-WE TO TAKE STEP DESC-FORWARD IN DEVELOPMENT , DESC-NOT STEP DESC-BACK ."
9136,the celebrations and salutations surrounding president obama are making people delude themselves about the policy of imperialism .,CELEBRATION AND SALUTATION SURROUND PRESIDENT OBAMA BE MAKE PEOPLE DELUDE X-MSELVES ABOUT POLICY IMPERIALISM .
9325,"however , in the given circumstances , what is important is that the european union successfully completes the mission .","DESC-HOWEVER , IN GIVE CIRCUMSTANCE , WHAT BE DESC-IMPORTANT BE THAT EUROPEAN UNION DESC-SUCCESSFULLY DESC-COMPLETE MISSION ."
9378,there are now several member states which already use this instrument .,DESC-RE BE DESC-NOW DESC-SEVERAL MEMBER STATE WHICH DESC-ALREADY USE THIS INSTRUMENT .
10342,we call on both sides of the conflict to minimise civilian losses and to commence peace negotiations .,X-WE CALL ON BOTH SIDE CONFLICT TO MINIMIZE DESC-CIVILIAN LOSS AND TO COMMENCE PEACE NEGOTIATION .
10348,aid agencies must be given unrestricted access to the civilian population in a cease fire to be agreed .,AID AGENCY MUST BE GIVE DESC-UNRESTRICTED ACCESS TO DESC-CIVILIAN POPULATION IN CEASE FIRE TO BE AGREE .
10478,we were all horrified by the violent power of this natural disaster and its horrendous consequences .,X-WE BE ALL HORRIFY BY DESC-VIOLENT POWER THIS DESC-NATURAL DISASTER AND X-ITS DESC-HORRENDOUS CONSEQUENCE .
11246,parliament should not encourage any type of confrontation with the democratic institutions in venezuela .,PARLIAMENT SHOULD DESC-NOT ENCOURAGE ANY TYPE CONFRONTATION WITH DESC-DEMOCRATIC INSTITUTION IN VENEZUELUM .
11415,i will briefly point out some of the contributions that the report makes .,X-I WILL BRIEFLY POINT OUT SOME CONTRIBUTION THAT REPORT MAKE .
11935,i was therefore very pleased to support this report .,X-I BE DESC-REFORE DESC-VERY DESC-PLEASED TO SUPPORT THIS REPORT .
12176,i am firmly in favour of strengthening the esdp .,X-I BE DESC-FIRMLY IN FAVOR STRENGN ESDP .
12300,i would ask for your support .,X-I WOULD ASK FOR X-YOU SUPPORT .
12696,smes account for more than 90 % of the eu economy and two thirds of its jobs .,SME ACCOUNT FOR MORE THAN 90 % EU ECONOMY AND TWO DESC-THIRD X-ITS JOB .
13258,we have to be very bold in defending broad access and transparency to all documents .,X-WE HAVE TO BE DESC-VERY DESC-BOLD IN DEFEND DESC-BROAD ACCESS AND TRANSPARENCY TO ALL DOCUMENT .
13416,"and as far as these areas are concerned , I am fundamentally opposed to a free market .","AND AS DESC-FAR AS SE AREA BE CONCERN , X-I BE DESC-FUNDAMENTALLY OPPOSE TO DESC-FREE MARKET ."
13454,"we often talk about better regulation , but what we really need is proportionality .","X-WE DESC-OFTEN TALK ABOUT DESC-BETTER REGULATION , BUT WHAT X-WE DESC-REALLY NEED BE PROPORTIONALITY ."
13967,we must explain to them how this initiative came about .,X-WE MUST EXPLAIN TO X-Y HOW THIS INITIATIVE COME ABOUT .
14391,"in my view , therefore , anything connected with data collection and statistics is especially important .","IN X-MY VIEW , DESC-REFORE , ANYTHING CONNECT WITH DATUM COLLECTION AND STATISTICS BE DESC-ESPECIALLY DESC-IMPORTANT ."
14612,i want to call that into question .,X-I WANT TO CALL THAT INTO QUESTION .
14641,this is precisely what is needed to recover from a recession .,THIS BE DESC-PRECISELY WHAT BE NEED TO RECOVER FROM RECESSION .
14682,let us act together .,LET X-WE ACT DESC-TOGER .
15034,its costs have an effect on the price of all the products we consume .,X-ITS COST HAVE EFFECT ON PRICE ALL PRODUCT X-WE CONSUME .
15880,"however , the problem is vast .","DESC-HOWEVER , PROBLEM BE DESC-VAST ."
16381,i consider the tibetan people's claims to be legitimate and to a certain extent logical .,X-I CONSIDER TIBETAN PEOPLE X-POSS CLAIM TO BE DESC-LEGITIMATE AND TO DESC-CERTAIN EXTENT DESC-LOGICAL .
16503,that is an eventual aim that I support .,THAT BE DESC-EVENTUAL AIM THAT X-I SUPPORT .
16848,"the events we are talking about did not take place in some dark , distant past .","EVENT X-WE BE TALK ABOUT DO DESC-NOT TAKE PLACE IN SOME DARK , DESC-DISTANT PAST ."
18151,"furthermore , nowhere does this report even mention the issue of illegal immigration .","DESC-FURRMORE , DESC-NOWHERE DO THIS REPORT DESC-EVEN MENTION ISSUE DESC-ILLEGAL IMMIGRATION ."
18309,for this reason it is exploited by some groups in support of abortion .,FOR THIS REASON X-IT BE EXPLOIT BY SOME GROUP IN SUPPORT ABORTION .
18321,that is not a matter for the eu .,THAT BE DESC-NOT MATTER FOR EU .
18746,"however , this means that these things must be included in the next report at the latest .","DESC-HOWEVER , THIS MEAN THAT SE THING MUST BE INCLUDE IN NEXT REPORT AT DESC-LATEST ."
20052,"last november's us presidential election generated an unprecedented degree of enthusiasm , expectation and interest here in europe .","DESC-LAST NOVEMBER X-POSS X-WE DESC-PRESIDENTIAL ELECTION GENERATE DESC-UNPRECEDENTED DEGREE ENTHUSIASM , EXPECTATION AND INTEREST DESC-HERE IN EUROPE ."
20053,this is because the choice of us president matters to europeans .,THIS BE BECAUSE CHOICE X-WE PRESIDENT MATTER TO EUROPEAN .
20399,only through enhanced commitment will we be able to influence positive developments and improvement of the human rights situation .,DESC-ONLY THROUGH ENHANCE COMMITMENT WILL X-WE BE DESC-ABLE TO INFLUENCE DESC-POSITIVE DEVELOPMENT AND IMPROVEMENT DESC-HUMAN RIGHTS SITUATION .
20750,this right is recognised by article ii 71 of the treaty establishing a constitution for europe .,THIS DESC-RIGHT BE RECOGNIZE BY ARTICLE IUS 71 TREATY ESTABLISH CONSTITUTION FOR EUROPE .
20946,an obvious starting point must be damages actions on the basis of a breach of antitrust rules .,DESC-OBVIOUS START POINT MUST BE DAMAGES ACTION ON BASIS BREACH DESC-ANTITRUST RULE .
20989,families living in small towns and inhabitants of villages are particularly affected by poverty .,FAMILY DESC-LIVE IN DESC-SMALL TOWN AND INHABITANT VILLAGE BE DESC-PARTICULARLY AFFECT BY POVERTY .
21194,parliament decided to postpone the final vote,PARLIAMENT DECIDE TO POSTPONE DESC-FINAL VOTE
21339,"unfortunately , the text adopted in committee contains proposals that are incompatible with the social market economy .","DESC-UNFORTUNATELY , TEXT ADOPT IN COMMITTEE CONTAIN PROPOSAL THAT BE DESC-INCOMPATIBLE WITH DESC-SOCIAL MARKET ECONOMY ."
21437,"when we speak of regional identity in the european union , it goes without saying that we invoke culture .","WHEN X-WE SPEAK DESC-REGIONAL IDENTITY IN EUROPEAN UNION , X-IT GO WITHOUT SAY THAT X-WE INVOKE CULTURE ."
21663,this is very important in the case of such an important neighbour of the european union .,THIS BE DESC-VERY DESC-IMPORTANT IN CASE DESC-SUCH DESC-IMPORTANT NEIGHBOR EUROPEAN UNION .
22453,"secondly , the independent scientific studies to date do not justify amending the scientific basis for these exposure limits .","DESC-SECONDLY , DESC-INDEPENDENT DESC-SCIENTIFIC STUDY TO DATE DO DESC-NOT JUSTIFY AMEND DESC-SCIENTIFIC BASIS FOR SE EXPOSURE LIMIT ."
23438,"lastly , 2007 was the year of the last discharge vote before the european parliament elections .","DESC-LASTLY , 2007 BE YEAR DESC-LAST DISCHARGE VOTE BEFORE EUROPEAN PARLIAMENT ELECTION ."
25225,patientsrights in cross border healthcare debate,PATIENTSRIGHT IN CROSS BORDER HEALTHCARE DEBATE
26084,he called emphatically on the moldovan authorities and on the opposition to enter into political dialogue .,X-HE CALL DESC-EMPHATICALLY ON MOLDOVAN AUTHORITY AND ON OPPOSITION TO ENTER INTO DESC-POLITICAL DIALOGUE .
26093,"according to a commission spokesman , no signs of fraud were discovered during the recount .","ACCORD TO COMMISSION SPOKESMAN , NO SIGN FRAUD BE DISCOVER DURING RECOUNT ."
26387,"international human rights treaties are of no use whatsoever if countries do not sign , ratify and implement .","DESC-INTERNATIONAL DESC-HUMAN RIGHTS TREATY BE NO USE DESC-WHATSOEVER IF COUNTRY DO DESC-NOT SIGN , RATIFY AND IMPLEMENT ."
27482,the council wants to keep both the opt out and the yearly calculation of working time .,COUNCIL WANT TO KEEP BOTH OPT OUT AND DESC-YEARLY CALCULATION WORK TIME .
