id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_pagina,fonte_citacao,status,regra_base_correspondente,justificativa
MP.ERR.E1,notacao,Correção de mojibake/encoding,"Corrige caracteres corrompidos usando o texto em inglês como referência; se irrecuperável, mantém o melhor palpite.",quando há caractere corrompido/garbled na glosa,True,Ha?kmark -> HOKMARK ; Sa`NCHEZ -> SANCHEZ,0,main_pipeline/01_errors.yaml E1,nao_temos,,"A regra extraída trata de corrupção de caracteres (mojibake/encoding) e sua correção usando texto em inglês, um problema técnico de notação que não é abordado em nenhuma das regras da base, que se concentram em fenômenos gramaticais morfológicos, pronominais e verbais."
MP.ERR.E2,notacao,Remoção de prefixos indevidos,"A convenção não usa prefixo; remove DESC-, X-, G-.",quando um sinal tem prefixo DESC-/X-/G-,True,DESC-FINANCIAL -> FINANCIAL ; X-I -> I,0,main_pipeline/01_errors.yaml E2,nao_temos,,"A base de regras não contém nenhuma regra que trate de convenções de notação ou remoção de prefixos como DESC-, X- ou G-. O fenômeno gramatical abordado (convenções de notação) não é coberto por nenhuma das regras existentes."
MP.ERR.E3,notacao,Correção de typo/token truncado,Corrige typo ou token truncado pelo sentido da frase em inglês.,quando há typo ou token truncado,True,gyneclogist -> GYNECOLOGIST ; nerlands -> NETHERLANDS,0,main_pipeline/01_errors.yaml E3,nao_temos,,"A regra extraída trata de correção de erros de digitação ou tokens truncados com base no sentido da frase em inglês, enquanto a base de regras da consultoria aborda fenômenos gramaticais estruturais da ASL (como derivação, concordância, pronomes) e não questões de notação ou erros textuais."
MP.ERR.E4,lexico,Expansão de abreviação,Expande abreviações para a forma plena.,quando há abreviação,True,LAB -> LABORATORY ; SEC -> SECOND,0,main_pipeline/01_errors.yaml E4,nao_temos,,"A base de regras não contém qualquer regra relacionada à expansão de abreviações ou à manipulação de formas abreviadas no texto da glosa. A regra extraída trata de um fenômeno léxico/ortográfico não abordado nas categorias existentes (morfologia, pronomes, verbos)."
MP.ERR.E5,morfologia,Quebra de composto falso,"Se um hífen une dois sinais que na verdade são separados, separa-os; compostos reais são tratados depois.",quando um hífen une dois sinais separados,True,BLOOD-TEST -> BLOOD TEST,0,main_pipeline/01_errors.yaml E5,nao_temos,,"A regra extraída trata de um erro específico na formação de compostos (uso incorreto de hífen para unir sinais que não formam composto real). A base [MORF.1.2] descreve a formação correta de compostos, mas não aborda o caso de 'compostos falsos' ou a quebra de hífen em situações inválidas, o que torna a regra extraída nova."
MP.CLEAN.R1,notacao,Tudo em maiúsculas,A glosa inteira em MAIÚSCULAS.,sempre,True,,0,main_pipeline/02_clean.yaml R1,nao_temos,,"Nenhuma regra da base aborda a notação de glosa em maiúsculas. As regras existentes focam em fenômenos morfológicos, pronominais e verbais, mas não em convenções de escrita como uso de maiúsculas/minúsculas."
MP.CLEAN.R2,sintaxe,Remoção de artigos,"Remove artigos (the, a, an).",quando há artigo,True,the doctor -> DOCTOR,0,main_pipeline/02_clean.yaml R2,nao_temos,,"A base de regras não contém nenhuma regra que trate da remoção ou tratamento de artigos (the, a, an) na glosa da ASL. As regras existentes abordam morfologia, pronomes e verbos, mas não mencionam artigos ou sua exclusão em textos."
MP.CLEAN.R3,sintaxe,Remoção de preposições e 'to' do infinitivo,"Remove preposições (for, of, to, with, in, from, about) e o 'to' do infinitivo. Exceção: mantém preposição que marca localização física específica. Mantém quantificadores (any, some, all, many).",quando há preposição ou 'to' de infinitivo,True,need to check -> NEED CHECK,0,main_pipeline/02_clean.yaml R3,nao_temos,,"A regra extraída trata da remoção de preposições e 'to' do infinitivo na tradução para ASL, com exceções específicas. Nenhuma regra na base aborda diretamente esse fenômeno sintático de tradução, pois as regras existentes focam em morfologia (reduplicação, formação de compostos) e pronomes, não em transformações sintáticas de preposições ou estruturas verbais em inglês para ASL."
MP.CLEAN.R4,sintaxe,Remoção da cópula 'be',"Remove a cópula de ligação 'be' em todas as formas (is, are, am, was, were, be, been, being).",quando há cópula 'be',True,the test is ready -> TEST READY,0,main_pipeline/02_clean.yaml R4,nao_temos,,"A regra extraída trata da remoção da cópula 'be' em ASL, um fenômeno sintático não abordado em nenhuma das regras da base. As regras existentes focam em morfologia (derivação, reduplicação, compostos) e pronomes, mas nenhuma menciona a cópula ou sua omissão em estruturas verbais."
MP.CLEAN.R5,pergunta,Remoção de auxiliares de pergunta,"Remove auxiliares de pergunta (do, does, did).",quando há do/does/did auxiliar,True,do you have pain -> HAVE PAIN,0,main_pipeline/02_clean.yaml R5,nao_temos,,"A regra extraída trata da remoção de auxiliares de pergunta (do/does/did) em ASL, fenômeno relacionado à formação de perguntas sim-ples (yes/no). A base de regras da consultoria não aborda esse aspecto específico, pois foca em pronomes interrogativos (WH-questions) e marcadores não-manuais, mas não menciona a exclusão de auxiliares verbais em perguntas diretas. Não há regra na base que cubra a exclusão de 'do/does/did' em ASL."
MP.CLEAN.R6,tempo-aspecto,Remoção de have/has/had auxiliar,Remove HAVE/HAS/HAD auxiliar (tempo perfeito). Mantém HAVE possessivo/de conteúdo.,quando have/has/had é auxiliar de perfeito,True,have been submitted -> SUBMIT ; do you have pain -> HAVE PAIN,0,main_pipeline/02_clean.yaml R6,nao_temos,,"A base de regras não contém nenhuma regra que trate da remoção do auxiliar 'have/has/had' em construções de tempo perfeito, mantendo apenas o 'have' possessivo. As regras existentes focam em aspectos morfológicos, pronominais e verbais (como concordância espacial, reduplicação, formação de compostos), mas não abordam diretamente a distinção entre 'have' auxiliar e 'have' de posse/quantidade no contexto da glosa escrita."
MP.CLEAN.R7,pronomes,Remoção de pronomes pessoais,"Remove pronomes pessoais (I, YOU, HE, SHE, WE, THEY, US, THEM); o sujeito é inferido pelo contexto. Exceção: mantém quando a frase não tem verbo lexical (HOW YOU?, WHERE YOU?) ou o pronome é necessário ao sentido.",quando há pronome pessoal sujeito/objeto,True,I NEED CHECK -> NEED CHECK ; see you soon -> SEE SOON,0,main_pipeline/02_clean.yaml R7,nao_temos,,"A regra extraída trata da remoção de pronomes pessoais em textos quando o sujeito é inferido pelo contexto, com exceções específicas. Nenhuma regra da base menciona a omissão de pronomes em glosas escritas, focando apenas na formação e uso de pronomes (ex.: PRON.2.1-2.8). A base não contempla a lógica de supressão de pronomes com base no contexto, sendo uma regra nova."
MP.CLEAN.R8,pronomes,Remoção de possessivos,"Remove possessivos (YOUR, MY, OUR, THEIR), inclusive antes de parte do corpo/condição.",quando há possessivo,True,YOUR PNEUMONIA -> PNEUMONIA,0,main_pipeline/02_clean.yaml R8,nao_temos,,"A base descreve o uso de pronomes possessivos (PRON.2.3) como determinantes, mas não contém regra que trate da remoção de possessivos em contextos específicos (como antes de partes do corpo/condições). A regra extraída introduz uma diretriz nova sobre exclusão de possessivos, não abordada na base existente."
