id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
LIBRAS.SINTAXE.1,sintaxe,Ordem básica SVO dominante,"A ordem básica da frase na Libras é Sujeito-Verbo-Objeto (SVO), que é a mais comum e gramatical em construções simples sem marcações adicionais. Essa ordem é a única que não depende de marcas não-manuais ou estruturas complexas para ser gramaticalmente válida.","frase simples com sujeito, verbo e objeto, sem marcações não-manuais ou estruturas complexas",,LIBRAS.SINTAXE.001 ; LIBRAS.SINTAXE.003,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.135; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.138
LIBRAS.SINTAXE.2,sintaxe,"Variações SVO, OSV e SOV com marcações não-manuais","As ordenações OSV e SOV só são gramaticais quando acompanhadas de marcações não-manuais (como foco, tópico ou concordância), indicando que a variação é motivada por fatores pragmáticos ou semânticos. A ordem SOV é restrita a objetos simples e não pode ser usada com objetos complexos (orações subordinadas).",frase com ordem OSV ou SOV; verbo com concordância + objeto complexo,,LIBRAS.SINTAXE.002 ; LIBRAS.SINTAXE.004,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.136; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.138
LIBRAS.SINTAXE.3,sintaxe,Advérbios e sua posição na frase,"Advérbios temporais não podem ser inseridos entre o verbo e o objeto em estruturas VP[V NP], reforçando a base SVO. Porém, advérbios temporais podem estar antes ou depois da oração (IP AgrP), e advérbios de freqüência podem estar antes ou depois do complemento verbal (VP), sem violar a gramática.",frase com advérbio temporal ou de freqüência entre verbo e objeto; advérbio temporal ou de freqüência em frase,,LIBRAS.SINTAXE.005 ; LIBRAS.SINTAXE.006,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.139; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.140
LIBRAS.SINTAXE.4,sintaxe,Construções com tópico e cópia do tópico,"Construções com tópico podem incluir uma cópia do tópico ou um pronome co-referencial, especialmente quando o tópico não está ligado a posição argumental. Isso ocorre para manter clareza e coesão na estrutura da frase.",frase com tópico sem ligação argumental,,LIBRAS.SINTAXE.007,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.146
LIBRAS.SINTAXE.5,sintaxe,Omissão de sujeito e objeto com verbos de concordância,"Verbos com concordância permitem a omissão tanto do sujeito quanto do objeto, derivando a ordem (S)V(O). Essa omissão é gramaticalmente válida e comum em contextos de coesão e concisão.",verbo com concordância em contexto de omissão de sujeito e objeto,,LIBRAS.SINTAXE.008,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.150
LIBRAS.SINTAXE.6,sintaxe,Foco contrastivo e ordem VOS,"A ordem VOS pode ocorrer em contextos de foco contrastivo, especialmente quando há ênfase no verbo. O foco pode mover o núcleo para o início da frase, seguido do verbo e do restante da estrutura.",frase com foco contrastivo e verbo no início,,LIBRAS.SINTAXE.009 ; LIBRAS.SINTAXE.012,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.151; Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.174
LIBRAS.SINTAXE.7,sintaxe,Liberdade sintática com verbos de concordância,Sentenças com verbos com concordância permitem maior liberdade na ordenação dos constituintes em comparação com sentenças com verbos sem concordância. Isso inclui variações como JOÃO <GOSTAR MARIA>do ou JOÃO <aAJUDARb MARIA>do.,verbo com concordância em frase com ordenação não-SVO,,LIBRAS.SINTAXE.010,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.154
LIBRAS.SINTAXE.8,sintaxe,Omissão de verbo em frases complexas,"Em sentenças complexas, a omissão de um verbo sem o auxiliar (AUX) é gramaticalmente inválida, exceto quando há identidade entre o verbo e seu antecedente. Isso garante clareza e evita ambiguidade.",frase complexa com omissão de verbo,,LIBRAS.SINTAXE.011,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.161
LIBRAS.SINTAXE.9,sintaxe,Classificadores em posição final,"Predicados complexos com classificadores, que incorporam objeto e ação em um único sinal, sempre ocupam a posição final da frase. Isso é comum em construções manuais com verbos complexos.",presença de classificador com verbo complexo (ex: CL(carro)-BATER-POSTE),,LIBRAS.SINTAXE.013,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.205
LIBRAS.SINTAXE.10,sintaxe,Ordem não padrão com verbos manuais e classificadores,Construções com verbos manuais podem apresentar ordem não padrão (como OSV) quando envolvem classificadores complexos. Isso ocorre especialmente em frases com predicados manuais que incorporam objeto e ação.,presença de predicado complexo com classificador,,LIBRAS.SINTAXE.014,,Língua de Sinais Brasileira: Estudos Linguísticos (Quadros & Karnopp) — Cap.4 A sintaxe espacial p.203
