id,categoria,titulo,descricao,gatilho,exemplos,ids_origem,justificativa_fusao,fontes
LIVRO.MORFOLOGIA.001,morfologia,Pluralização por repetição sequencial,"A pluralização de um sinal é representada na glosa pela repetição sequencial do sinal, indicada por três sinais idênticos seguidos (ex: CASA+++).",A frase em português expressa o plural de um substantivo ou sinal que em Libras é pluralizado por repetição.,casas -> CASA+++,LIBRAS.MORFOLOGIA.001,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.MORFOLOGIA.002,morfologia,Representação de compostos por justaposição com dois núcleos,"A glosa deve representar o composto por justaposição com dois núcleos (coordenação) usando o símbolo '^' entre as etiquetas dos sinais (ex: BOA^NOITE, CARRO^BATER).","A frase em português corresponde a um composto formado por justaposição de dois sinais (coordenação), onde a mão não dominante antecipa o segundo sinal.",boa noite -> BOA^NOITE ; acidente -> CARRO^BATER,LIBRAS.MORFOLOGIA.002,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.MORFOLOGIA.003,morfologia,Representação de compostos com eliminação de movimento interno,"A glosa deve representar o composto usando o símbolo '^' entre as etiquetas dos sinais (ex: SÁBADO^DOMINGO), indicando que o movimento interno ou repetição foi eliminado na composição.",A frase em português corresponde a um composto onde o movimento interno ou a repetição do movimento de um dos sinais é eliminada (regra da sequência única).,fim de semana -> SÁBADO^DOMINGO,LIBRAS.MORFOLOGIA.003,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.MORFOLOGIA.004,morfologia,Representação de compostos por justaposição sequencial,"A glosa deve representar o composto por justaposição sequencial utilizando o símbolo '^' entre as etiquetas dos sinais, na ordem em que são produzidos (ex: SINAL1^SINAL2).","A frase em português corresponde a um conceito formado pela justaposição sequencial de dois sinais distintos, onde ambos são realizados em sua totalidade e consecutivamente.",zebra -> CAVALO^LISTRA-PELO-CORPO ; rio -> ÁGUA^CAMINHO ; lago -> ÁGUA^CÍRCULO ; piscina -> ÁGUA^RETÂNGULO ; divórcio -> ASSINAR^SEPARAR,LIBRAS.MORFOLOGIA.004,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.MORFOLOGIA.005,morfologia,Representação de compostos por justaposição simultânea,A glosa deve representar o composto por justaposição simultânea utilizando o símbolo '^' entre as etiquetas dos sinais.,"A frase em português corresponde a um conceito formado pela justaposição simultânea de dois sinais, realizados ao mesmo tempo pelas duas mãos.",composição -> PALAVRA^PALAVRA,LIBRAS.MORFOLOGIA.005,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.MORFOLOGIA.006,morfologia,Representação de compostos com classificador,A glosa deve representar a composição de um classificador com um item lexical utilizando o símbolo '^' entre a etiqueta do classificador (CL-...) e a etiqueta do sinal lexical.,"A frase em português corresponde a um sinal composto por um classificador e um item lexical (ex: alfinete, agulha).",alfinete -> CL-coisa-pequena^PERFURAR ; agulha -> CL-coisa-pequena^APLICAR-NO-BRAÇO,LIBRAS.MORFOLOGIA.006,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.MORFOLOGIA.007,morfologia,Representação de compostos por subordinação,A glosa deve representar o composto por subordinação utilizando o símbolo '^' entre o núcleo e o modificador (ex: NUCLEO^MODIFICADOR).,A frase em português corresponde a um conceito formado por um núcleo modificado por um especificador (ex: escola).,escola -> CASA^ESTUDAR,LIBRAS.MORFOLOGIA.007,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.MORFOLOGIA.008,morfologia,Representação de compostos por coordenação,A glosa deve representar o composto por coordenação utilizando o símbolo '^' entre os núcleos simétricos (ex: NUCLEO1^NUCLEO2).,A frase em português corresponde a um conceito formado por dois ou mais núcleos em relação simétrica (ex: oftalmologista).,oftalmologista -> MÉDICO^OLHO,LIBRAS.MORFOLOGIA.008,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.001,expressoes-idiomaticas,Composição por justaposição simultânea (duas mãos),"O sinal de 'composição' é representado na glosa pela justaposição do sinal PALAVRA duas vezes, separado por um acento circunflexo (PALAVRA^PALAVRA), indicando que os dois sinais são articulados simultaneamente, um por cada mão.","A frase em português contém o substantivo 'composição' (no sentido de arte/ato de compor, não o processo linguístico).",composição -> PALAVRA^PALAVRA,LIBRAS.EXPRESSOES-IDIOMATICAS.001,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.002,expressoes-idiomaticas,Expressão idiomática 'cabelos em pé' (susto),"A glosa deve usar a etiqueta CABELOS-EM-PÉ para representar o sinal que significa 'ficar de cabelos em pé' no sentido figurado de estar espantada, chocada ou com susto.","A frase em português expressa o estado de estar 'de cabelos em pé' devido a susto, espanto ou choque (sentido idiomático), e não devido a desordem física ou vento.",Ficar de cabelos em pé. -> CABELOS-EM-PÉ,LIBRAS.EXPRESSOES-IDIOMATICAS.002,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.003,expressoes-idiomaticas,Expressão idiomática 'Quebrar a cara',"A glosa pode usar o sinal composto CARA-QUEBRAR ou a sequência de dois sinais CARA QUEBRAR para representar o sentido idiomático de 'quebrar a cara', 'ficar sem palavras', 'ficar sem graça', 'sem noção' ou 'foi pego em flagrante'.","A frase em português contém a expressão 'quebrar a cara' ou sinônimos como 'ficar sem palavras', 'ficar sem graça', 'sem noção' ou 'foi pego em flagrante'.",Quebrar a cara. -> CARA-QUEBRAR ; Quebrar a cara. -> CARA QUEBRAR,LIBRAS.EXPRESSOES-IDIOMATICAS.003 ; LIBRAS.EXPRESSOES-IDIOMATICAS.004,Ambas as candidatas descrevem a mesma expressão idiomática 'quebrar a cara' e suas variações de glosa (composta ou sequencial).,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.004,expressoes-idiomaticas,Expressão idiomática 'Esticar conversa',A glosa deve usar o sinal composto LINHA-PUXAR para representar o sentido idiomático de 'esticar conversa' ou 'falar mais que o necessário'.,A frase em português contém a expressão 'esticar conversa' ou 'falar mais que o necessário'.,Esticar conversa. -> LINHA-PUXAR,LIBRAS.EXPRESSOES-IDIOMATICAS.005,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.005,expressoes-idiomaticas,Expressão idiomática 'Pessoa turrona',A glosa deve usar a sequência de sinais CABEÇA DURA para representar o sentido idiomático de 'um sem noção' ou 'pessoa turrona'.,A frase em português contém a expressão 'pessoa turrona' ou 'um sem noção'.,Pessoa turrona. -> CABEÇA DURA,LIBRAS.EXPRESSOES-IDIOMATICAS.006,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.006,expressoes-idiomaticas,Expressão idiomática 'Cara de pau',A glosa deve usar a sequência de sinais VERGONHA NÃO TER para representar o sentido idiomático de 'não ter vergonha na cara' ou 'um cara de pau'.,A frase em português contém a expressão 'cara de pau' ou 'não ter vergonha na cara'.,Um cara de pau. -> VERGONHA NÃO TER,LIBRAS.EXPRESSOES-IDIOMATICAS.007,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.007,expressoes-idiomaticas,Expressão idiomática 'Olho vivo',"A glosa deve usar a sequência de sinais ORELHA CARA para representar o sentido idiomático de 'olho vivo', 'ter audição boa' ou 'pessoa muito esperta'.","A frase em português contém a expressão 'olho vivo', 'ter audição boa' ou 'pessoa muito esperta'.",Olho vivo. -> ORELHA CARA,LIBRAS.EXPRESSOES-IDIOMATICAS.008,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.008,expressoes-idiomaticas,Expressão idiomática 'Não prestar atenção',A glosa deve usar a sequência de sinais ORELHA BARATA para representar o sentido idiomático de 'não prestar atenção' ou 'não dar bola para as coisas'.,A frase em português contém a expressão 'não prestar atenção' ou 'não dar bola para as coisas'.,Não prestar atenção. -> ORELHA BARATA,LIBRAS.EXPRESSOES-IDIOMATICAS.009,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.009,expressoes-idiomaticas,Expressão idiomática 'Bom observador',"A glosa deve usar a sequência de sinais OLHO CARO para representar o sentido idiomático de 'ter olhos de águia', 'ter olhar atento' ou 'bom observador'.","A frase em português contém a expressão 'bom observador', 'ter olhos de águia' ou 'ter olhar atento'.",Bom observador. -> OLHO CARO,LIBRAS.EXPRESSOES-IDIOMATICAS.010,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.010,expressoes-idiomaticas,Expressão idiomática 'Como é voado',"A glosa deve usar a sequência de sinais OLHO BARATO para representar o sentido idiomático de 'ter olhar desatento', 'não prestar atenção' ou 'como é voado'.","A frase em português contém a expressão 'como é voado', 'ter olhar desatento' ou 'não prestar atenção'.",Como é voado! -> OLHO BARATO,LIBRAS.EXPRESSOES-IDIOMATICAS.011,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.011,expressoes-idiomaticas,Expressão idiomática 'Não se amole',"A glosa deve usar o sinal composto PEITO-BATER-MÃO-FECHADA para representar o sentido idiomático de 'não se amole com isso', 'deixar pra lá' ou 'ignore isso'.","A frase em português contém a expressão 'não se amole', 'deixar pra lá' ou 'ignore isso'.",Não se amole com isso -> PEITO-BATER-MÃO-FECHADA,LIBRAS.EXPRESSOES-IDIOMATICAS.012,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.012,expressoes-idiomaticas,Expressão idiomática 'Radiante da vida',A glosa deve usar o sinal SORRISO-DUPLO para representar o sentido idiomático de 'dar o maior sorriso do mundo' ou 'radiante da vida'.,A frase em português contém a expressão 'radiante da vida' ou 'dar o maior sorriso do mundo'.,Radiante da vida! -> SORRISO-DUPLO,LIBRAS.EXPRESSOES-IDIOMATICAS.013,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.013,expressoes-idiomaticas,Expressão idiomática 'Isso mesmo',"A glosa deve usar o sinal LÍNGUA-FORA para representar o sentido idiomático de 'isso mesmo', 'é, é, é' ou 'exatamente isso'.","A frase em português contém a expressão 'isso mesmo', 'é, é, é' ou 'exatamente isso'.",Isso mesmo! -> LÍNGUA-FORA,LIBRAS.EXPRESSOES-IDIOMATICAS.014,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.014,expressoes-idiomaticas,Expressão idiomática 'LÁBIOS-FECHADOS',"A glosa deve usar a etiqueta LÁBIOS-FECHADOS para representar a expressão idiomática, e não a tradução literal das palavras 'lábios' e 'fechados' separadamente ou outras variações.","A frase em português expressa os significados 'Como consegue?', 'Impressionante!', 'Que coisa!', 'Viu aí o que eu consigo?' ou 'Viu que eu sei?'.",Como consegue? -> LÁBIOS-FECHADOS ; Impressionante! -> LÁBIOS-FECHADOS,LIBRAS.EXPRESSOES-IDIOMATICAS.015,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.015,expressoes-idiomaticas,Expressão idiomática 'LÁBIOS-TREME',"A glosa deve usar a etiqueta LÁBIOS-TREME para representar a expressão idiomática, e não a tradução literal das palavras 'lábios' e 'treme' separadamente.",A frase em português expressa o significado 'Que desânimo!'.,Que desânimo! -> LÁBIOS-TREME,LIBRAS.EXPRESSOES-IDIOMATICAS.016,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
LIVRO.EXPRESSOES-IDIOMATICAS.016,expressoes-idiomaticas,Expressão idiomática 'MÃOS LEVES',"A glosa deve usar a sequência MÃOS LEVES para representar a expressão idiomática, e não a tradução literal de 'mãos leves' como adjetivo físico ou outras variações.","A frase em português expressa os significados 'Tem mãos leves.', 'Tem fluência em Libras.', 'Ter mãos fáceis de entender.', 'Tem boa lábia.' ou 'Bom de papo.'",Tem fluência em Libras. -> MÃOS LEVES ; Tem boa lábia. -> MÃOS LEVES,LIBRAS.EXPRESSOES-IDIOMATICAS.017,,"Gramática da Libras — Parte 1 (Vol.1 Cap.5, morfologia)"
