id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_livro,fonte_pagina,fonte_citacao
LIBRAS.PRONOMES.001,pronomes,Obrigatoriedade de apontação pré-nominal para leitura definida anafórica,A glosa deve conter uma apontação pré-nominal (IX) antes do nome para que este seja interpretado como definido em contexto anafórico. A ausência dessa apontação torna a glosa agramatical para essa interpretação.,"O nome ocorre em posição argumental e o contexto é anafórico (retomada de um referente já mencionado), exigindo interpretação definida.",True,"Exemplo (8) no texto (glosa não transcrita integralmente, mas a regra é derivada da exigência de IX pré-nominal para a retomada de MULHER)",Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,24,"Almeida-Silva (2019) propõe, então, que para um nome nu ser interpretado como um sintagma definido em Libras, ele deve estar acompanhado do role-shift, que é uma estratégia de demonstração da ação do referente na sentença ou de uma apontação pré-nominal com o indicador"
LIBRAS.PRONOMES.002,pronomes,Apontação pré-nominal como artigo definido,A glosa deve conter uma apontação (IX) pré-nominal (singular ou plural) para marcar o nome como definido. Essa apontação funciona como artigo definido.,O nome ocorre em posição argumental e deve ser interpretado como definido.,True,[IX.pl ALUNO OUVINTE] FALAR-ORAL,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,26,1. O artigo definido – apontação (IX) pré-nominal nas formas singular e plural
LIBRAS.PRONOMES.003,pronomes,Numeral 1 como artigo indefinido,A glosa deve conter o numeral 1 antes do nome para marcar o nome como indefinido. Esse numeral funciona como artigo indefinido.,O nome ocorre em posição argumental e deve ser interpretado como indefinido.,True,PRIMO TER [1 PRIMO] SURDO TAMBEM LÍNGUA-DE-SINAIS,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,29,2. O artigo indefinido – numeral 1.
LIBRAS.SINTAXE.001,sintaxe,Ordem básica SVO em sentenças transitivas,"A ordem dos sinais na glosa deve seguir a sequência Sujeito-Verbo-Objeto (SVO). Outras ordens (SOV, OSV, VOS) são possíveis, mas são derivadas de operações sintáticas específicas e não representam a ordem subjacente básica.",A frase em português é uma sentença transitiva declarativa simples que possui sujeito e objeto realizados.,True,,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,32,"Assim, a ordem básica da frase em Libras é Sujeito-Verbo-Objeto, doravante SVO. Além da ordem básica SVO, outras ordens (SOV, OSV e VOS) também são possíveis em Libras, mas são resultantes de operações e contextos sintáticos específicos."
LIBRAS.SINTAXE.002,sintaxe,Ordem básica SVO em sentenças transitivas,"A ordem dos sinais na glosa deve seguir a sequência Sujeito-Verbo-Objeto (SVO). Esta é a ordem não marcada e a mais frequente (87% dos dados citados) para sentenças transitivas com argumentos realizados, independentemente do tipo de verbo (simples, com concordância ou reverso).","A frase em português é uma sentença transitiva declarativa com sujeito e objeto realizados, sem marcadores de ênfase ou topicalização específica que alterem a ordem.",True,O João gosta de futebol. -> IX JOÃO GOSTAR [FUTEBOL] ; Eu moro no bairro Bela Vista. -> IX (eu)S MORARV [BAIRRO FS(BELA-VISTA)] O ; Eu olhei uma pessoa sinalizando. -> IX (eu)1S 1VER3+V IX (ele) FLUENCIA-LIBRASO,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,33,As sentenças de (20) a (23) exemplificam construções bastante comuns em Libras e possuem a ordem Sujeito-Verbo-Objeto.
LIBRAS.SINTAXE.003,sintaxe,Posição do advérbio entre sujeito e verbo,"Quando a frase contém um advérbio (como 'realmente' ou 'então' em função adverbial), este pode aparecer na glosa posicionado entre o sujeito e o verbo, mantendo a estrutura geral SVO.",A frase em português contém um advérbio que modifica o verbo e está posicionado antes do verbo na estrutura sintática.,True,"Então, eu realmente nasci surda. -> ENTÃO IX (eu)S VERDADE NASCERV SURDOO",Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,38,(30) SVO (com o advérbio entre o sujeito e o verbo). ENTÃO IX (eu)S VERDADE NASCERV SURDOO
LIBRAS.NEGACAO.001,negacao,Posição do advérbio de negação entre sujeito e verbo,"Em sentenças negativas com verbo simples, o advérbio de negação (ex: NUNCA) aparece na glosa posicionado entre o sujeito e o verbo.","A frase em português é uma sentença negativa com verbo simples e um advérbio de negação (como 'nunca', 'não').",True,Eu nunca oralizei com fonoaudiólogo. -> IX (eu)S NUNCA ORALIZARV FONOO,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,38,(31) SVO verbo simples com negação. IX (eu)S NUNCA ORALIZARV FONOO
LIBRAS.MORFOLOGIA.001,morfologia,Incorporação de classificador no verbo IR-EM-PÉ,"A glosa deve usar a forma composta IR-EM-PÉ para representar o sinal de 'ir' quando o contexto implica ir de corpo presente, pois o verbo IR incorpora o classificador de pessoa de pé.","A frase em português expressa o ato de ir a um local de corpo presente (ex: 'fui estudar', 'fui à aula').",True,Eu fui estudar na sala -> IX (eu) 1EM-PÉ (fui) AULA SALA,Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,40,"usou o verbo IR-EM-PÉ que é uma expressão que significa ir de corpo presente, o verbo IR incorpora o classificador de pessoa de pé"
LIBRAS.SINTAXE.004,sintaxe,Omissão de argumentos nulos com verbos de concordância,"A glosa pode omitir o argumento (sujeito ou objeto) quando o verbo é marcado com concordância, pois a marcação morfológica do verbo licencia a recuperação do argumento nulo.",A frase contém um verbo com concordância (pessoal ou espacial) e o argumento correspondente é omitido na glosa.,True,Ele fala para mim -> IX (ele)S eleFALAReuV (objeto 'mim' incorporado/implícito no sufixo -eu),Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,41,Os argumentos nulos são licenciados pela marcação morfológica do verbo que facilmente permite recuperar os argumentos nulos.
LIBRAS.SINTAXE.005,sintaxe,Ordem OSV com verbo simples e argumento externo animado,A ordem OSV (Objeto-Sujeito-Verbo) com verbos simples (sem concordância morfológica) é agramatical quando o argumento externo (objeto) é animado. A glosa não deve apresentar essa estrutura para argumentos animados.,"A frase em português tem a ordem OSV (ex: 'O João, a Maria, gosta') e o verbo é simples (sem concordância) e o objeto é animado.",True,"O João, a Maria, gosta. -> *IX JOÃO IX MARIA GOSTAR",Gramática da Libras Vol.2 (INES) — Cap.7 Sintaxe da Libras,42,"No caso dos tipos de sentença com o verbo simples GOSTAR, quando o argumento externo é inanimado, é aceitável e quando o argumento é animado, não é aceitável."
