n,arquivo,topico,nivel_outline,pagina_ini,pagina_fim,n_paginas,n_topicos,parte,tokens,topicos_todos,incluir,motivo_exclusao
1,001_5-aspectos-gerais-da-morfologia-das-linguas-.txt,5. Aspectos gerais da morfologia das Línguas de Sinais,1,174,174,1,1,,480,5. Aspectos gerais da morfologia das Línguas de Sinais,1,
2,002_5-1-morfologia-e-modalidade.txt,5.1. Morfologia e modalidade,1,175,176,2,1,,1645,5.1. Morfologia e modalidade,1,
3,003_5-2-morfemas-em-libras.txt,5.2. Morfemas em Libras,1,177,181,5,2,,1890,5.2. Morfemas em Libras | 5.2.1. Sinais monomorfêmicos e polimorfêmicos,1,
4,004_5-2-2-morfemas-lexicais-e-gramaticais.txt,5.2.2. Morfemas lexicais e gramaticais,2,182,186,5,1,1/3,1999,5.2.2. Morfemas lexicais e gramaticais,1,
5,005_5-2-2-morfemas-lexicais-e-gramaticais.txt,5.2.2. Morfemas lexicais e gramaticais,2,187,191,5,1,2/3,1913,5.2.2. Morfemas lexicais e gramaticais,1,
6,006_5-2-2-morfemas-lexicais-e-gramaticais.txt,5.2.2. Morfemas lexicais e gramaticais,2,192,192,1,1,3/3,429,5.2.2. Morfemas lexicais e gramaticais,1,
7,007_5-3-a-expansao-lexical-da-lingua-de-sinais-b.txt,5.3. A expansão lexical da Língua de Sinais brasileira,1,193,195,3,2,,1722,5.3. A expansão lexical da Língua de Sinais brasileira | 5.4.3 Composição em Língua de Sinais brasileira,1,
8,008_5-4-3-1-caracterizacao-dos-compostos-em-ling.txt,5.4.3.1 Caracterização dos compostos em Língua de Sinais,-1,196,197,2,1,,614,5.4.3.1 Caracterização dos compostos em Língua de Sinais,1,
9,009_5-4-3-2-processos-de-composicao-dos-sinais-d.txt,5.4.3.2. Processos de composição dos sinais da Língua de Sinais,-1,198,200,3,1,1/2,1620,5.4.3.2. Processos de composição dos sinais da Língua de Sinais,1,
10,010_5-4-3-2-processos-de-composicao-dos-sinais-d.txt,5.4.3.2. Processos de composição dos sinais da Língua de Sinais,-1,201,205,5,1,2/2,1434,5.4.3.2. Processos de composição dos sinais da Língua de Sinais,1,
11,011_5-4-4-derivacao.txt,5.4.4 Derivação,2,206,208,3,1,,1069,5.4.4 Derivação,1,
12,012_5-4-4-1-a-distincao-entre-nome-e-verbo-em-li.txt,5.4.4.1 A distinção entre nome e verbo em Libras,-1,209,211,3,1,,1602,5.4.4.1 A distinção entre nome e verbo em Libras,1,
13,013_5-5-flexao.txt,5.5. Flexão,1,212,212,1,1,,482,5.5. Flexão,1,
14,014_5-5-1-concordancia-verbal.txt,5.5.1 Concordância verbal,2,213,217,5,1,1/3,1917,5.5.1 Concordância verbal,1,
15,015_5-5-1-concordancia-verbal.txt,5.5.1 Concordância verbal,2,218,222,5,1,2/3,1912,5.5.1 Concordância verbal,1,
16,016_5-5-1-concordancia-verbal.txt,5.5.1 Concordância verbal,2,223,224,2,1,3/3,447,5.5.1 Concordância verbal,1,
17,017_5-5-2-pluralidade-verbal.txt,5.5.2 Pluralidade verbal,-1,225,227,3,1,,1062,5.5.2 Pluralidade verbal,1,
18,018_5-5-3-a-representacao-da-morfologia-na-escri.txt,5.5.3 A representação da morfologia na escrita,2,228,231,4,1,,1497,5.5.3 A representação da morfologia na escrita,1,
19,019_5-5-3-2-1-movimentos-diferentes.txt,5.5.3.2.1 Movimentos Diferentes,-1,232,235,4,2,,960,5.5.3.2.1 Movimentos Diferentes | 5.5.3.3 Orientação da Mão,0,Movimento é propriedade não-carregada pela glosa linear. ; Título claramente sobre orientação da mão.
20,020_5-6-acoes-boca-morfemas-boca-articulacao-boc.txt,"5.6 Ações-boca: morfemas-boca, articulação-boca e gestos-boca",1,236,237,2,1,1/2,1613,"5.6 Ações-boca: morfemas-boca, articulação-boca e gestos-boca",0,Título claramente sobre ações-boca e canal não-manual.
21,021_5-6-acoes-boca-morfemas-boca-articulacao-boc.txt,"5.6 Ações-boca: morfemas-boca, articulação-boca e gestos-boca",1,238,239,2,1,2/2,1339,"5.6 Ações-boca: morfemas-boca, articulação-boca e gestos-boca",0,Título claramente sobre ações-boca e canal não-manual.
22,022_5-6-2-acoes-de-boca-morfemas-boca-articulaco.txt,"5.6.2 Ações de boca: morfemas-boca, articulações-boca e gestos-boca",2,240,241,2,1,1/2,1227,"5.6.2 Ações de boca: morfemas-boca, articulações-boca e gestos-boca",0,"Título claramente sobre ações de boca, canal não-manual."
23,023_5-6-2-acoes-de-boca-morfemas-boca-articulaco.txt,"5.6.2 Ações de boca: morfemas-boca, articulações-boca e gestos-boca",2,242,243,2,1,2/2,1312,"5.6.2 Ações de boca: morfemas-boca, articulações-boca e gestos-boca",0,"Título claramente sobre ações de boca, canal não-manual."
24,024_5-6-2-1-morfemas-boca.txt,5.6.2.1 Morfemas-boca,-1,244,248,5,1,1/2,1796,5.6.2.1 Morfemas-boca,0,Morfemas-boca são canal não-manual.
25,025_5-6-2-1-morfemas-boca.txt,5.6.2.1 Morfemas-boca,-1,249,254,6,1,2/2,1390,5.6.2.1 Morfemas-boca,0,Morfemas-boca são canal não-manual.
26,026_5-6-2-2-gestos-boca.txt,5.6.2.2 Gestos-boca,-1,255,258,4,1,1/3,1825,5.6.2.2 Gestos-boca,0,"Gestos-boca são canal não-manual, fora do escopo da glosa."
27,027_5-6-2-2-gestos-boca.txt,5.6.2.2 Gestos-boca,-1,259,260,2,1,2/3,1425,5.6.2.2 Gestos-boca,0,"Gestos-boca são canal não-manual, fora do escopo da glosa."
28,028_5-6-2-2-gestos-boca.txt,5.6.2.2 Gestos-boca,-1,261,261,1,1,3/3,654,5.6.2.2 Gestos-boca,0,"Gestos-boca são canal não-manual, fora do escopo da glosa."
29,029_5-6-2-3-2-categorias-de-articulacoes-boca-da.txt,5.6.2.3.2 Categorias de articulações-boca da Libras,-1,262,266,5,1,1/6,1735,5.6.2.3.2 Categorias de articulações-boca da Libras,0,"Título claramente sobre articulações-boca, canal não-manual."
30,030_5-6-2-3-2-categorias-de-articulacoes-boca-da.txt,5.6.2.3.2 Categorias de articulações-boca da Libras,-1,267,271,5,1,2/6,1950,5.6.2.3.2 Categorias de articulações-boca da Libras,0,"Título claramente sobre articulações-boca, canal não-manual."
31,031_5-6-2-3-2-categorias-de-articulacoes-boca-da.txt,5.6.2.3.2 Categorias de articulações-boca da Libras,-1,272,277,6,1,3/6,1950,5.6.2.3.2 Categorias de articulações-boca da Libras,0,"Título claramente sobre articulações-boca, canal não-manual."
32,032_5-6-2-3-2-categorias-de-articulacoes-boca-da.txt,5.6.2.3.2 Categorias de articulações-boca da Libras,-1,278,283,6,1,4/6,1736,5.6.2.3.2 Categorias de articulações-boca da Libras,0,"Título claramente sobre articulações-boca, canal não-manual."
33,033_5-6-2-3-2-categorias-de-articulacoes-boca-da.txt,5.6.2.3.2 Categorias de articulações-boca da Libras,-1,284,289,6,1,5/6,1956,5.6.2.3.2 Categorias de articulações-boca da Libras,0,"Título claramente sobre articulações-boca, canal não-manual."
34,034_5-6-2-3-2-categorias-de-articulacoes-boca-da.txt,5.6.2.3.2 Categorias de articulações-boca da Libras,-1,290,301,12,1,6/6,1887,5.6.2.3.2 Categorias de articulações-boca da Libras,0,"Título claramente sobre articulações-boca, canal não-manual."
35,035_5-7-descricoes-imageticas-e-classificadores.txt,5.7 Descrições Imagéticas e Classificadores,1,302,305,4,1,1/2,1966,5.7 Descrições Imagéticas e Classificadores,0,Tópico claramente sobre classificadores imagéticos.
