text,gloss,gloss_review,gloss_llm_1,gloss_llm_2,gloss_llm_3,gloss_llm_4,gloss_llm_5
I need to check your blood test.,I NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.,NEED CHECK BLOOD TEST.
Are you having a heart attack?,HEART ATTACK?,HAVE HEART ATTACK?,HAVE HEART ATTACK?,HAVE HEART ATTACK?,HAVE HEART ATTACK?,HAVE HEART ATTACK?,HAVE HEART ATTACK?
Can you breathe?,YOU BREATHE?,CAN BREATHE?,CAN BREATHE?,CAN BREATHE?,CAN BREATHE?,CAN BREATHE?,CAN BREATHE?
Your blood test is ready now.,YOUR BLOOD TEST READY NOW.,NOW BLOOD TEST READY.,NOW BLOOD TEST READY.,NOW BLOOD TEST READY.,NOW BLOOD TEST READY.,NOW BLOOD TEST READY.,NOW BLOOD TEST READY.
Do you have any medication allergies?,ALLERGIC ANY MEDICINE?,HAVE ALLERGIC ANY MEDICINE?,ALLERGIC ANY MEDICATION?,ALLERGIC ANY MEDICATION?,ALLERGIC ANY MEDICATION?,ALLERGIC ANY MEDICATION?,ALLERGIC ANY MEDICATION?
that is an area we need to look at .,THAT BE AREA X-WE NEED TO LOOK AT .,,AREA NEED LOOK.,AREA NEED LOOK.,AREA NEED LOOK.,AREA NEED LOOK.,AREA NEED LOOK.
i would ask for your support .,X-I WOULD ASK FOR X-YOU SUPPORT .,,WOULD ASK SUPPORT.,WOULD ASK SUPPORT.,WOULD ASK SUPPORT.,WOULD ASK SUPPORT.,WOULD ASK SUPPORT.
let us act together .,LET X-WE ACT DESC-TOGER .,,ACT TOGETHER.,ACT TOGETHER.,ACT TOGETHER.,ACT TOGETHER.,ACT TOGETHER.
parliament decided to postpone the final vote,PARLIAMENT DECIDE TO POSTPONE DESC-FINAL VOTE\,,PARLIAMENT DECIDE POSTPONE FINAL VOTE.,PARLIAMENT DECIDE POSTPONE FINAL VOTE.,PARLIAMENT DECIDE POSTPONE FINAL VOTE.,PARLIAMENT DECIDE POSTPONE FINAL VOTE.,PARLIAMENT DECIDE POSTPONE FINAL VOTE.
what should we do to change this ?,WHAT SHOULD X-WE DO TO CHANGE THIS ?,,WHAT SHOULD CHANGE THIS ?,WHAT SHOULD CHANGE THIS ?,WHAT SHOULD CHANGE THIS ?,WHAT SHOULD CHANGE THIS ?,WHAT SHOULD CHANGE THIS ?
i will do that .,X-I WILL DO THAT .,,DO WILL.,WILL THAT.,DO WILL.,WILL THAT.,DO WILL.
we see the situation in the world .,X-WE SEE SITUATION IN WORLD .,,SEE SITUATION WORLD.,SEE SITUATION WORLD.,SEE SITUATION WORLD.,SEE SITUATION WORLD.,SEE SITUATION WORLD.
first of all choose democracy .,DESC-FIRST ALL CHOOSE DEMOCRACY,,FIRST CHOOSE DEMOCRACY.,FIRST CHOOSE DEMOCRACY.,FIRST CHOOSE DEMOCRACY.,FIRST CHOOSE DEMOCRACY.,FIRST CHOOSE DEMOCRACY.
that is why this issue is so important .,THAT BE WHY THIS ISSUE BE DESC-SO DESC-IMPORTANT,,WHY THIS ISSUE SO IMPORTANT.,WHY THIS ISSUE SO IMPORTANT.,WHY THIS ISSUE SO IMPORTANT.,WHY THIS ISSUE SO IMPORTANT.,WHY THIS ISSUE SO IMPORTANT.
the london bombings took place exactly five years ago .,LONDON BOMBING TAKE PLACE DESC-EXACTLY FIVE YEAR DESC-AGO .,,LONDON BOMBING TAKE PLACE EXACTLY FIVE YEAR AGO .,LONDON BOMBING TAKE PLACE EXACTLY FIVE YEAR AGO .,LONDON BOMBING TAKE PLACE EXACTLY FIVE YEAR AGO .,LONDON BOMBING TAKE PLACE EXACTLY FIVE YEAR AGO .,LONDON BOMBING TAKE PLACE EXACTLY FIVE YEAR AGO .
and do you know what will happen with those proposals ?,AND DO X-YOU KNOW WHAT WILL HAPPEN WITH THOSE PROPOSAL ?,,WHAT THOSE PROPOSAL WILL HAPPEN KNOW?,WHAT THOSE PROPOSAL WILL HAPPEN?,WHAT THOSE PROPOSAL WILL HAPPEN?,WHAT THOSE PROPOSAL WILL HAPPEN?,WHAT THOSE PROPOSAL WILL HAPPEN?
