text,gloss,gloss_review,rounds_used,gloss_llm_1,gloss_llm_2,gloss_llm_3,gloss_llm_4,gloss_llm_5,judge
that is an area we need to look at .,THAT BE AREA X-WE NEED TO LOOK AT .,,3,NEED LOOK AT THAT AREA.,NEED LOOK THAT AREA.,NEED LOOK THAT AREA.,,,OK
i would ask for your support .,X-I WOULD ASK FOR X-YOU SUPPORT .,,2,WOULD ASK SUPPORT.,WOULD ASK SUPPORT.,,,,OK
let us act together .,LET X-WE ACT DESC-TOGER .,,2,ACT TOGETHER.,ACT TOGETHER.,,,,OK
parliament decided to postpone the final vote,PARLIAMENT DECIDE TO POSTPONE DESC-FINAL VOTE,,2,PARLIAMENT DECIDE POSTPONE FINAL VOTE.,PARLIAMENT DECIDE POSTPONE FINAL VOTE.,,,,OK
what should we do to change this ?,WHAT SHOULD X-WE DO TO CHANGE THIS ?,,2,WHAT SHOULD DO CHANGE THIS ?,WHAT SHOULD DO CHANGE THIS ?,,,,OK
i will do that .,X-I WILL DO THAT .,,3,DO THAT,DO THAT.,DO THAT.,,,OK
we see the situation in the world .,X-WE SEE SITUATION IN WORLD .,,2,SEE SITUATION WORLD .,SEE SITUATION WORLD .,,,,OK
first of all choose democracy .,DESC-FIRST ALL CHOOSE DEMOCRACY,,2,FIRST CHOOSE DEMOCRACY.,FIRST CHOOSE DEMOCRACY.,,,,OK
that is why this issue is so important .,THAT BE WHY THIS ISSUE BE DESC-SO DESC-IMPORTANT,,2,THAT WHY THIS ISSUE SO IMPORTANT.,THAT WHY THIS ISSUE SO IMPORTANT.,,,,OK
the london bombings took place exactly five years ago .,LONDON BOMBING TAKE PLACE DESC-EXACTLY FIVE YEAR DESC-AGO .,,2,FIVE YEAR AGO LONDON BOMBING TAKE PLACE .,FIVE YEAR AGO LONDON BOMBING TAKE PLACE .,,,,OK
and do you know what will happen with those proposals ?,AND DO X-YOU KNOW WHAT WILL HAPPEN WITH THOSE PROPOSAL ?,,5,WHAT HAPPEN WITH THOSE PROPOSAL KNOW ?,WHAT HAPPEN THOSE PROPOSAL?,WHAT WILL HAPPEN THOSE PROPOSAL?,WHAT HAPPEN THOSE PROPOSAL?,WHAT HAPPEN THOSE PROPOSAL?,OK
we are reducing production in europe .,X-WE BE REDUCE PRODUCTION IN EUROPE .,,2,TODAY REDUCE PRODUCTION EUROPE.,TODAY REDUCE PRODUCTION EUROPE.,,,,"MISSING: TODAY - time marker needed to express ""are"" (present continuous)"
we have therefore signed the resolution .,X-WE HAVE DESC-REFORE SIGN RESOLUTION .,,2,THEREFORE SIGN RESOLUTION.,THEREFORE SIGN RESOLUTION.,,,,OK
they should do anything that can be seen if they want people to believe in them .,X-Y SHOULD DO ANYTHING THAT CAN BE SEE IF X-Y WANT PEOPLE TO BELIEVE IN X-Y .,,3,SHOULD DO ANYTHING THAT CAN SEE IF WANT PEOPLE BELIEVE IN THEM.,SHOULD DO ANYTHING THAT CAN SEEN IF WANT PEOPLE BELIEVE IN.,SHOULD DO ANYTHING THAT CAN SEEN IF WANT PEOPLE BELIEVE IN.,,,OK
families living in small towns and inhabitants of villages are particularly affected by poverty .,FAMILY DESC-LIVE IN DESC-SMALL TOWN AND INHABITANT VILLAGE BE DESC-PARTICULARLY AFFECT BY POVERTY .,,2,FAMILY LIVE SMALL TOWN AND INHABITANT VILLAGE PARTICULARLY AFFECT POVERTY.,FAMILY LIVE SMALL TOWN AND INHABITANT VILLAGE PARTICULARLY AFFECT POVERTY.,,,,OK
how can you coordinate things here ?,HOW CAN X-YOU COORDINATE THING DESC-HERE ?,,2,HERE THING COORDINATE HOW?,HERE THING COORDINATE HOW?,,,,OK
we call for your leadership .,X-WE CALL FOR X-YOU LEADERSHIP .,,2,CALL LEADERSHIP.,CALL LEADERSHIP.,,,,OK
then we will support you .,DESC-N X-WE WILL SUPPORT X-YOU .,,2,THEN SUPPORT.,THEN SUPPORT.,,,,OK
he is the example you should follow .,X-HE BE EXAMPLE X-YOU SHOULD FOLLOW .,,3,HE IS EXAMPLE YOU SHOULD FOLLOW.,"HE, EXAMPLE SHOULD FOLLOW.","HE, EXAMPLE SHOULD FOLLOW.",,,OK
"the crisis is global , but the solutions are local .","CRISIS BE DESC-GLOBAL , BUT SOLUTION BE DESC-LOCAL .",,2,"CRISIS GLOBAL , BUT SOLUTION LOCAL .","CRISIS GLOBAL , BUT SOLUTION LOCAL .",,,,OK
a lot of attention should be given to migration problems .,LOT ATTENTION SHOULD BE GIVE TO MIGRATION PROBLEM .,,4,SHOULD GIVE LOT ATTENTION MIGRATION PROBLEM .,LOT ATTENTION MIGRATION PROBLEM SHOULD GIVE .,LOT ATTENTION MIGRATION PROBLEM GIVE .,LOT ATTENTION MIGRATION PROBLEM GIVE .,,OK
natural resources should be used properly and the development of renewable energy should be encouraged .,DESC-NATURAL RESOURCE SHOULD BE USE DESC-PROPERLY AND DEVELOPMENT DESC-RENEWABLE ENERGY SHOULD BE ENCOURAGE .,,3,NATURAL RESOURCE SHOULD USE PROPERLY AND DEVELOPMENT RENEWABLE ENERGY SHOULD ENCOURAGE.,NATURAL RESOURCE SHOULD USE PROPERLY. RENEWABLE ENERGY DEVELOPMENT SHOULD ENCOURAGE.,NATURAL RESOURCE SHOULD USE PROPERLY. RENEWABLE ENERGY DEVELOPMENT SHOULD ENCOURAGE.,,,OK
this report undeniably contains some very valuable suggestions and often laudable intentions .,THIS REPORT DESC-UNDENIABLY CONTAIN SOME DESC-VERY DESC-VALUABLE SUGGESTION AND DESC-OFTEN DESC-LAUDABLE INTENTION .,,2,THIS REPORT UNDENIABLY CONTAIN VERY VALUABLE SUGGESTION AND OFTEN LAUDABLE INTENTION.,THIS REPORT UNDENIABLY CONTAIN VERY VALUABLE SUGGESTION AND OFTEN LAUDABLE INTENTION.,,,,OK
it has worked well and gives continuity to the flow of information destined for the terrorist finance tracking programme .,X-IT HAVE WORK DESC-WELL AND GIVE CONTINUITY TO FLOW INFORMATION DESTINE FOR DESC-TERRORIST FINANCE TRACKING PROGRAM .,,3,WORK WELL AND GIVE CONTINUITY FLOW INFORMATION DESTINE FOR TERRORIST FINANCE TRACKING PROGRAMME.,WORK WELL AND GIVE CONTINUITY FLOW INFORMATION DESTINED TERRORIST FINANCE TRACKING PROGRAMME.,WORK WELL AND GIVE CONTINUITY FLOW INFORMATION DESTINED TERRORIST FINANCE TRACKING PROGRAMME.,,,OK
our overall policy towards china is one of constructive engagement in the framework of our strategic partnership .,X-WE DESC-OVERALL POLICY TOWARDS CHINA BE ONE DESC-CONSTRUCTIVE ENGAGEMENT IN FRAMEWORK X-WE DESC-STRATEGIC PARTNERSHIP .,,2,OVERALL POLICY TOWARDS CHINA IS ONE OF CONSTRUCTIVE ENGAGEMENT IN THE FRAMEWORK OF OUR STRATEGIC PARTNERSHIP.,OVERALL POLICY TOWARDS CHINA IS ONE OF CONSTRUCTIVE ENGAGEMENT IN THE FRAMEWORK OF OUR STRATEGIC PARTNERSHIP.,,,,OK
all the important things have already been said .,ALL DESC-IMPORTANT THING HAVE DESC-ALREADY BE SAY .,,2,ALREADY ALL IMPORTANT THING SAY .,ALREADY ALL IMPORTANT THING SAY .,,,,OK
"i do not know what will happen during the vote , but we cannot ignore this issue .","X-I DO DESC-NOT KNOW WHAT WILL HAPPEN DURING VOTE , BUT X-WE CAN DESC-NOT IGNORE THIS ISSUE .",,4,"DURING VOTE , NOT KNOW WHAT HAPPEN BUT CAN NOT IGNORE THIS ISSUE","DURING VOTE , BUT NOT KNOW WHAT HAPPEN , CAN IGNORE THIS ISSUE","DURING VOTE , BUT NOT KNOW WHAT HAPPEN , CAN IGNORE THIS ISSUE.","DURING VOTE , BUT NOT KNOW WHAT HAPPEN , CAN IGNORE THIS ISSUE.",,OK
thank you for your contributions .,THANK X-YOU FOR X-YOU CONTRIBUTION .,,2,THANK CONTRIBUTION.,THANK CONTRIBUTION.,,,,OK
this was not the first time that a train has passed a red signal .,THIS BE DESC-NOT DESC-FIRST TIME THAT TRAIN HAVE PASS RED SIGNAL .,,2,THIS FIRST TIME TRAIN PASS RED SIGNAL NOT?,THIS FIRST TIME TRAIN PASS RED SIGNAL NOT?,,,,"MISSING: HAS - past perfect tense needed to express ""has passed"""
our priority now is excellence in legislation .,X-WE PRIORITY DESC-NOW BE EXCELLENCE IN LEGISLATION .,,2,NOW PRIORITY EXCELLENCE LEGISLATION.,NOW PRIORITY EXCELLENCE LEGISLATION.,,,,OK
report jörg leichtfried,REPORT Jà?RG LEICHTFRY,,2,REPORT JOERG LEICHTFRIED,REPORT JOERG LEICHTFRIED,,,,OK
report vălean,REPORT V?LEAN,,3,REPORT VLEAN,REPORT VALEAN,REPORT VALEAN,,,OK
we have seen since the 1970s where that process leads .,X-WE HAVE SEE SINCE 1970 WHERE THAT PROCESS LEAD .,,3,"SINCE 1970 SEE, THAT PROCESS LEAD WHERE?",SINCE 1970 SEE THAT PROCESS LEAD WHERE.,SINCE 1970 SEE THAT PROCESS LEAD WHERE.,,,OK
hundreds of thousands of animals now travel with their owners each year across europe .,HUNDRED THOUSAND ANIMAL DESC-NOW TRAVEL WITH X-Y OWNER EACH YEAR ACROSS EUROPE .,,3,NOW HUNDRED THOUSAND ANIMAL TRAVEL OWNER EACH YEAR ACROSS EUROPE.,NOW HUNDRED THOUSAND ANIMAL TRAVEL WITH OWNER EACH YEAR ACROSS EUROPE.,NOW HUNDRED THOUSAND ANIMAL TRAVEL WITH OWNER EACH YEAR ACROSS EUROPE.,,,OK
he will explain better than I the reasons why he has to do so .,X-HE WILL EXPLAIN DESC-BETTER THAN X-I REASON WHY X-HE HAVE TO DO DESC-SO .,,3,HE WILL EXPLAIN BETTER THAN I REASON WHY HAVE TO DO SO.,HE WILL EXPLAIN BETTER THAN I REASONS WHY DO SO.,HE WILL EXPLAIN BETTER THAN I REASONS WHY DO SO.,,,OK
