id,text,gloss,pred_lang,pred_prob
77,drift nets vote,DRIFT NET VOTE,nob_Latn,0.5893
91,ec russia readmission agreement vote,EC RUSSIUM READMISSION AGREEMENT VOTE,fra_Latn,0.5278
128,bosnia herzegovina vote,BOSNIUM HERZEGOVINA VOTE,spa_Latn,0.2495
134,cambodia vote,CAMBODIUM VOTE,vie_Latn,0.5654
135,nigeria vote,NIGERIUM VOTE,vie_Latn,0.8652
153,report graefe zu baringdorf,REPORT GRAEFE ZU BARINGDORF,cat_Latn,0.3899
160,"discharge 2005 section viiia , european ombudsman vote","DISCHARGE 2005 SECTION VIIUM , EUROPEAN OMBUDSMAN VOTE",fra_Latn,0.4265
161,"discharge 2005 section viii b , european data protection supervisor vote","DISCHARGE 2005 SECTION VIIUS B , EUROPEAN DATUM PROTECTION SUPERVISOR VOTE",fra_Latn,0.4311
173,discharge 2005 eurojust vote,DISCHARGE 2005 EUROJUST VOTE,fra_Latn,0.4142
183,report andrejevs,REPORT ANDREJEV,swe_Latn,0.4153
189,garcía margallo y marfil report,GARCa MARGALLO Y MARFIL REPORT,spa_Latn,0.8528
199,vlasto report,VLASTO REPORT,hrv_Latn,0.6488
201,de grandes pascual report,DE GRANDE PASCUAL REPORT,spa_Latn,0.6238
205,sánchez presedo report,Sà`NCHEZ PRESEDO REPORT,spa_Latn,0.4270
219,herranz garcía report,HERRANZ GARCa REPORT,deu_Latn,0.5397
223,deprez report,DEPREZ REPORT,ron_Latn,0.9100
226,galileo vote,GALILEO VOTE,swh_Latn,0.2867
238,zimbabwe vote,ZIMBABWE VOTE,deu_Latn,0.5314
249,recommendation toubon,RECOMMENDATION TOUBON,fra_Latn,0.8029
256,report kaczmarek,REPORT KACZMAREK,pol_Latn,0.9896
257,assessing euratom vote,ASSESS EURATOM VOTE,slk_Latn,0.3069
258,report maldeikis,REPORT MALDEIKUS,lit_Latn,0.5130
272,combating violence daphne iii programme vote,COMBATE VIOLENCE DAPHNE IIUS PROGRAM VOTE,fra_Latn,0.6036
296,report panayotopoulos cassiotou,REPORT PANAYOTOPOULO CASSIOTOU,kor_Hang,0.2566
304,gierek report,GIEREK REPORT,deu_Latn,0.6275
306,newton dunn report,NEWTON DUNN REPORT,yue_Hant,0.4078
307,estonia vote,ESTONIUM VOTE,spa_Latn,0.4346
311,report saryusz wolski,REPORT SARYUSZ WOLSKUS,pol_Latn,0.9817
317,report elles,REPORT ELLE,fra_Latn,0.6223
320,report scheele,REPORT SCHEELE,ron_Latn,0.8548
330,report chmielewski,REPORT CHMIELEWSKUS,pol_Latn,0.5273
334,report itälä,REPORT ITÍ,deu_Latn,0.7342
363,schnellhardt report,SCHNELLHARDT REPORT,deu_Latn,0.5579
365,svensson report,SVENSSON REPORT,swe_Latn,0.5641
367,hökmark report,Hà?KMARK REPORT,swe_Latn,0.8231
372,oomen ruijten report,OOMAN RUIJTEN REPORT,nld_Latn,0.9976
383,report díaz de mera garcía consuegra,REPORT DaZ DE MERA GARCa CONSUEGRA,spa_Latn,0.5856
391,burma vote,BURMA VOTE,vie_Latn,0.4126
397,recommendation jacek saryusz wolski,RECOMMENDATION JACEK SARYUSZ WOLSKUS,pol_Latn,0.9675
399,report jacek saryusz wolski,REPORT JACEK SARYUSZ WOLSKUS,pol_Latn,0.9932
405,report jean marie cavada,REPORT JEAN MARIE CAVADA,ron_Latn,0.2526
407,report pervenche berès,REPORT PERVENCHE BERà?X-S,cat_Latn,0.4110
412,report rosa miguélez ramos,REPORT ROSA MIGUà?LEZ RAMO,spa_Latn,0.3445
414,report genowefa grabowska,REPORT GENOWEFA GRABOWSKA,pol_Latn,0.5910
417,report jörg leichtfried,REPORT Jà?RG LEICHTFRY,deu_Latn,0.8356
422,report klaus heiner lehne,REPORT KLAUS HEINER LEHNE,deu_Latn,0.7611
424,report francesco enrico speroni,REPORT FRANCESCO ENRICO SPERONUS,cat_Latn,0.3884
426,report james elles,REPORT JAME ELLE,fra_Latn,0.5488
438,food enzymes vote,FOOD ENZYME VOTE,fra_Latn,0.5433
